sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 4, tps: 3087.95, reads: 9263.85, writes: 0.00, response time: 1.46ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 4, tps: 3102.31, reads: 9306.94, writes: 0.00, response time: 1.44ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 4, tps: 2946.63, reads: 8840.00, writes: 0.00, response time: 1.51ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 4, tps: 2974.69, reads: 8924.07, writes: 0.00, response time: 1.48ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 4, tps: 2924.29, reads: 8772.96, writes: 0.00, response time: 1.51ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 4, tps: 2848.61, reads: 8545.64, writes: 0.00, response time: 1.62ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 4, tps: 2795.89, reads: 8387.96, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 4, tps: 2787.92, reads: 8363.66, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 4, tps: 2788.98, reads: 8366.94, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 4, tps: 2791.82, reads: 8375.46, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 4, tps: 2784.28, reads: 8352.64, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 4, tps: 2781.32, reads: 8343.96, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 4, tps: 2781.39, reads: 8344.17, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 4, tps: 2783.21, reads: 8349.63, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 4, tps: 2779.98, reads: 8339.95, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 4, tps: 2782.22, reads: 8346.85, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 4, tps: 2771.90, reads: 8315.51, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 4, tps: 2737.00, reads: 8211.00, writes: 0.00, response time: 1.70ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 4, tps: 2735.80, reads: 8207.39, writes: 0.00, response time: 1.70ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 4, tps: 2737.20, reads: 8211.71, writes: 0.00, response time: 1.70ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 4, tps: 2733.90, reads: 8201.59, writes: 0.00, response time: 1.70ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 4, tps: 2734.50, reads: 8203.71, writes: 0.00, response time: 1.70ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 4, tps: 2746.70, reads: 8239.89, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 4, tps: 2743.20, reads: 8229.71, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 4, tps: 2747.00, reads: 8241.19, writes: 0.00, response time: 1.73ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 4, tps: 2734.40, reads: 8203.11, writes: 0.00, response time: 1.77ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 4, tps: 2749.00, reads: 8247.00, writes: 0.00, response time: 1.73ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 4, tps: 2761.00, reads: 8282.81, writes: 0.00, response time: 1.71ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 4, tps: 2775.50, reads: 8326.80, writes: 0.00, response time: 1.70ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 4, tps: 2763.30, reads: 8289.60, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 4, tps: 2770.10, reads: 8310.30, writes: 0.00, response time: 1.72ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 4, tps: 2772.00, reads: 8316.20, writes: 0.00, response time: 1.71ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 4, tps: 2766.20, reads: 8298.60, writes: 0.00, response time: 1.71ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 4, tps: 2765.10, reads: 8295.09, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 4, tps: 2849.10, reads: 8547.41, writes: 0.00, response time: 1.63ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 4, tps: 2903.60, reads: 8710.70, writes: 0.00, response time: 1.58ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 4, tps: 2932.40, reads: 8797.80, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 4, tps: 2930.50, reads: 8790.90, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 4, tps: 2931.60, reads: 8795.00, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 4, tps: 2930.80, reads: 8792.20, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 4, tps: 2930.59, reads: 8791.98, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 4, tps: 3003.30, reads: 9009.69, writes: 0.00, response time: 1.47ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 4, tps: 3022.30, reads: 9066.89, writes: 0.00, response time: 1.45ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 4, tps: 2956.10, reads: 8868.31, writes: 0.00, response time: 1.53ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 4, tps: 2976.01, reads: 8928.22, writes: 0.00, response time: 1.52ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 4, tps: 2815.49, reads: 8446.27, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 4, tps: 2814.08, reads: 8442.33, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 4, tps: 2804.92, reads: 8414.67, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 4, tps: 2829.39, reads: 8488.17, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 4, tps: 2926.61, reads: 8779.83, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 4, tps: 2921.88, reads: 8765.73, writes: 0.00, response time: 1.56ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 4, tps: 2929.32, reads: 8788.07, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 4, tps: 2928.78, reads: 8786.13, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 4, tps: 2929.02, reads: 8787.17, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 4, tps: 2927.08, reads: 8781.23, writes: 0.00, response time: 1.55ms (95%), errors: 0.00, reconnects:  0.00
