sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 48, tps: 2194.37, reads: 6585.30, writes: 6583.70, response time: 5.49ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 11303.98, reads: 33913.05, writes: 33911.85, response time: 5.06ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 11246.29, reads: 33739.78, writes: 33739.58, response time: 5.11ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 11218.51, reads: 33655.42, writes: 33655.42, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 11220.31, reads: 33659.02, writes: 33660.12, response time: 5.09ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 11232.09, reads: 33697.07, writes: 33696.87, response time: 5.09ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 48, tps: 11129.11, reads: 33387.73, writes: 33386.73, response time: 5.15ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 48, tps: 11194.89, reads: 33585.16, writes: 33585.76, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 48, tps: 11161.01, reads: 33482.84, writes: 33482.44, response time: 5.14ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 48, tps: 11198.99, reads: 33597.38, writes: 33597.08, response time: 5.14ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 48, tps: 11269.80, reads: 33809.31, writes: 33809.11, response time: 5.08ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 48, tps: 11247.89, reads: 33742.47, writes: 33743.47, response time: 5.11ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 48, tps: 11102.81, reads: 33308.73, writes: 33309.13, response time: 5.10ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 48, tps: 10941.00, reads: 32823.71, writes: 32822.71, response time: 5.21ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 48, tps: 11099.80, reads: 33298.80, writes: 33299.70, response time: 5.15ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 48, tps: 11096.79, reads: 33291.26, writes: 33289.96, response time: 5.10ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 48, tps: 11102.41, reads: 33306.44, writes: 33307.64, response time: 5.08ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 48, tps: 11079.70, reads: 33240.71, writes: 33239.31, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 48, tps: 11092.10, reads: 33275.09, writes: 33276.49, response time: 5.11ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 48, tps: 11062.90, reads: 33188.00, writes: 33187.60, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 48, tps: 11086.60, reads: 33260.10, writes: 33260.10, response time: 5.10ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 48, tps: 11074.40, reads: 33224.51, writes: 33223.71, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 48, tps: 11092.39, reads: 33277.18, writes: 33277.28, response time: 5.10ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 48, tps: 11104.41, reads: 33312.02, writes: 33312.92, response time: 5.10ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 48, tps: 11061.70, reads: 33185.00, writes: 33184.70, response time: 5.10ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 48, tps: 10390.90, reads: 31173.50, writes: 31173.70, response time: 5.18ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 48, tps: 10944.40, reads: 32833.00, writes: 32832.50, response time: 5.17ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 48, tps: 10982.10, reads: 32945.50, writes: 32946.20, response time: 5.14ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 48, tps: 10996.10, reads: 32988.01, writes: 32988.11, response time: 5.13ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 48, tps: 10961.00, reads: 32884.80, writes: 32883.30, response time: 5.16ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 48, tps: 10946.00, reads: 32835.90, writes: 32837.80, response time: 5.16ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 48, tps: 10975.00, reads: 32925.59, writes: 32924.89, response time: 5.14ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 48, tps: 10957.39, reads: 32872.97, writes: 32872.87, response time: 5.15ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 48, tps: 10945.51, reads: 32837.83, writes: 32836.63, response time: 5.17ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 48, tps: 10935.50, reads: 32805.59, writes: 32806.39, response time: 5.17ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 48, tps: 10952.90, reads: 32857.90, writes: 32858.50, response time: 5.15ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 48, tps: 10953.70, reads: 32861.41, writes: 32860.81, response time: 5.16ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 48, tps: 10452.50, reads: 31356.49, writes: 31357.59, response time: 5.24ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 48, tps: 10918.40, reads: 32757.31, writes: 32755.51, response time: 5.19ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 48, tps: 10918.49, reads: 32755.76, writes: 32756.16, response time: 5.19ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 48, tps: 10874.21, reads: 32621.54, writes: 32621.74, response time: 5.24ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 48, tps: 10918.60, reads: 32755.20, writes: 32755.60, response time: 5.19ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 48, tps: 10907.40, reads: 32722.70, writes: 32722.00, response time: 5.21ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 48, tps: 10898.30, reads: 32694.20, writes: 32695.10, response time: 5.20ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 48, tps: 10888.30, reads: 32665.30, writes: 32665.40, response time: 5.19ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 48, tps: 10894.20, reads: 32682.70, writes: 32682.10, response time: 5.19ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 48, tps: 10901.00, reads: 32702.09, writes: 32702.99, response time: 5.22ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 48, tps: 10911.40, reads: 32735.49, writes: 32734.29, response time: 5.21ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 48, tps: 10898.70, reads: 32695.31, writes: 32696.61, response time: 5.21ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 48, tps: 10595.60, reads: 31786.81, writes: 31786.21, response time: 5.24ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 48, tps: 9910.20, reads: 29731.09, writes: 29730.29, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 48, tps: 10128.90, reads: 30386.61, writes: 30387.41, response time: 5.29ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 48, tps: 10904.90, reads: 32713.09, writes: 32713.99, response time: 5.22ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 48, tps: 10880.10, reads: 32640.41, writes: 32640.21, response time: 5.25ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 48, tps: 10886.10, reads: 32660.69, writes: 32659.39, response time: 5.24ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 48, tps: 10844.39, reads: 32532.16, writes: 32532.16, response time: 5.26ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 48, tps: 10847.92, reads: 32542.56, writes: 32543.76, response time: 5.25ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 48, tps: 10814.90, reads: 32445.49, writes: 32444.99, response time: 5.27ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 48, tps: 10824.90, reads: 32475.30, writes: 32475.10, response time: 5.25ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 48, tps: 10819.70, reads: 32459.10, writes: 32458.60, response time: 5.26ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 48, tps: 10795.00, reads: 32385.91, writes: 32386.01, response time: 5.28ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 48, tps: 10828.10, reads: 32482.59, writes: 32483.59, response time: 5.28ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 48, tps: 10499.69, reads: 31499.67, writes: 31498.97, response time: 5.35ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 48, tps: 10654.81, reads: 31963.73, writes: 31963.93, response time: 5.33ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 48, tps: 10637.09, reads: 31912.48, writes: 31911.78, response time: 5.35ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 48, tps: 10641.31, reads: 31922.83, writes: 31923.83, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 48, tps: 10646.40, reads: 31940.20, writes: 31939.10, response time: 5.32ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 48, tps: 10638.10, reads: 31913.90, writes: 31914.30, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 48, tps: 10641.20, reads: 31923.80, writes: 31924.00, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 48, tps: 10657.60, reads: 31971.69, writes: 31972.39, response time: 5.36ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 48, tps: 10634.59, reads: 31905.07, writes: 31904.17, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 48, tps: 10649.51, reads: 31947.94, writes: 31948.24, response time: 5.36ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 48, tps: 10650.30, reads: 31951.60, writes: 31951.20, response time: 5.35ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 48, tps: 10635.90, reads: 31905.40, writes: 31906.70, response time: 5.36ms (95%), errors: 0.00, reconnects:  0.00
[ 750s] threads: 48, tps: 10567.68, reads: 31705.04, writes: 31704.04, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[ 760s] threads: 48, tps: 10063.22, reads: 30191.66, writes: 30190.16, response time: 5.44ms (95%), errors: 0.00, reconnects:  0.00
[ 770s] threads: 48, tps: 10623.40, reads: 31868.60, writes: 31869.60, response time: 5.38ms (95%), errors: 0.00, reconnects:  0.00
[ 780s] threads: 48, tps: 10595.69, reads: 31786.98, writes: 31787.18, response time: 5.40ms (95%), errors: 0.00, reconnects:  0.00
[ 790s] threads: 48, tps: 10585.31, reads: 31755.72, writes: 31755.82, response time: 5.44ms (95%), errors: 0.00, reconnects:  0.00
[ 800s] threads: 48, tps: 10622.30, reads: 31866.29, writes: 31866.69, response time: 5.37ms (95%), errors: 0.00, reconnects:  0.00
[ 810s] threads: 48, tps: 10587.50, reads: 31762.31, writes: 31762.61, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[ 820s] threads: 48, tps: 10576.60, reads: 31730.00, writes: 31730.10, response time: 5.41ms (95%), errors: 0.00, reconnects:  0.00
[ 830s] threads: 48, tps: 10566.30, reads: 31699.10, writes: 31698.70, response time: 5.41ms (95%), errors: 0.00, reconnects:  0.00
[ 840s] threads: 48, tps: 10601.80, reads: 31805.30, writes: 31805.60, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[ 850s] threads: 48, tps: 10528.09, reads: 31586.36, writes: 31584.66, response time: 5.45ms (95%), errors: 0.00, reconnects:  0.00
[ 860s] threads: 48, tps: 10569.81, reads: 31707.83, writes: 31708.53, response time: 5.42ms (95%), errors: 0.00, reconnects:  0.00
[ 870s] threads: 48, tps: 10565.10, reads: 31695.50, writes: 31695.80, response time: 5.41ms (95%), errors: 0.00, reconnects:  0.00
[ 880s] threads: 48, tps: 10359.90, reads: 31079.30, writes: 31078.70, response time: 5.46ms (95%), errors: 0.00, reconnects:  0.00
[ 890s] threads: 48, tps: 10261.30, reads: 30782.99, writes: 30784.19, response time: 5.49ms (95%), errors: 0.00, reconnects:  0.00
[ 900s] threads: 48, tps: 10491.90, reads: 31477.29, writes: 31476.29, response time: 5.49ms (95%), errors: 0.00, reconnects:  0.00
[ 910s] threads: 48, tps: 10498.81, reads: 31494.02, writes: 31495.92, response time: 5.47ms (95%), errors: 0.00, reconnects:  0.00
[ 920s] threads: 48, tps: 10498.50, reads: 31497.60, writes: 31496.50, response time: 5.48ms (95%), errors: 0.00, reconnects:  0.00
[ 930s] threads: 48, tps: 10490.40, reads: 31469.89, writes: 31470.49, response time: 5.47ms (95%), errors: 0.00, reconnects:  0.00
[ 940s] threads: 48, tps: 10476.30, reads: 31429.49, writes: 31428.39, response time: 5.51ms (95%), errors: 0.00, reconnects:  0.00
[ 950s] threads: 48, tps: 10505.01, reads: 31514.42, writes: 31515.42, response time: 5.47ms (95%), errors: 0.00, reconnects:  0.00
[ 960s] threads: 48, tps: 10495.80, reads: 31488.00, writes: 31487.80, response time: 5.47ms (95%), errors: 0.00, reconnects:  0.00
[ 970s] threads: 48, tps: 10485.59, reads: 31457.27, writes: 31457.17, response time: 5.48ms (95%), errors: 0.00, reconnects:  0.00
[ 980s] threads: 48, tps: 10494.01, reads: 31482.73, writes: 31481.73, response time: 5.46ms (95%), errors: 0.00, reconnects:  0.00
[ 990s] threads: 48, tps: 10477.60, reads: 31432.30, writes: 31432.50, response time: 5.48ms (95%), errors: 0.00, reconnects:  0.00
[1000s] threads: 48, tps: 10471.10, reads: 31411.00, writes: 31412.80, response time: 5.49ms (95%), errors: 0.00, reconnects:  0.00
[1010s] threads: 48, tps: 10142.90, reads: 30430.60, writes: 30429.10, response time: 5.52ms (95%), errors: 0.00, reconnects:  0.00
[1020s] threads: 48, tps: 9223.29, reads: 27670.17, writes: 27670.17, response time: 5.63ms (95%), errors: 0.00, reconnects:  0.00
[1030s] threads: 48, tps: 9525.91, reads: 28576.72, writes: 28577.12, response time: 5.61ms (95%), errors: 0.00, reconnects:  0.00
[1040s] threads: 48, tps: 9245.47, reads: 27747.72, writes: 27745.42, response time: 5.59ms (95%), errors: 0.00, reconnects:  0.00
[1050s] threads: 48, tps: 10016.53, reads: 30039.19, writes: 30041.39, response time: 5.51ms (95%), errors: 0.00, reconnects:  0.00
[1060s] threads: 48, tps: 10821.60, reads: 32462.91, writes: 32464.01, response time: 5.28ms (95%), errors: 0.00, reconnects:  0.00
[1070s] threads: 48, tps: 10790.79, reads: 32373.68, writes: 32373.08, response time: 5.29ms (95%), errors: 0.00, reconnects:  0.00
[1080s] threads: 48, tps: 10767.71, reads: 32303.22, writes: 32302.52, response time: 5.32ms (95%), errors: 0.00, reconnects:  0.00
[1090s] threads: 48, tps: 10749.39, reads: 32247.78, writes: 32248.18, response time: 5.33ms (95%), errors: 0.00, reconnects:  0.00
[1100s] threads: 48, tps: 10793.71, reads: 32380.32, writes: 32380.52, response time: 5.29ms (95%), errors: 0.00, reconnects:  0.00
[1110s] threads: 48, tps: 10783.20, reads: 32351.39, writes: 32350.09, response time: 5.29ms (95%), errors: 0.00, reconnects:  0.00
[1120s] threads: 48, tps: 10782.10, reads: 32346.70, writes: 32346.70, response time: 5.31ms (95%), errors: 0.00, reconnects:  0.00
[1130s] threads: 48, tps: 10767.89, reads: 32302.67, writes: 32303.37, response time: 5.31ms (95%), errors: 0.00, reconnects:  0.00
[1140s] threads: 48, tps: 10529.01, reads: 31586.23, writes: 31586.63, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[1150s] threads: 48, tps: 10612.80, reads: 31840.39, writes: 31839.79, response time: 5.36ms (95%), errors: 0.00, reconnects:  0.00
[1160s] threads: 48, tps: 10637.19, reads: 31911.28, writes: 31911.08, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[1170s] threads: 48, tps: 10622.10, reads: 31864.51, writes: 31865.41, response time: 5.37ms (95%), errors: 0.00, reconnects:  0.00
[1180s] threads: 48, tps: 10635.10, reads: 31905.91, writes: 31905.41, response time: 5.34ms (95%), errors: 0.00, reconnects:  0.00
[1190s] threads: 48, tps: 10613.68, reads: 31841.73, writes: 31841.73, response time: 5.37ms (95%), errors: 0.00, reconnects:  0.00
[1200s] threads: 48, tps: 10591.21, reads: 31773.34, writes: 31773.34, response time: 5.42ms (95%), errors: 0.00, reconnects:  0.00
[1210s] threads: 48, tps: 10585.31, reads: 31756.13, writes: 31757.13, response time: 5.40ms (95%), errors: 0.00, reconnects:  0.00
[1220s] threads: 48, tps: 10593.60, reads: 31782.19, writes: 31780.59, response time: 5.42ms (95%), errors: 0.00, reconnects:  0.00
[1230s] threads: 48, tps: 10610.30, reads: 31829.10, writes: 31829.50, response time: 5.38ms (95%), errors: 0.00, reconnects:  0.00
