sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 0.00, reads: 153.60, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 8860.41, reads: 26464.44, writes: 26590.64, response time: 92.79ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 10539.38, reads: 31614.65, writes: 31618.15, response time: 91.20ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 10489.42, reads: 31473.37, writes: 31469.07, response time: 91.47ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 10490.08, reads: 31469.53, writes: 31469.03, response time: 91.52ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 10470.22, reads: 31404.37, writes: 31408.97, response time: 91.72ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 10459.98, reads: 31380.93, writes: 31380.43, response time: 91.77ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 10449.01, reads: 31351.83, writes: 31348.83, response time: 91.77ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 10447.99, reads: 31341.96, writes: 31342.96, response time: 91.99ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 10460.95, reads: 31380.45, writes: 31382.05, response time: 91.52ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 10458.86, reads: 31381.68, writes: 31378.18, response time: 91.42ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 10501.01, reads: 31496.24, writes: 31499.34, response time: 90.87ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 10486.15, reads: 31462.74, writes: 31462.14, response time: 91.22ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 10490.50, reads: 31477.29, writes: 31473.39, response time: 91.50ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 10031.98, reads: 30091.55, writes: 30092.75, response time: 93.72ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 10387.42, reads: 31163.75, writes: 31163.05, response time: 92.52ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 10377.33, reads: 31130.08, writes: 31131.18, response time: 92.41ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 10381.98, reads: 31143.24, writes: 31145.64, response time: 92.68ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 10375.89, reads: 31126.87, writes: 31128.27, response time: 92.68ms (95%), errors: 0.00, reconnects:  0.00
