sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 23811.54, reads: 71440.92, writes: 0.00, response time: 48.32ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 23654.01, reads: 70962.24, writes: 0.00, response time: 48.83ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 23727.19, reads: 71182.37, writes: 0.00, response time: 48.75ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 23690.80, reads: 71072.50, writes: 0.00, response time: 48.28ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 23724.23, reads: 71172.50, writes: 0.00, response time: 48.59ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 23803.20, reads: 71409.79, writes: 0.00, response time: 48.15ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 23678.15, reads: 71039.85, writes: 0.00, response time: 48.73ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 23664.35, reads: 70993.76, writes: 0.00, response time: 48.80ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 23623.20, reads: 70869.40, writes: 0.00, response time: 49.00ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 23709.40, reads: 71130.61, writes: 0.00, response time: 48.62ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 23618.65, reads: 70853.66, writes: 0.00, response time: 48.97ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 23719.00, reads: 71157.91, writes: 0.00, response time: 48.64ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 23927.33, reads: 71773.49, writes: 0.00, response time: 47.72ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 23940.05, reads: 71820.64, writes: 0.00, response time: 48.13ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 23946.92, reads: 71841.07, writes: 0.00, response time: 47.93ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 24043.18, reads: 72130.05, writes: 0.00, response time: 47.63ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 23944.93, reads: 71833.68, writes: 0.00, response time: 48.23ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 23907.69, reads: 71724.76, writes: 0.00, response time: 48.26ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 23667.15, reads: 71009.26, writes: 0.00, response time: 49.09ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 512, tps: 23762.90, reads: 71286.81, writes: 0.00, response time: 48.77ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 512, tps: 23758.59, reads: 71276.77, writes: 0.00, response time: 48.68ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 512, tps: 23670.22, reads: 71009.57, writes: 0.00, response time: 48.90ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 512, tps: 23679.64, reads: 71036.01, writes: 0.00, response time: 48.87ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 512, tps: 23670.04, reads: 71014.92, writes: 0.00, response time: 49.03ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 512, tps: 23882.50, reads: 71639.31, writes: 0.00, response time: 48.26ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 512, tps: 23930.25, reads: 71790.24, writes: 0.00, response time: 48.09ms (95%), errors: 0.00, reconnects:  0.00
