sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 0.00, reads: 0.30, writes: 0.20, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 0.10, reads: 0.30, writes: 0.30, response time: 18525.19ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 0.10, reads: 0.30, writes: 0.30, response time: 51335.42ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 249.20, reads: 747.30, writes: 747.40, response time: 2.65ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 413.60, reads: 1240.80, writes: 1240.80, response time: 2.71ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 414.20, reads: 1242.60, writes: 1242.60, response time: 2.71ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 417.70, reads: 1253.30, writes: 1253.10, response time: 2.70ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 417.40, reads: 1252.30, writes: 1252.40, response time: 2.69ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 417.40, reads: 1252.20, writes: 1252.10, response time: 2.69ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 428.40, reads: 1285.00, writes: 1285.10, response time: 2.62ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 490.20, reads: 1470.50, writes: 1470.60, response time: 2.36ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 500.40, reads: 1501.20, writes: 1501.20, response time: 2.29ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 514.50, reads: 1543.50, writes: 1543.50, response time: 2.18ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 515.40, reads: 1546.20, writes: 1546.20, response time: 2.17ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 1, tps: 515.40, reads: 1546.20, writes: 1546.20, response time: 2.17ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 1, tps: 512.60, reads: 1537.80, writes: 1537.80, response time: 2.18ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 1, tps: 514.40, reads: 1543.20, writes: 1543.20, response time: 2.17ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 1, tps: 516.00, reads: 1548.30, writes: 1548.10, response time: 2.16ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 1, tps: 516.60, reads: 1549.60, writes: 1549.70, response time: 2.16ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 1, tps: 515.90, reads: 1547.60, writes: 1547.70, response time: 2.17ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 1, tps: 481.30, reads: 1443.90, writes: 1443.90, response time: 2.34ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 1, tps: 464.60, reads: 1393.90, writes: 1393.80, response time: 2.39ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 1, tps: 466.40, reads: 1399.10, writes: 1399.20, response time: 2.38ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 1, tps: 464.00, reads: 1392.00, writes: 1392.00, response time: 2.39ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 1, tps: 464.20, reads: 1392.60, writes: 1392.60, response time: 2.39ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 1, tps: 464.20, reads: 1392.60, writes: 1392.60, response time: 2.40ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 1, tps: 449.20, reads: 1347.60, writes: 1347.60, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 1, tps: 429.90, reads: 1289.70, writes: 1289.70, response time: 2.61ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 1, tps: 434.80, reads: 1304.40, writes: 1304.40, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 1, tps: 435.60, reads: 1306.80, writes: 1306.80, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 1, tps: 435.20, reads: 1305.60, writes: 1305.60, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 1, tps: 436.10, reads: 1308.30, writes: 1308.30, response time: 2.55ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 1, tps: 434.80, reads: 1304.40, writes: 1304.40, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 1, tps: 435.70, reads: 1307.10, writes: 1307.10, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 1, tps: 434.90, reads: 1304.70, writes: 1304.70, response time: 2.57ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 1, tps: 434.80, reads: 1304.70, writes: 1304.60, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 1, tps: 434.60, reads: 1303.80, writes: 1303.60, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 1, tps: 435.90, reads: 1307.50, writes: 1307.70, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 1, tps: 424.90, reads: 1274.60, writes: 1274.70, response time: 2.63ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 1, tps: 420.00, reads: 1260.00, writes: 1260.00, response time: 2.67ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 1, tps: 419.40, reads: 1258.20, writes: 1258.20, response time: 2.67ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 1, tps: 419.20, reads: 1257.60, writes: 1257.60, response time: 2.67ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 1, tps: 418.70, reads: 1256.30, writes: 1256.10, response time: 2.68ms (95%), errors: 0.00, reconnects:  0.00
