sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 128, tps: 29834.02, reads: 89504.26, writes: 0.00, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 29986.94, reads: 89960.71, writes: 0.00, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 30036.32, reads: 90109.75, writes: 0.00, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 29905.79, reads: 89715.88, writes: 0.00, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 29856.26, reads: 89570.17, writes: 0.00, response time: 7.13ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 29942.73, reads: 89828.20, writes: 0.00, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 30016.05, reads: 90049.06, writes: 0.00, response time: 7.05ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 128, tps: 29911.01, reads: 89733.03, writes: 0.00, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 128, tps: 29943.18, reads: 89828.95, writes: 0.00, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 128, tps: 29959.16, reads: 89877.09, writes: 0.00, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 128, tps: 29909.75, reads: 89730.66, writes: 0.00, response time: 7.16ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 128, tps: 29986.00, reads: 89958.61, writes: 0.00, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 128, tps: 29959.34, reads: 89875.73, writes: 0.00, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 128, tps: 29921.26, reads: 89763.48, writes: 0.00, response time: 7.12ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 128, tps: 29942.37, reads: 89826.81, writes: 0.00, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 128, tps: 29925.13, reads: 89776.48, writes: 0.00, response time: 7.07ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 128, tps: 29974.65, reads: 89924.95, writes: 0.00, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 128, tps: 29988.74, reads: 89964.81, writes: 0.00, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 128, tps: 29929.60, reads: 89788.50, writes: 0.00, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 128, tps: 29933.71, reads: 89801.32, writes: 0.00, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 128, tps: 29985.76, reads: 89958.19, writes: 0.00, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 128, tps: 29907.13, reads: 89720.98, writes: 0.00, response time: 7.13ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 128, tps: 29880.32, reads: 89639.77, writes: 0.00, response time: 7.13ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 128, tps: 29919.70, reads: 89760.61, writes: 0.00, response time: 7.08ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 128, tps: 29972.40, reads: 89916.49, writes: 0.00, response time: 7.06ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 128, tps: 30010.00, reads: 90030.49, writes: 0.00, response time: 7.03ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 128, tps: 30002.72, reads: 90007.47, writes: 0.00, response time: 7.04ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 128, tps: 30004.27, reads: 90013.10, writes: 0.00, response time: 7.06ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 128, tps: 29902.80, reads: 89708.29, writes: 0.00, response time: 7.11ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 128, tps: 29932.72, reads: 89797.57, writes: 0.00, response time: 7.09ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 128, tps: 29922.08, reads: 89768.04, writes: 0.00, response time: 7.10ms (95%), errors: 0.00, reconnects:  0.00
