sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 4
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 4, tps: 3031.80, reads: 9095.50, writes: 0.00, response time: 1.53ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 4, tps: 2980.51, reads: 8941.54, writes: 0.00, response time: 1.57ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 4, tps: 2951.40, reads: 8854.39, writes: 0.00, response time: 1.59ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 4, tps: 2948.51, reads: 8845.52, writes: 0.00, response time: 1.58ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 4, tps: 2911.71, reads: 8734.82, writes: 0.00, response time: 1.60ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 4, tps: 2890.40, reads: 8671.20, writes: 0.00, response time: 1.60ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 4, tps: 2889.10, reads: 8667.29, writes: 0.00, response time: 1.60ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 4, tps: 2890.20, reads: 8670.80, writes: 0.00, response time: 1.60ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 4, tps: 2887.30, reads: 8661.70, writes: 0.00, response time: 1.61ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 4, tps: 2889.70, reads: 8669.11, writes: 0.00, response time: 1.61ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 4, tps: 2888.90, reads: 8666.70, writes: 0.00, response time: 1.60ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 4, tps: 2890.30, reads: 8670.90, writes: 0.00, response time: 1.59ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 4, tps: 2886.01, reads: 8658.23, writes: 0.00, response time: 1.59ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 4, tps: 2892.60, reads: 8677.70, writes: 0.00, response time: 1.59ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 4, tps: 2887.50, reads: 8662.40, writes: 0.00, response time: 1.60ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 4, tps: 3062.30, reads: 9187.00, writes: 0.00, response time: 1.47ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 4, tps: 3077.79, reads: 9233.28, writes: 0.00, response time: 1.46ms (95%), errors: 0.00, reconnects:  0.00
