sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 2.00, reads: 7.10, writes: 6.30, response time: 9990.10ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 9111.12, reads: 27370.85, writes: 27341.85, response time: 100.06ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 9005.97, reads: 27015.90, writes: 27019.40, response time: 90.19ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 6806.25, reads: 20417.14, writes: 20418.04, response time: 90.82ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 8306.40, reads: 24918.89, writes: 24917.79, response time: 90.68ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 9981.74, reads: 29947.91, writes: 29945.41, response time: 90.35ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 10095.73, reads: 30284.60, writes: 30286.90, response time: 89.71ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 10696.52, reads: 32095.37, writes: 32091.47, response time: 89.65ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 10763.38, reads: 32284.74, writes: 32287.94, response time: 89.71ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 10759.71, reads: 32283.12, writes: 32280.62, response time: 89.65ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 10537.08, reads: 31609.75, writes: 31611.45, response time: 93.83ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 10007.99, reads: 30022.98, writes: 30024.18, response time: 96.33ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 10127.20, reads: 30383.79, writes: 30381.49, response time: 95.07ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 9864.52, reads: 29587.36, writes: 29592.76, response time: 95.27ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 10312.08, reads: 30937.95, writes: 30936.15, response time: 92.60ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 10470.32, reads: 31415.16, writes: 31411.96, response time: 91.72ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 10539.89, reads: 31622.96, writes: 31620.06, response time: 91.42ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 10532.21, reads: 31588.73, writes: 31595.33, response time: 91.61ms (95%), errors: 0.00, reconnects:  0.00
