sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 0.10, reads: 0.60, writes: 0.50, response time: 8493.94ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 0.50, reads: 1.50, writes: 1.50, response time: 5065.21ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 0.10, reads: 0.30, writes: 0.30, response time: 5957.41ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 0.10, reads: 0.30, writes: 0.30, response time: 6393.49ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 0.30, reads: 0.90, writes: 0.90, response time: 23306.32ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 0.20, reads: 0.60, writes: 0.60, response time: 5735.19ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 0.20, reads: 0.60, writes: 0.60, response time: 9001.80ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 0.40, reads: 1.20, writes: 1.20, response time: 10724.58ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 0.10, reads: 0.30, writes: 0.30, response time: 7879.14ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 1.10, reads: 3.30, writes: 3.30, response time: 1378.74ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 388.50, reads: 1165.19, writes: 1165.29, response time: 2.39ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 282.60, reads: 848.11, writes: 848.01, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 391.70, reads: 1174.79, writes: 1174.89, response time: 2.59ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 344.90, reads: 1035.01, writes: 1034.91, response time: 2.49ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 339.10, reads: 1016.99, writes: 1017.09, response time: 2.58ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 451.11, reads: 1353.32, writes: 1353.32, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 450.80, reads: 1352.39, writes: 1352.39, response time: 2.53ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 453.80, reads: 1361.41, writes: 1361.41, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 450.20, reads: 1350.60, writes: 1350.60, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 1, tps: 450.70, reads: 1352.10, writes: 1352.10, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 1, tps: 455.40, reads: 1366.19, writes: 1366.19, response time: 2.48ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 1, tps: 446.50, reads: 1339.61, writes: 1339.51, response time: 2.52ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 1, tps: 444.00, reads: 1331.89, writes: 1331.99, response time: 2.56ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 1, tps: 428.71, reads: 1286.12, writes: 1286.12, response time: 2.65ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 1, tps: 420.60, reads: 1261.80, writes: 1261.80, response time: 2.67ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 1, tps: 420.40, reads: 1261.50, writes: 1261.20, response time: 2.68ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 1, tps: 420.50, reads: 1261.20, writes: 1261.50, response time: 2.68ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 1, tps: 419.30, reads: 1257.90, writes: 1257.90, response time: 2.66ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 1, tps: 420.70, reads: 1262.10, writes: 1262.10, response time: 2.66ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 1, tps: 425.00, reads: 1274.99, writes: 1274.99, response time: 2.63ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 1, tps: 428.40, reads: 1285.19, writes: 1285.19, response time: 2.60ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 1, tps: 423.50, reads: 1270.51, writes: 1270.51, response time: 2.63ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 1, tps: 418.00, reads: 1253.99, writes: 1253.99, response time: 2.69ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 1, tps: 417.20, reads: 1251.61, writes: 1251.61, response time: 2.68ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 1, tps: 417.40, reads: 1252.29, writes: 1252.19, response time: 2.70ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 1, tps: 419.10, reads: 1257.21, writes: 1257.31, response time: 2.69ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 1, tps: 419.90, reads: 1259.79, writes: 1259.69, response time: 2.67ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 1, tps: 421.10, reads: 1263.21, writes: 1263.31, response time: 2.67ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 1, tps: 419.80, reads: 1259.39, writes: 1259.39, response time: 2.67ms (95%), errors: 0.00, reconnects:  0.00
