sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 665.21, reads: 1995.63, writes: 0.00, response time: 1.69ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 671.81, reads: 2015.42, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 703.10, reads: 2109.30, writes: 0.00, response time: 1.63ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 682.49, reads: 2047.47, writes: 0.00, response time: 1.65ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 669.71, reads: 2009.13, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 675.80, reads: 2027.41, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 674.80, reads: 2024.40, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 675.50, reads: 2026.50, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 674.80, reads: 2024.60, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 676.40, reads: 2029.00, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 682.00, reads: 2046.10, writes: 0.00, response time: 1.66ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 676.20, reads: 2028.49, writes: 0.00, response time: 1.66ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 675.80, reads: 2027.41, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 676.00, reads: 2028.10, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 682.80, reads: 2048.30, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 678.60, reads: 2035.80, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 675.30, reads: 2025.90, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 673.70, reads: 2021.10, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 673.70, reads: 2021.30, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 677.00, reads: 2030.81, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 1, tps: 676.00, reads: 2028.19, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 1, tps: 674.40, reads: 2023.00, writes: 0.00, response time: 1.67ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 1, tps: 674.70, reads: 2024.10, writes: 0.00, response time: 1.66ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 1, tps: 711.90, reads: 2135.70, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 1, tps: 765.40, reads: 2296.20, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 1, tps: 766.80, reads: 2300.59, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 1, tps: 766.90, reads: 2300.51, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 1, tps: 766.10, reads: 2298.30, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 1, tps: 766.80, reads: 2300.60, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 1, tps: 766.50, reads: 2299.30, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 1, tps: 764.10, reads: 2292.30, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 1, tps: 765.80, reads: 2297.40, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 1, tps: 764.40, reads: 2293.20, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 1, tps: 765.70, reads: 2297.10, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 1, tps: 766.40, reads: 2299.19, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 1, tps: 765.90, reads: 2297.70, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 1, tps: 766.00, reads: 2298.01, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 1, tps: 738.70, reads: 2216.20, writes: 0.00, response time: 1.58ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 1, tps: 702.20, reads: 2106.50, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 1, tps: 700.60, reads: 2101.80, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 1, tps: 700.70, reads: 2102.20, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 1, tps: 701.10, reads: 2103.30, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 1, tps: 703.00, reads: 2108.90, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 1, tps: 700.60, reads: 2101.90, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 1, tps: 701.00, reads: 2102.90, writes: 0.00, response time: 1.63ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 1, tps: 698.60, reads: 2095.80, writes: 0.00, response time: 1.65ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 1, tps: 702.10, reads: 2106.40, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 1, tps: 701.60, reads: 2104.71, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 1, tps: 700.00, reads: 2100.10, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 1, tps: 725.90, reads: 2177.60, writes: 0.00, response time: 1.60ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 1, tps: 737.40, reads: 2212.30, writes: 0.00, response time: 1.58ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 1, tps: 737.40, reads: 2212.10, writes: 0.00, response time: 1.57ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 1, tps: 739.10, reads: 2217.30, writes: 0.00, response time: 1.57ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 1, tps: 739.20, reads: 2217.60, writes: 0.00, response time: 1.57ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 1, tps: 738.60, reads: 2215.80, writes: 0.00, response time: 1.57ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 1, tps: 700.50, reads: 2101.60, writes: 0.00, response time: 1.62ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 1, tps: 688.70, reads: 2066.00, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 1, tps: 689.10, reads: 2067.30, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 1, tps: 691.70, reads: 2075.10, writes: 0.00, response time: 1.63ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 1, tps: 689.00, reads: 2067.00, writes: 0.00, response time: 1.63ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 1, tps: 690.20, reads: 2070.60, writes: 0.00, response time: 1.63ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 1, tps: 688.70, reads: 2066.10, writes: 0.00, response time: 1.64ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 1, tps: 668.90, reads: 2006.69, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 1, tps: 667.70, reads: 2003.10, writes: 0.00, response time: 1.68ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 1, tps: 697.10, reads: 2091.31, writes: 0.00, response time: 1.65ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 1, tps: 763.60, reads: 2290.80, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 1, tps: 764.30, reads: 2293.00, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 1, tps: 764.20, reads: 2292.50, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 1, tps: 765.90, reads: 2297.70, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 1, tps: 766.00, reads: 2298.00, writes: 0.00, response time: 1.49ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 1, tps: 766.00, reads: 2298.00, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 1, tps: 765.60, reads: 2296.80, writes: 0.00, response time: 1.50ms (95%), errors: 0.00, reconnects:  0.00
