sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 16, tps: 10146.89, reads: 30440.86, writes: 0.00, response time: 1.76ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 10219.45, reads: 30658.46, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 10200.88, reads: 30602.74, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 10179.22, reads: 30537.27, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 10180.31, reads: 30541.03, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 10186.30, reads: 30559.21, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 10179.59, reads: 30539.36, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 10208.41, reads: 30625.24, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 10167.60, reads: 30502.80, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 10186.80, reads: 30560.10, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 10196.70, reads: 30589.40, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 10200.90, reads: 30603.39, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 10203.90, reads: 30611.20, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 10198.20, reads: 30595.09, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 10220.11, reads: 30659.93, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 10225.40, reads: 30676.20, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 10201.89, reads: 30605.58, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 10189.01, reads: 30567.42, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 10194.70, reads: 30583.49, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 10172.00, reads: 30516.41, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 10187.70, reads: 30562.90, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 10174.40, reads: 30523.30, writes: 0.00, response time: 1.75ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 10231.70, reads: 30695.30, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 10209.50, reads: 30628.10, writes: 0.00, response time: 1.74ms (95%), errors: 0.00, reconnects:  0.00
