sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 48, tps: 0.10, reads: 7.70, writes: 1.40, response time: 4100.30ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 8094.89, reads: 24279.66, writes: 24283.56, response time: 4.76ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 10493.59, reads: 31481.28, writes: 31481.28, response time: 4.79ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 10009.07, reads: 30027.81, writes: 30027.41, response time: 4.78ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 9740.77, reads: 29222.91, writes: 29221.81, response time: 4.71ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 10837.30, reads: 32512.19, writes: 32512.49, response time: 4.77ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 48, tps: 9259.43, reads: 27778.89, writes: 27779.59, response time: 4.73ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 48, tps: 9999.58, reads: 29996.74, writes: 29996.94, response time: 4.66ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 48, tps: 10671.32, reads: 32014.76, writes: 32014.46, response time: 4.72ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 48, tps: 8239.75, reads: 24719.14, writes: 24719.34, response time: 4.72ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 48, tps: 11724.47, reads: 35173.80, writes: 35173.40, response time: 4.93ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 48, tps: 11447.83, reads: 34341.50, writes: 34343.40, response time: 4.85ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 48, tps: 11863.80, reads: 35591.91, writes: 35591.21, response time: 4.73ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 48, tps: 11647.60, reads: 34944.29, writes: 34943.39, response time: 4.82ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 48, tps: 11602.41, reads: 34805.92, writes: 34806.52, response time: 4.95ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 48, tps: 11765.20, reads: 35296.90, writes: 35295.90, response time: 4.73ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 48, tps: 11984.00, reads: 35951.80, writes: 35951.70, response time: 4.70ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 48, tps: 12052.70, reads: 36157.30, writes: 36158.60, response time: 4.68ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 48, tps: 11776.89, reads: 35331.18, writes: 35330.58, response time: 4.89ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 48, tps: 11797.80, reads: 35392.21, writes: 35393.71, response time: 4.78ms (95%), errors: 0.00, reconnects:  0.00
