sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 10701.81, reads: 32143.02, writes: 32114.82, response time: 88.69ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 10926.10, reads: 32773.01, writes: 32777.81, response time: 88.19ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 10919.20, reads: 32761.10, writes: 32756.40, response time: 88.22ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 10912.49, reads: 32740.87, writes: 32738.47, response time: 88.19ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 10902.91, reads: 32707.52, writes: 32708.92, response time: 88.32ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 10896.80, reads: 32686.10, writes: 32689.30, response time: 88.32ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 10887.20, reads: 32664.00, writes: 32662.70, response time: 88.48ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 10879.60, reads: 32639.50, writes: 32637.10, response time: 88.40ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 10669.40, reads: 32009.29, writes: 32010.09, response time: 92.63ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 9952.00, reads: 29849.50, writes: 29854.00, response time: 94.53ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 10355.10, reads: 31077.71, writes: 31071.31, response time: 93.10ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 10430.40, reads: 31284.29, writes: 31287.59, response time: 92.13ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 10420.50, reads: 31257.20, writes: 31260.50, response time: 91.61ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 10511.31, reads: 31533.72, writes: 31533.02, response time: 91.55ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 10508.00, reads: 31530.49, writes: 31525.89, response time: 91.50ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 10300.10, reads: 30899.31, writes: 30901.41, response time: 91.85ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 10633.10, reads: 31903.89, writes: 31897.39, response time: 90.46ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 10541.90, reads: 31623.01, writes: 31625.81, response time: 93.83ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 10107.60, reads: 30318.60, writes: 30323.90, response time: 95.19ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 512, tps: 10678.70, reads: 32032.60, writes: 32033.90, response time: 90.19ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 512, tps: 10776.09, reads: 32332.08, writes: 32328.88, response time: 89.31ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 512, tps: 10159.51, reads: 30477.82, writes: 30479.82, response time: 89.41ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 512, tps: 10147.90, reads: 30443.90, writes: 30440.90, response time: 95.61ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 512, tps: 10224.50, reads: 30673.30, writes: 30675.00, response time: 95.50ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 512, tps: 10739.70, reads: 32215.90, writes: 32217.90, response time: 89.71ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 512, tps: 10794.30, reads: 32386.20, writes: 32385.70, response time: 89.28ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 512, tps: 10522.30, reads: 31568.50, writes: 31565.40, response time: 93.60ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 512, tps: 9944.79, reads: 29829.68, writes: 29833.58, response time: 97.67ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 512, tps: 9443.91, reads: 28336.12, writes: 28334.32, response time: 91.28ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 512, tps: 10762.30, reads: 32284.29, writes: 32284.79, response time: 89.39ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 512, tps: 10785.41, reads: 32359.22, writes: 32354.92, response time: 89.20ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 512, tps: 10245.99, reads: 30735.68, writes: 30739.88, response time: 94.82ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 512, tps: 10076.70, reads: 30235.70, writes: 30232.20, response time: 98.40ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 512, tps: 10699.70, reads: 32093.81, writes: 32096.41, response time: 89.76ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 512, tps: 10357.40, reads: 31072.89, writes: 31074.89, response time: 89.71ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 512, tps: 10013.90, reads: 30042.20, writes: 30040.30, response time: 94.36ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 512, tps: 10016.90, reads: 30049.20, writes: 30048.80, response time: 96.65ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 512, tps: 10432.41, reads: 31296.52, writes: 31297.12, response time: 94.70ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 512, tps: 10719.40, reads: 32155.20, writes: 32158.70, response time: 89.68ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 512, tps: 10721.80, reads: 32166.50, writes: 32165.30, response time: 89.73ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 512, tps: 10165.10, reads: 30498.49, writes: 30497.09, response time: 96.04ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 512, tps: 9945.30, reads: 29850.91, writes: 29846.31, response time: 98.81ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 512, tps: 10665.90, reads: 31985.51, writes: 31987.71, response time: 90.08ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 512, tps: 10726.40, reads: 32174.40, writes: 32177.20, response time: 89.65ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 512, tps: 10572.49, reads: 31714.88, writes: 31716.68, response time: 93.32ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 512, tps: 9926.00, reads: 29785.81, writes: 29780.21, response time: 97.32ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 512, tps: 10501.60, reads: 31503.00, writes: 31505.00, response time: 91.74ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 512, tps: 10727.00, reads: 32181.10, writes: 32179.10, response time: 89.73ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 512, tps: 8266.10, reads: 24795.90, writes: 24798.80, response time: 90.30ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 512, tps: 10335.20, reads: 31011.99, writes: 31007.49, response time: 95.04ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 512, tps: 9869.60, reads: 29604.50, writes: 29608.10, response time: 98.52ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 512, tps: 10618.90, reads: 31856.11, writes: 31855.61, response time: 90.52ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 512, tps: 10699.60, reads: 32101.10, writes: 32099.10, response time: 89.82ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 512, tps: 10724.00, reads: 32170.40, writes: 32173.90, response time: 89.76ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 512, tps: 10059.60, reads: 30177.81, writes: 30176.21, response time: 95.84ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 512, tps: 7974.84, reads: 24042.53, writes: 23949.73, response time: 99.29ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 512, tps: 10279.67, reads: 30723.61, writes: 30815.01, response time: 90.71ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 512, tps: 10710.40, reads: 32131.19, writes: 32130.69, response time: 89.84ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 512, tps: 10547.10, reads: 31633.81, writes: 31639.11, response time: 93.80ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 512, tps: 9978.60, reads: 29942.50, writes: 29940.10, response time: 96.85ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 512, tps: 10360.40, reads: 31079.80, writes: 31079.80, response time: 96.48ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 512, tps: 10685.80, reads: 32057.80, writes: 32057.80, response time: 90.08ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 512, tps: 7884.56, reads: 23770.89, writes: 23675.39, response time: 91.44ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 512, tps: 9733.94, reads: 29086.53, writes: 29180.83, response time: 102.03ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 512, tps: 9952.40, reads: 29857.40, writes: 29856.20, response time: 98.02ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 512, tps: 10462.40, reads: 31388.09, writes: 31389.49, response time: 92.88ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 512, tps: 10688.60, reads: 32065.81, writes: 32063.71, response time: 90.25ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 512, tps: 10690.09, reads: 32064.68, writes: 32068.08, response time: 90.03ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 512, tps: 10041.00, reads: 30122.31, writes: 30123.71, response time: 96.65ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 512, tps: 8788.20, reads: 26367.50, writes: 26365.90, response time: 99.08ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 512, tps: 7043.00, reads: 21134.00, writes: 21129.70, response time: 131.40ms (95%), errors: 0.00, reconnects:  0.00
