sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 100
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 100, tps: 561.96, reads: 7913.47, writes: 2247.85, response time: 320.90ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 100, tps: 465.00, reads: 6659.03, writes: 1864.01, response time: 463.19ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 100, tps: 439.00, reads: 6015.98, writes: 1756.99, response time: 406.27ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 100, tps: 1161.98, reads: 16338.70, writes: 4648.92, response time: 259.93ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 100, tps: 480.00, reads: 6740.95, writes: 1922.99, response time: 438.63ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 100, tps: 604.00, reads: 8359.03, writes: 2407.01, response time: 490.00ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 100, tps: 614.01, reads: 8624.18, writes: 2460.05, response time: 351.90ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 100, tps: 543.98, reads: 7666.77, writes: 2175.93, response time: 358.17ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 100, tps: 488.00, reads: 6966.01, writes: 1954.00, response time: 413.26ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 100, tps: 610.02, reads: 8293.26, writes: 2434.08, response time: 406.51ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 100, tps: 479.99, reads: 6910.91, writes: 1921.97, response time: 419.24ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 100, tps: 699.01, reads: 9667.13, writes: 2794.04, response time: 318.23ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 100, tps: 647.98, reads: 9083.79, writes: 2591.94, response time: 289.24ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 100, tps: 691.02, reads: 9660.22, writes: 2778.06, response time: 326.52ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 100, tps: 846.00, reads: 11949.99, writes: 3379.00, response time: 274.32ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 100, tps: 807.00, reads: 11186.01, writes: 3219.00, response time: 326.82ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 100, tps: 645.00, reads: 9042.01, writes: 2580.00, response time: 359.24ms (95%), errors: 0.00, reconnects:  0.00
