sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Threads started!

setting write concern to 1
[  10s] threads: 1, tps: 8.00, reads: 24.80, writes: 0.00, response time: 940.46ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 35.00, reads: 108.60, writes: 0.00, response time: 62.58ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 62.60, reads: 194.50, writes: 0.00, response time: 79.23ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 56.40, reads: 174.70, writes: 0.00, response time: 80.30ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 59.10, reads: 183.10, writes: 0.00, response time: 81.76ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 59.30, reads: 183.70, writes: 0.00, response time: 80.52ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1, tps: 58.80, reads: 181.60, writes: 0.00, response time: 80.30ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1, tps: 52.20, reads: 162.20, writes: 0.00, response time: 80.66ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1, tps: 54.90, reads: 170.50, writes: 0.00, response time: 82.20ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1, tps: 64.70, reads: 199.50, writes: 0.00, response time: 79.61ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1, tps: 57.60, reads: 179.30, writes: 0.00, response time: 79.80ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 61.30, reads: 191.10, writes: 0.00, response time: 80.21ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 57.40, reads: 177.70, writes: 0.00, response time: 80.09ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1, tps: 55.30, reads: 172.20, writes: 0.00, response time: 83.26ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 63.50, reads: 197.50, writes: 0.00, response time: 78.94ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 65.10, reads: 201.90, writes: 0.00, response time: 79.80ms (95%), errors: 0.00, reconnects:  0.00
