sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 51936.39, reads: 155810.87, writes: 0.00, response time: 40.19ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 53449.43, reads: 160348.58, writes: 0.00, response time: 40.90ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 53540.59, reads: 160622.37, writes: 0.00, response time: 40.74ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 53585.81, reads: 160757.52, writes: 0.00, response time: 40.57ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 53383.16, reads: 160149.57, writes: 0.00, response time: 40.86ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 53434.95, reads: 160304.24, writes: 0.00, response time: 40.89ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 55845.88, reads: 167632.54, writes: 0.00, response time: 40.03ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 56265.71, reads: 168797.42, writes: 0.00, response time: 39.81ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 56237.20, reads: 168712.09, writes: 0.00, response time: 39.94ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 56157.59, reads: 168473.27, writes: 0.00, response time: 40.11ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 56305.30, reads: 168914.81, writes: 0.00, response time: 39.74ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 56134.21, reads: 168403.02, writes: 0.00, response time: 40.13ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 51963.39, reads: 155842.36, writes: 0.00, response time: 42.19ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 50838.59, reads: 152516.87, writes: 0.00, response time: 42.66ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 50845.90, reads: 152536.61, writes: 0.00, response time: 42.62ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 51016.71, reads: 153051.12, writes: 0.00, response time: 42.38ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 51005.11, reads: 153013.92, writes: 0.00, response time: 42.15ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 50834.30, reads: 152503.69, writes: 0.00, response time: 42.46ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 53749.80, reads: 161201.41, writes: 0.00, response time: 41.24ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 512, tps: 54047.51, reads: 162142.93, writes: 0.00, response time: 41.06ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 512, tps: 54327.80, reads: 162983.00, writes: 0.00, response time: 40.59ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 512, tps: 54243.98, reads: 162732.45, writes: 0.00, response time: 40.75ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 512, tps: 54453.41, reads: 163359.22, writes: 0.00, response time: 40.47ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 512, tps: 54192.49, reads: 162577.48, writes: 0.00, response time: 40.92ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 512, tps: 53752.60, reads: 161258.69, writes: 0.00, response time: 40.74ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 512, tps: 53400.77, reads: 160201.42, writes: 0.00, response time: 41.06ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 512, tps: 53448.83, reads: 160347.78, writes: 0.00, response time: 40.92ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 512, tps: 53567.10, reads: 160701.21, writes: 0.00, response time: 40.62ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 512, tps: 53427.87, reads: 160283.21, writes: 0.00, response time: 40.86ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 512, tps: 53537.83, reads: 160613.09, writes: 0.00, response time: 40.70ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 512, tps: 55702.40, reads: 167202.59, writes: 0.00, response time: 40.16ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 512, tps: 56331.48, reads: 168993.65, writes: 0.00, response time: 39.74ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 512, tps: 56259.81, reads: 168781.03, writes: 0.00, response time: 39.84ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 512, tps: 56069.81, reads: 168207.84, writes: 0.00, response time: 40.13ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 512, tps: 56225.60, reads: 168678.39, writes: 0.00, response time: 40.05ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 512, tps: 56222.29, reads: 168665.96, writes: 0.00, response time: 39.82ms (95%), errors: 0.00, reconnects:  0.00
