sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 1
Threads started!

[  10s] threads: 16, tps: 16.30, reads: 64.00, writes: 0.00, response time: 1779.81ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 15.80, reads: 59.30, writes: 0.00, response time: 1418.08ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 16.70, reads: 62.20, writes: 0.00, response time: 1562.97ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 16.30, reads: 60.50, writes: 0.00, response time: 1431.73ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 17.50, reads: 63.90, writes: 0.00, response time: 1374.20ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 16.30, reads: 61.80, writes: 0.00, response time: 1439.90ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 16.70, reads: 62.20, writes: 0.00, response time: 1408.35ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 17.20, reads: 63.80, writes: 0.00, response time: 1416.39ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 17.30, reads: 63.40, writes: 0.00, response time: 1458.11ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 16.50, reads: 61.40, writes: 0.00, response time: 1434.73ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 16.20, reads: 60.10, writes: 0.00, response time: 1429.59ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 16.70, reads: 62.00, writes: 0.00, response time: 1445.08ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 17.00, reads: 64.00, writes: 0.00, response time: 1423.19ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 17.10, reads: 63.70, writes: 0.00, response time: 1400.37ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 15.70, reads: 58.80, writes: 0.00, response time: 1452.02ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 16.90, reads: 63.70, writes: 0.00, response time: 1395.76ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 16.30, reads: 59.60, writes: 0.00, response time: 1412.57ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 16.60, reads: 62.00, writes: 0.00, response time: 1412.15ms (95%), errors: 0.00, reconnects:  0.00
