sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[  10s] threads: 128, tps: 7060.77, reads: 91818.38, writes: 21184.70, response time: 26.98ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 6936.60, reads: 90076.00, writes: 20809.80, response time: 27.81ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 6346.40, reads: 82495.65, writes: 19038.79, response time: 30.06ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 6277.30, reads: 81533.74, writes: 18832.21, response time: 29.51ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 6431.59, reads: 83547.62, writes: 19293.88, response time: 29.31ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 6399.00, reads: 83131.26, writes: 19196.91, response time: 29.46ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 6396.00, reads: 83081.33, writes: 19188.31, response time: 29.56ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 128, tps: 6160.50, reads: 80049.14, writes: 18482.19, response time: 30.32ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 128, tps: 6392.71, reads: 83054.38, writes: 19178.92, response time: 29.81ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 128, tps: 6522.50, reads: 84705.35, writes: 19566.79, response time: 29.25ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 128, tps: 6419.80, reads: 83405.96, writes: 19258.59, response time: 29.54ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 128, tps: 6754.71, reads: 87769.07, writes: 20264.42, response time: 28.13ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 128, tps: 7370.90, reads: 95748.64, writes: 22112.69, response time: 27.03ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 128, tps: 7622.81, reads: 99022.48, writes: 22868.72, response time: 26.67ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 128, tps: 7207.20, reads: 93652.75, writes: 21620.59, response time: 26.98ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 128, tps: 6916.70, reads: 89879.25, writes: 20750.21, response time: 27.25ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 128, tps: 6861.00, reads: 89129.45, writes: 20583.99, response time: 27.92ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 128, tps: 6788.00, reads: 88203.29, writes: 20363.10, response time: 28.49ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 128, tps: 6582.60, reads: 85540.44, writes: 19748.61, response time: 29.07ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 128, tps: 6394.20, reads: 83039.75, writes: 19181.79, response time: 29.73ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 128, tps: 6599.10, reads: 85717.76, writes: 19797.21, response time: 29.12ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 128, tps: 6948.30, reads: 90325.15, writes: 20846.19, response time: 28.06ms (95%), errors: 0.00, reconnects:  0.00
