sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[   2s] threads: 128, tps: 5851.30, reads: 50207.29, writes: 117314.51, response time: 37.94ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 128, tps: 5837.01, reads: 49658.06, writes: 116750.14, response time: 36.09ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 128, tps: 5985.00, reads: 51080.99, writes: 119693.47, response time: 37.40ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 128, tps: 6272.00, reads: 53424.52, writes: 125352.56, response time: 36.33ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 128, tps: 6104.00, reads: 52051.01, writes: 122129.02, response time: 36.94ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 128, tps: 6157.00, reads: 52292.47, writes: 123107.93, response time: 36.10ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 128, tps: 5851.98, reads: 50012.36, writes: 117132.67, response time: 37.30ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 128, tps: 5851.51, reads: 49659.09, writes: 116971.22, response time: 38.38ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 128, tps: 5307.49, reads: 44945.91, writes: 106248.79, response time: 38.37ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 5030.02, reads: 42783.66, writes: 100521.87, response time: 40.76ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 128, tps: 4736.49, reads: 40385.95, writes: 94711.89, response time: 42.96ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 128, tps: 5422.99, reads: 46165.43, writes: 108506.34, response time: 38.86ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 128, tps: 5522.01, reads: 46781.61, writes: 110386.26, response time: 39.87ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 128, tps: 5560.00, reads: 47439.50, writes: 111241.50, response time: 38.59ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 5365.49, reads: 45572.94, writes: 107279.85, response time: 40.03ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 128, tps: 5748.38, reads: 48967.47, writes: 114986.09, response time: 38.34ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 128, tps: 5912.61, reads: 50215.48, writes: 118334.30, response time: 36.27ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 128, tps: 5605.01, reads: 47468.12, writes: 112015.27, response time: 38.06ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 128, tps: 5640.50, reads: 48106.01, writes: 112781.03, response time: 38.80ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 5746.50, reads: 48927.47, writes: 114934.93, response time: 38.12ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 128, tps: 5064.00, reads: 42966.53, writes: 101300.08, response time: 42.04ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 128, tps: 5082.50, reads: 43221.51, writes: 101640.51, response time: 41.66ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 128, tps: 5685.99, reads: 48535.44, writes: 113754.36, response time: 38.07ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 128, tps: 5281.50, reads: 44922.04, writes: 105543.60, response time: 40.05ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 5407.99, reads: 46062.93, writes: 108202.83, response time: 39.59ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 128, tps: 6004.49, reads: 50868.91, writes: 120100.78, response time: 37.22ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 128, tps: 6096.02, reads: 51744.13, writes: 121904.31, response time: 36.34ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 128, tps: 5936.50, reads: 50484.54, writes: 118783.59, response time: 37.73ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 128, tps: 5282.50, reads: 44701.99, writes: 105556.49, response time: 46.06ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 4828.50, reads: 41155.51, writes: 96642.02, response time: 45.48ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 128, tps: 5986.00, reads: 50761.52, writes: 119664.04, response time: 36.60ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 128, tps: 5097.50, reads: 43362.49, writes: 101972.97, response time: 40.84ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 128, tps: 5020.50, reads: 42884.01, writes: 100463.52, response time: 41.50ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 128, tps: 6056.49, reads: 51541.43, writes: 121048.83, response time: 35.49ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 5986.50, reads: 50887.04, writes: 119752.59, response time: 36.78ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 128, tps: 5951.50, reads: 50588.02, writes: 119045.04, response time: 36.84ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 128, tps: 6002.47, reads: 51175.26, writes: 120049.94, response time: 36.39ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 128, tps: 5855.53, reads: 49901.23, writes: 117080.54, response time: 37.00ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 128, tps: 6026.00, reads: 51166.47, writes: 120571.94, response time: 36.63ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 128, tps: 5905.00, reads: 50220.03, writes: 118109.08, response time: 37.16ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 128, tps: 5965.99, reads: 50696.93, writes: 119249.84, response time: 36.63ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 128, tps: 5518.50, reads: 46781.52, writes: 110399.05, response time: 39.60ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 128, tps: 5957.51, reads: 50633.08, writes: 119137.68, response time: 37.62ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 128, tps: 6087.00, reads: 51860.47, writes: 121768.42, response time: 35.92ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 128, tps: 5975.01, reads: 50726.55, writes: 119503.62, response time: 37.02ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 128, tps: 5973.99, reads: 50536.43, writes: 119464.84, response time: 36.07ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 128, tps: 5808.48, reads: 49305.31, writes: 116212.56, response time: 36.14ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 128, tps: 5447.52, reads: 46381.68, writes: 108918.93, response time: 37.71ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 128, tps: 5913.00, reads: 50329.47, writes: 118292.94, response time: 35.88ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 128, tps: 6003.50, reads: 50942.51, writes: 120019.52, response time: 37.18ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 128, tps: 5986.51, reads: 51028.08, writes: 119779.19, response time: 36.57ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 128, tps: 5484.99, reads: 46644.41, writes: 109690.79, response time: 39.18ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 128, tps: 5872.00, reads: 50199.52, writes: 117414.55, response time: 37.25ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 128, tps: 5991.48, reads: 50700.35, writes: 119809.65, response time: 36.03ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 128, tps: 5815.02, reads: 49472.68, writes: 116343.91, response time: 37.14ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 128, tps: 5937.00, reads: 50369.50, writes: 118718.51, response time: 35.99ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 128, tps: 6021.00, reads: 51286.98, writes: 120499.44, response time: 36.50ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 128, tps: 5891.49, reads: 50140.87, writes: 117761.20, response time: 37.27ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 128, tps: 5944.01, reads: 50593.08, writes: 118857.70, response time: 35.86ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 128, tps: 5765.01, reads: 48716.59, writes: 115314.21, response time: 36.69ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 128, tps: 5806.99, reads: 49274.40, writes: 116123.76, response time: 36.32ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 128, tps: 5503.50, reads: 46696.54, writes: 110088.09, response time: 38.63ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 128, tps: 4429.01, reads: 37559.56, writes: 88586.13, response time: 44.27ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 128, tps: 5207.49, reads: 44335.90, writes: 104143.76, response time: 39.40ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 128, tps: 5934.01, reads: 50431.59, writes: 118630.20, response time: 37.17ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 128, tps: 6004.49, reads: 50967.95, writes: 120075.89, response time: 36.76ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 128, tps: 6057.00, reads: 51561.03, writes: 121182.56, response time: 35.51ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 128, tps: 5914.00, reads: 50234.99, writes: 118284.47, response time: 36.59ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 128, tps: 6042.00, reads: 51353.50, writes: 120823.01, response time: 35.86ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 128, tps: 5927.51, reads: 50247.06, writes: 118566.65, response time: 36.70ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 128, tps: 5978.49, reads: 50947.41, writes: 119615.30, response time: 36.47ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 128, tps: 5960.50, reads: 50755.97, writes: 119196.44, response time: 35.79ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 128, tps: 5400.50, reads: 45857.01, writes: 107978.53, response time: 40.30ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 128, tps: 6013.47, reads: 50873.22, writes: 120327.84, response time: 35.52ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 128, tps: 5907.53, reads: 50108.26, writes: 118125.12, response time: 36.74ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 128, tps: 6007.50, reads: 51058.04, writes: 120103.09, response time: 37.22ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 128, tps: 5980.49, reads: 50828.95, writes: 119649.38, response time: 36.35ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 128, tps: 5865.48, reads: 49981.32, writes: 117233.08, response time: 36.71ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 128, tps: 5968.53, reads: 50834.73, writes: 119402.53, response time: 36.36ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 128, tps: 5908.51, reads: 50220.56, writes: 118206.64, response time: 37.39ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 128, tps: 5960.97, reads: 50729.21, writes: 119218.31, response time: 36.64ms (95%), errors: 0.00, reconnects:  0.00
[ 164s] threads: 128, tps: 5949.52, reads: 50671.68, writes: 118960.41, response time: 37.41ms (95%), errors: 0.00, reconnects:  0.00
[ 166s] threads: 128, tps: 5497.01, reads: 47003.12, writes: 109955.28, response time: 39.66ms (95%), errors: 0.00, reconnects:  0.00
[ 168s] threads: 128, tps: 5863.50, reads: 49872.48, writes: 117242.95, response time: 37.46ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 128, tps: 5820.50, reads: 49560.51, writes: 116446.02, response time: 37.08ms (95%), errors: 0.00, reconnects:  0.00
[ 172s] threads: 128, tps: 5855.49, reads: 49632.45, writes: 117091.89, response time: 36.07ms (95%), errors: 0.00, reconnects:  0.00
[ 174s] threads: 128, tps: 5909.49, reads: 50192.95, writes: 118236.89, response time: 35.99ms (95%), errors: 0.00, reconnects:  0.00
[ 176s] threads: 128, tps: 5782.00, reads: 49137.01, writes: 115655.03, response time: 37.32ms (95%), errors: 0.00, reconnects:  0.00
[ 178s] threads: 128, tps: 5900.50, reads: 50101.99, writes: 117984.99, response time: 36.33ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 128, tps: 5816.41, reads: 49416.72, writes: 116313.67, response time: 36.92ms (95%), errors: 0.00, reconnects:  0.00
[ 182s] threads: 128, tps: 5904.10, reads: 50102.36, writes: 118062.02, response time: 36.75ms (95%), errors: 0.00, reconnects:  0.00
[ 184s] threads: 128, tps: 5955.50, reads: 50815.02, writes: 119118.05, response time: 36.32ms (95%), errors: 0.00, reconnects:  0.00
[ 186s] threads: 128, tps: 5882.50, reads: 49990.48, writes: 117659.45, response time: 36.91ms (95%), errors: 0.00, reconnects:  0.00
[ 188s] threads: 128, tps: 4890.00, reads: 41502.52, writes: 97878.55, response time: 42.52ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 128, tps: 5481.50, reads: 46420.47, writes: 109490.42, response time: 39.92ms (95%), errors: 0.00, reconnects:  0.00
[ 192s] threads: 128, tps: 5958.50, reads: 50626.00, writes: 119198.51, response time: 36.60ms (95%), errors: 0.00, reconnects:  0.00
[ 194s] threads: 128, tps: 6001.95, reads: 51301.60, writes: 120060.08, response time: 35.70ms (95%), errors: 0.00, reconnects:  0.00
[ 196s] threads: 128, tps: 5883.54, reads: 49878.36, writes: 117704.85, response time: 37.72ms (95%), errors: 0.00, reconnects:  0.00
[ 198s] threads: 128, tps: 6022.00, reads: 51253.96, writes: 120412.90, response time: 35.58ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 128, tps: 5938.50, reads: 50555.54, writes: 118797.09, response time: 37.75ms (95%), errors: 0.00, reconnects:  0.00
[ 202s] threads: 128, tps: 5953.00, reads: 50527.97, writes: 119062.42, response time: 37.24ms (95%), errors: 0.00, reconnects:  0.00
[ 204s] threads: 128, tps: 5957.51, reads: 50715.05, writes: 119139.62, response time: 36.32ms (95%), errors: 0.00, reconnects:  0.00
[ 206s] threads: 128, tps: 5878.50, reads: 49839.50, writes: 117567.00, response time: 37.30ms (95%), errors: 0.00, reconnects:  0.00
[ 208s] threads: 128, tps: 5885.50, reads: 49878.49, writes: 117726.98, response time: 36.95ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 128, tps: 4206.00, reads: 35547.01, writes: 84068.53, response time: 45.40ms (95%), errors: 0.00, reconnects:  0.00
[ 212s] threads: 128, tps: 5538.50, reads: 47039.96, writes: 110779.42, response time: 39.43ms (95%), errors: 0.00, reconnects:  0.00
[ 214s] threads: 128, tps: 5966.00, reads: 50685.51, writes: 119322.53, response time: 36.21ms (95%), errors: 0.00, reconnects:  0.00
[ 216s] threads: 128, tps: 4966.50, reads: 42456.00, writes: 99312.01, response time: 43.93ms (95%), errors: 0.00, reconnects:  0.00
[ 218s] threads: 128, tps: 4476.49, reads: 37974.38, writes: 89573.21, response time: 44.97ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 128, tps: 5136.51, reads: 43752.63, writes: 102792.80, response time: 41.63ms (95%), errors: 0.00, reconnects:  0.00
[ 222s] threads: 128, tps: 5235.51, reads: 44450.09, writes: 104646.22, response time: 41.25ms (95%), errors: 0.00, reconnects:  0.00
[ 224s] threads: 128, tps: 5353.00, reads: 45481.46, writes: 106977.41, response time: 40.35ms (95%), errors: 0.00, reconnects:  0.00
[ 226s] threads: 128, tps: 5149.00, reads: 43846.98, writes: 103075.96, response time: 42.02ms (95%), errors: 0.00, reconnects:  0.00
[ 228s] threads: 128, tps: 5310.47, reads: 44964.75, writes: 106143.40, response time: 40.87ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 128, tps: 5065.03, reads: 42985.73, writes: 101408.55, response time: 42.67ms (95%), errors: 0.00, reconnects:  0.00
[ 232s] threads: 128, tps: 4764.51, reads: 40341.04, writes: 95263.10, response time: 43.63ms (95%), errors: 0.00, reconnects:  0.00
[ 234s] threads: 128, tps: 4543.49, reads: 38681.95, writes: 90828.89, response time: 44.77ms (95%), errors: 0.00, reconnects:  0.00
[ 236s] threads: 128, tps: 4558.50, reads: 38837.50, writes: 91149.51, response time: 45.70ms (95%), errors: 0.00, reconnects:  0.00
[ 238s] threads: 128, tps: 4823.00, reads: 41142.46, writes: 96491.91, response time: 43.41ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 128, tps: 4804.51, reads: 40866.58, writes: 96080.19, response time: 45.36ms (95%), errors: 0.00, reconnects:  0.00
[ 242s] threads: 128, tps: 4903.50, reads: 41671.02, writes: 98081.54, response time: 43.50ms (95%), errors: 0.00, reconnects:  0.00
[ 244s] threads: 128, tps: 4846.99, reads: 41070.96, writes: 96890.90, response time: 43.70ms (95%), errors: 0.00, reconnects:  0.00
[ 246s] threads: 128, tps: 4664.95, reads: 39623.07, writes: 93375.48, response time: 45.35ms (95%), errors: 0.00, reconnects:  0.00
[ 248s] threads: 128, tps: 4641.05, reads: 39428.41, writes: 92838.46, response time: 44.88ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 128, tps: 4672.00, reads: 39614.03, writes: 93369.57, response time: 46.54ms (95%), errors: 0.00, reconnects:  0.00
[ 252s] threads: 128, tps: 4716.00, reads: 39996.02, writes: 94348.54, response time: 45.42ms (95%), errors: 0.00, reconnects:  0.00
[ 254s] threads: 128, tps: 4831.00, reads: 40883.49, writes: 96544.47, response time: 43.70ms (95%), errors: 0.00, reconnects:  0.00
[ 256s] threads: 128, tps: 4379.99, reads: 37299.95, writes: 87675.89, response time: 47.06ms (95%), errors: 0.00, reconnects:  0.00
[ 258s] threads: 128, tps: 4497.50, reads: 38317.49, writes: 89925.49, response time: 45.84ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 128, tps: 3904.00, reads: 33185.50, writes: 78111.51, response time: 48.46ms (95%), errors: 0.00, reconnects:  0.00
[ 262s] threads: 128, tps: 3923.51, reads: 33206.06, writes: 78453.15, response time: 48.36ms (95%), errors: 0.00, reconnects:  0.00
[ 264s] threads: 128, tps: 4380.47, reads: 37120.26, writes: 87592.42, response time: 46.07ms (95%), errors: 0.00, reconnects:  0.00
[ 266s] threads: 128, tps: 4162.02, reads: 35423.18, writes: 83255.43, response time: 48.51ms (95%), errors: 0.00, reconnects:  0.00
[ 268s] threads: 128, tps: 4545.51, reads: 38792.06, writes: 90945.63, response time: 45.57ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 128, tps: 4179.50, reads: 35567.96, writes: 83510.41, response time: 47.89ms (95%), errors: 0.00, reconnects:  0.00
[ 272s] threads: 128, tps: 4135.00, reads: 35130.97, writes: 82739.44, response time: 47.29ms (95%), errors: 0.00, reconnects:  0.00
[ 274s] threads: 128, tps: 4100.50, reads: 34850.52, writes: 81997.05, response time: 47.73ms (95%), errors: 0.00, reconnects:  0.00
[ 276s] threads: 128, tps: 4077.50, reads: 34663.52, writes: 81589.55, response time: 48.65ms (95%), errors: 0.00, reconnects:  0.00
[ 278s] threads: 128, tps: 4223.00, reads: 35808.48, writes: 84432.45, response time: 46.42ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 128, tps: 4185.49, reads: 35630.43, writes: 83680.32, response time: 47.32ms (95%), errors: 0.00, reconnects:  0.00
[ 282s] threads: 128, tps: 4150.51, reads: 35215.10, writes: 83033.73, response time: 48.25ms (95%), errors: 0.00, reconnects:  0.00
[ 284s] threads: 128, tps: 4357.49, reads: 36965.44, writes: 87140.35, response time: 46.50ms (95%), errors: 0.00, reconnects:  0.00
[ 286s] threads: 128, tps: 4169.00, reads: 35605.02, writes: 83406.54, response time: 48.09ms (95%), errors: 0.00, reconnects:  0.00
[ 288s] threads: 128, tps: 4003.00, reads: 34212.01, writes: 80010.03, response time: 48.23ms (95%), errors: 0.00, reconnects:  0.00
