sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[   2s] threads: 128, tps: 4520.34, reads: 59272.43, writes: 90663.33, response time: 45.16ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 128, tps: 4862.51, reads: 63148.62, writes: 97295.69, response time: 40.78ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 128, tps: 5066.99, reads: 65737.92, writes: 101279.38, response time: 39.57ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 128, tps: 5156.50, reads: 67037.96, writes: 103132.44, response time: 38.78ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 128, tps: 4818.90, reads: 62581.24, writes: 96426.56, response time: 43.40ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 128, tps: 4660.10, reads: 60636.74, writes: 93153.41, response time: 42.76ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 128, tps: 5123.51, reads: 66559.07, writes: 102476.61, response time: 38.72ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 128, tps: 5114.94, reads: 66438.74, writes: 102322.83, response time: 39.54ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 128, tps: 5192.56, reads: 67423.29, writes: 103849.22, response time: 38.26ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 4929.98, reads: 64067.77, writes: 98652.14, response time: 41.60ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 128, tps: 5195.50, reads: 67452.53, writes: 103830.54, response time: 38.28ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 128, tps: 4989.52, reads: 64804.71, writes: 99851.32, response time: 40.74ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 128, tps: 5161.42, reads: 67046.52, writes: 103193.49, response time: 39.15ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 128, tps: 5039.07, reads: 65454.90, writes: 100830.88, response time: 39.73ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 4945.00, reads: 64209.50, writes: 98855.49, response time: 41.18ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 128, tps: 5190.00, reads: 67405.51, writes: 103765.02, response time: 38.30ms (95%), errors: 0.00, reconnects:  0.00
