sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[   2s] threads: 128, tps: 4755.84, reads: 40943.09, writes: 95337.72, response time: 47.30ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 128, tps: 5246.50, reads: 44629.02, writes: 104985.56, response time: 41.03ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 128, tps: 5850.33, reads: 49724.08, writes: 116959.17, response time: 38.37ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 128, tps: 5928.17, reads: 50536.46, writes: 118611.44, response time: 38.06ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 128, tps: 6116.50, reads: 51947.53, writes: 122338.58, response time: 37.01ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 128, tps: 6165.35, reads: 52372.28, writes: 123314.59, response time: 36.47ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 128, tps: 6088.11, reads: 51707.40, writes: 121722.65, response time: 37.34ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 128, tps: 6295.47, reads: 53581.28, writes: 125924.49, response time: 36.05ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 128, tps: 6161.01, reads: 52440.57, writes: 123240.67, response time: 36.57ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 6252.01, reads: 53099.11, writes: 124947.75, response time: 35.82ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 128, tps: 4751.49, reads: 40414.43, writes: 95140.83, response time: 41.35ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 128, tps: 6045.01, reads: 51382.05, writes: 120880.62, response time: 37.24ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 128, tps: 6296.50, reads: 53293.49, writes: 125914.97, response time: 35.83ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 128, tps: 6124.51, reads: 52332.08, writes: 122500.69, response time: 36.91ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 6231.52, reads: 53055.18, writes: 124614.42, response time: 36.38ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 128, tps: 6246.47, reads: 53124.20, writes: 124893.30, response time: 36.24ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 128, tps: 6107.01, reads: 51823.08, writes: 122180.19, response time: 37.08ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 128, tps: 6285.99, reads: 53388.37, writes: 125703.20, response time: 35.89ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 128, tps: 6113.02, reads: 52015.16, writes: 122301.38, response time: 36.65ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 5733.98, reads: 48571.84, writes: 114654.61, response time: 39.28ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 128, tps: 4812.52, reads: 40877.17, writes: 96264.89, response time: 40.64ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 128, tps: 5815.97, reads: 49383.77, writes: 116313.46, response time: 38.80ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 128, tps: 5682.47, reads: 48271.24, writes: 113640.39, response time: 38.79ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 128, tps: 6013.55, reads: 51188.92, writes: 120222.48, response time: 36.96ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 6200.00, reads: 52555.49, writes: 124106.47, response time: 36.11ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 128, tps: 6216.51, reads: 52875.57, writes: 124328.15, response time: 35.72ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 128, tps: 6079.90, reads: 51715.17, writes: 121563.05, response time: 37.14ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 128, tps: 4576.07, reads: 38901.13, writes: 91510.48, response time: 56.12ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 128, tps: 5220.00, reads: 44237.96, writes: 104395.41, response time: 38.28ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 5309.00, reads: 45331.47, writes: 106152.44, response time: 37.32ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 128, tps: 4603.99, reads: 38998.91, writes: 92088.78, response time: 44.37ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 128, tps: 5177.01, reads: 44053.07, writes: 103547.17, response time: 39.60ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 128, tps: 5345.51, reads: 45518.56, writes: 106939.64, response time: 37.40ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 128, tps: 5308.50, reads: 45072.47, writes: 106123.42, response time: 38.56ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 5366.50, reads: 45488.48, writes: 107346.96, response time: 38.01ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 128, tps: 5391.51, reads: 45672.09, writes: 107797.71, response time: 37.57ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 128, tps: 5454.50, reads: 46376.48, writes: 109105.95, response time: 38.74ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 128, tps: 6167.00, reads: 52406.01, writes: 123345.51, response time: 36.63ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 128, tps: 5995.00, reads: 51013.47, writes: 119950.93, response time: 37.90ms (95%), errors: 0.00, reconnects:  0.00
