sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[   2s] threads: 128, tps: 4770.77, reads: 40987.53, writes: 95658.91, response time: 47.40ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 128, tps: 5470.03, reads: 46587.72, writes: 109417.52, response time: 39.70ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 128, tps: 5543.48, reads: 47079.84, writes: 110914.61, response time: 43.77ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 128, tps: 6037.51, reads: 51254.13, writes: 120747.80, response time: 38.12ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 128, tps: 6092.90, reads: 51878.11, writes: 121801.40, response time: 36.50ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 128, tps: 6182.61, reads: 52708.44, writes: 123756.71, response time: 36.56ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 128, tps: 6247.50, reads: 53086.99, writes: 124848.47, response time: 36.08ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 128, tps: 6244.41, reads: 53176.22, writes: 124953.67, response time: 36.38ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 128, tps: 6242.59, reads: 53083.80, writes: 124899.87, response time: 36.11ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 128, tps: 6271.98, reads: 53467.85, writes: 125379.14, response time: 36.30ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 128, tps: 4982.49, reads: 42405.88, writes: 99598.21, response time: 40.64ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 128, tps: 6227.04, reads: 52859.83, writes: 124560.78, response time: 36.01ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 128, tps: 6277.50, reads: 53447.47, writes: 125524.42, response time: 35.94ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 128, tps: 6237.00, reads: 52866.00, writes: 124799.50, response time: 36.24ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 128, tps: 6266.48, reads: 53251.87, writes: 125300.19, response time: 35.71ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 128, tps: 6156.50, reads: 52347.99, writes: 123128.98, response time: 37.29ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 128, tps: 6263.50, reads: 53225.01, writes: 125283.03, response time: 36.10ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 128, tps: 6278.01, reads: 53410.12, writes: 125544.79, response time: 35.94ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 128, tps: 6282.00, reads: 53384.97, writes: 125646.92, response time: 36.32ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 128, tps: 5525.01, reads: 47038.09, writes: 110488.72, response time: 39.89ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 128, tps: 5004.00, reads: 42518.47, writes: 100049.43, response time: 39.03ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 128, tps: 5687.98, reads: 48154.33, writes: 113802.61, response time: 38.72ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 128, tps: 4545.01, reads: 38629.59, writes: 90863.22, response time: 43.33ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 128, tps: 5985.49, reads: 50844.95, writes: 119742.37, response time: 37.17ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 128, tps: 6200.01, reads: 52837.05, writes: 124009.61, response time: 36.81ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 128, tps: 6237.99, reads: 53072.38, writes: 124792.22, response time: 35.65ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 128, tps: 6254.52, reads: 53267.13, writes: 125014.30, response time: 36.12ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 128, tps: 4756.51, reads: 40445.57, writes: 95136.66, response time: 55.72ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 128, tps: 5249.00, reads: 44590.02, writes: 105038.04, response time: 37.27ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 128, tps: 5238.48, reads: 44449.32, writes: 104760.57, response time: 37.75ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 128, tps: 4664.51, reads: 39684.06, writes: 93217.63, response time: 43.71ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 128, tps: 5195.51, reads: 44184.05, writes: 103937.11, response time: 38.52ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 128, tps: 5314.99, reads: 45155.45, writes: 106355.88, response time: 37.92ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 128, tps: 5353.91, reads: 45562.26, writes: 107036.26, response time: 37.64ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 128, tps: 5330.59, reads: 45269.73, writes: 106572.22, response time: 37.67ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 128, tps: 5154.01, reads: 43717.61, writes: 103159.25, response time: 41.24ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 128, tps: 6121.50, reads: 51974.48, writes: 122388.95, response time: 37.02ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 128, tps: 6090.98, reads: 51867.33, writes: 121804.10, response time: 37.62ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 128, tps: 6082.51, reads: 51700.57, writes: 121689.17, response time: 37.51ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 128, tps: 5950.51, reads: 50557.11, writes: 119005.76, response time: 38.36ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 128, tps: 6060.49, reads: 51536.41, writes: 121226.28, response time: 37.17ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 128, tps: 4523.50, reads: 38466.04, writes: 90469.08, response time: 44.97ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 128, tps: 4919.51, reads: 41784.54, writes: 98342.11, response time: 43.34ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 128, tps: 6095.99, reads: 51734.91, writes: 121900.78, response time: 37.39ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 128, tps: 6116.51, reads: 51899.54, writes: 122359.10, response time: 36.70ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 128, tps: 6131.01, reads: 52109.56, writes: 122603.14, response time: 36.85ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 128, tps: 6032.90, reads: 51534.14, writes: 120719.49, response time: 37.73ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 128, tps: 6123.09, reads: 51986.30, writes: 122428.89, response time: 36.96ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 128, tps: 6122.01, reads: 52009.05, writes: 122443.11, response time: 37.10ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 128, tps: 6061.98, reads: 51488.85, writes: 121190.64, response time: 37.61ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 128, tps: 6123.01, reads: 52112.10, writes: 122512.24, response time: 36.92ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 128, tps: 4981.50, reads: 42271.52, writes: 99653.06, response time: 42.08ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 128, tps: 5385.49, reads: 45711.91, writes: 107693.78, response time: 39.73ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 128, tps: 5966.49, reads: 50872.43, writes: 119355.34, response time: 38.40ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 128, tps: 6079.00, reads: 51712.00, writes: 121518.99, response time: 36.84ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 128, tps: 6096.50, reads: 51853.02, writes: 121966.54, response time: 36.71ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 128, tps: 6103.90, reads: 51711.19, writes: 122075.60, response time: 37.68ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 128, tps: 5922.10, reads: 50229.38, writes: 118428.58, response time: 39.17ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 128, tps: 6064.00, reads: 51394.51, writes: 121309.03, response time: 37.99ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 128, tps: 6075.00, reads: 51876.52, writes: 121471.55, response time: 36.92ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 128, tps: 6097.48, reads: 51808.86, writes: 121973.16, response time: 37.87ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 128, tps: 5402.00, reads: 46007.03, writes: 108026.57, response time: 40.69ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 128, tps: 5701.50, reads: 48362.96, writes: 114029.91, response time: 39.20ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 128, tps: 6085.00, reads: 51616.52, writes: 121687.55, response time: 37.06ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 128, tps: 6082.01, reads: 51923.11, writes: 121633.76, response time: 37.18ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 128, tps: 6059.00, reads: 51516.03, writes: 121186.06, response time: 37.45ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 128, tps: 6080.50, reads: 51503.00, writes: 121592.50, response time: 37.16ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 128, tps: 6094.00, reads: 51661.98, writes: 121881.45, response time: 37.68ms (95%), errors: 0.00, reconnects:  0.00
