sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[   2s] threads: 24, tps: 4791.85, reads: 62328.52, writes: 95903.45, response time: 6.19ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 4600.45, reads: 59755.39, writes: 91965.56, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 4719.05, reads: 61242.16, writes: 94402.02, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 4716.99, reads: 61278.85, writes: 94352.78, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 4726.00, reads: 61393.55, writes: 94535.57, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 4743.99, reads: 61609.90, writes: 94836.35, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 4643.50, reads: 60289.03, writes: 92869.54, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 4630.00, reads: 60158.54, writes: 92601.56, response time: 6.22ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 4665.01, reads: 60629.13, writes: 93330.70, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 4756.99, reads: 61890.37, writes: 95106.80, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 4697.00, reads: 61019.01, writes: 93958.51, response time: 6.16ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 4666.01, reads: 60664.16, writes: 93321.75, response time: 6.11ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 4709.50, reads: 61221.97, writes: 94200.45, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 4625.49, reads: 60077.89, writes: 92546.34, response time: 6.16ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 4616.01, reads: 60008.63, writes: 92271.70, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 4655.50, reads: 60530.51, writes: 93160.01, response time: 6.23ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 4545.48, reads: 59020.30, writes: 90885.70, response time: 6.24ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 4639.52, reads: 60275.21, writes: 92778.82, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 24, tps: 4714.49, reads: 61219.43, writes: 94291.38, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 24, tps: 4698.00, reads: 61028.56, writes: 93943.09, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 24, tps: 4704.00, reads: 61078.53, writes: 94092.04, response time: 6.11ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 24, tps: 4728.99, reads: 61480.82, writes: 94594.23, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 24, tps: 4718.01, reads: 61325.57, writes: 94348.61, response time: 6.17ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 24, tps: 4752.51, reads: 61764.12, writes: 95049.18, response time: 6.15ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 24, tps: 4708.49, reads: 61131.91, writes: 94166.37, response time: 6.26ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 24, tps: 4711.98, reads: 61312.79, writes: 94249.68, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 24, tps: 4721.52, reads: 61345.72, writes: 94413.83, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 24, tps: 4788.50, reads: 62193.01, writes: 95777.52, response time: 6.00ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 24, tps: 4754.00, reads: 61773.99, writes: 95046.98, response time: 6.11ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 24, tps: 4855.50, reads: 63084.02, writes: 97151.04, response time: 5.94ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 24, tps: 4698.50, reads: 61003.46, writes: 93954.94, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 24, tps: 4679.00, reads: 60803.55, writes: 93585.58, response time: 6.12ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 24, tps: 4712.00, reads: 61241.96, writes: 94268.44, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 24, tps: 4734.99, reads: 61513.87, writes: 94706.80, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 24, tps: 4709.51, reads: 61136.64, writes: 94157.21, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 24, tps: 4738.50, reads: 61608.55, writes: 94789.58, response time: 6.01ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 24, tps: 4729.00, reads: 61470.47, writes: 94569.95, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 24, tps: 4771.50, reads: 61905.44, writes: 95411.41, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 24, tps: 4761.00, reads: 61946.56, writes: 95227.10, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 24, tps: 4704.00, reads: 61169.48, writes: 94074.96, response time: 6.12ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 24, tps: 4715.00, reads: 61245.06, writes: 94298.59, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 24, tps: 4716.99, reads: 61283.43, writes: 94371.89, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 24, tps: 4700.50, reads: 61032.00, writes: 94006.50, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 24, tps: 4774.00, reads: 62012.94, writes: 95445.91, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 24, tps: 4739.01, reads: 61545.08, writes: 94803.62, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 24, tps: 4748.00, reads: 61742.53, writes: 94945.04, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 24, tps: 4678.00, reads: 60736.01, writes: 93600.02, response time: 6.17ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 24, tps: 4714.49, reads: 61180.39, writes: 94238.82, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 24, tps: 4656.01, reads: 60427.57, writes: 93164.61, response time: 6.16ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 24, tps: 4696.48, reads: 61024.75, writes: 93884.62, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 24, tps: 4700.02, reads: 61023.76, writes: 93993.90, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 24, tps: 4726.49, reads: 61451.38, writes: 94561.81, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 24, tps: 4720.01, reads: 61313.58, writes: 94379.62, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 24, tps: 4663.50, reads: 60506.01, writes: 93275.52, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 24, tps: 4745.50, reads: 61637.97, writes: 94890.46, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 24, tps: 4747.00, reads: 61696.97, writes: 94961.95, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 24, tps: 4740.00, reads: 61665.44, writes: 94803.91, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 24, tps: 4783.51, reads: 62185.57, writes: 95669.60, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 24, tps: 4757.00, reads: 61909.06, writes: 95130.59, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 24, tps: 4774.00, reads: 62050.45, writes: 95495.43, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 24, tps: 4811.50, reads: 62507.46, writes: 96242.43, response time: 6.02ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 24, tps: 4825.51, reads: 62640.58, writes: 96465.62, response time: 6.01ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 24, tps: 4792.00, reads: 62219.00, writes: 95866.00, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 24, tps: 4779.00, reads: 62077.55, writes: 95588.58, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 24, tps: 4743.99, reads: 61557.81, writes: 94859.21, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 24, tps: 4702.50, reads: 61164.54, writes: 94091.07, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 24, tps: 4768.51, reads: 61936.14, writes: 95354.72, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 24, tps: 4747.00, reads: 61716.47, writes: 94970.95, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 24, tps: 4761.00, reads: 61857.49, writes: 95151.99, response time: 6.02ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 24, tps: 4765.50, reads: 61840.01, writes: 95329.02, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 24, tps: 4730.50, reads: 61475.94, writes: 94614.91, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 24, tps: 4730.50, reads: 61543.44, writes: 94616.42, response time: 6.12ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 24, tps: 4747.51, reads: 61751.08, writes: 94942.12, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 24, tps: 4752.00, reads: 61753.00, writes: 95035.01, response time: 6.02ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 24, tps: 4772.50, reads: 62044.00, writes: 95464.49, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 24, tps: 4740.00, reads: 61610.03, writes: 94771.04, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 24, tps: 4811.50, reads: 62564.98, writes: 96263.47, response time: 5.98ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 24, tps: 4745.00, reads: 61676.05, writes: 94848.07, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 24, tps: 4727.99, reads: 61434.34, writes: 94570.76, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 24, tps: 4684.51, reads: 60879.59, writes: 93701.14, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 24, tps: 4703.01, reads: 61291.08, writes: 94085.62, response time: 6.17ms (95%), errors: 0.00, reconnects:  0.00
[ 164s] threads: 24, tps: 4743.50, reads: 61652.99, writes: 94869.48, response time: 6.02ms (95%), errors: 0.00, reconnects:  0.00
[ 166s] threads: 24, tps: 4720.50, reads: 61283.94, writes: 94402.40, response time: 6.12ms (95%), errors: 0.00, reconnects:  0.00
[ 168s] threads: 24, tps: 4744.50, reads: 61626.50, writes: 94859.49, response time: 6.12ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 24, tps: 4727.00, reads: 61407.01, writes: 94588.51, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[ 172s] threads: 24, tps: 4728.50, reads: 61431.04, writes: 94552.57, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 174s] threads: 24, tps: 4732.49, reads: 61461.93, writes: 94651.39, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 176s] threads: 24, tps: 4713.50, reads: 61216.55, writes: 94256.07, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[ 178s] threads: 24, tps: 4728.00, reads: 61461.96, writes: 94562.44, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 24, tps: 4728.01, reads: 61449.58, writes: 94591.63, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 182s] threads: 24, tps: 4736.99, reads: 61503.85, writes: 94720.26, response time: 6.11ms (95%), errors: 0.00, reconnects:  0.00
[ 184s] threads: 24, tps: 4780.51, reads: 62077.64, writes: 95628.21, response time: 6.02ms (95%), errors: 0.00, reconnects:  0.00
[ 186s] threads: 24, tps: 4764.99, reads: 61911.41, writes: 95248.36, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[ 188s] threads: 24, tps: 4708.01, reads: 61103.12, writes: 94160.19, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 24, tps: 4742.98, reads: 61707.77, writes: 94916.65, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 192s] threads: 24, tps: 4776.51, reads: 61990.67, writes: 95493.26, response time: 6.00ms (95%), errors: 0.00, reconnects:  0.00
[ 194s] threads: 24, tps: 4639.00, reads: 60346.05, writes: 92755.07, response time: 5.99ms (95%), errors: 0.00, reconnects:  0.00
[ 196s] threads: 24, tps: 4689.00, reads: 60919.97, writes: 93847.45, response time: 6.17ms (95%), errors: 0.00, reconnects:  0.00
[ 198s] threads: 24, tps: 4718.99, reads: 61320.39, writes: 94357.83, response time: 6.17ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 24, tps: 4708.50, reads: 61140.54, writes: 94184.56, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[ 202s] threads: 24, tps: 4726.00, reads: 61478.54, writes: 94478.56, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[ 204s] threads: 24, tps: 4708.01, reads: 61183.57, writes: 94151.60, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[ 206s] threads: 24, tps: 4749.00, reads: 61715.45, writes: 94984.93, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[ 208s] threads: 24, tps: 4761.50, reads: 61802.54, writes: 95251.56, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 24, tps: 4771.50, reads: 61945.97, writes: 95440.96, response time: 5.97ms (95%), errors: 0.00, reconnects:  0.00
[ 212s] threads: 24, tps: 4713.50, reads: 61221.98, writes: 94252.97, response time: 6.12ms (95%), errors: 0.00, reconnects:  0.00
[ 214s] threads: 24, tps: 4752.50, reads: 61717.98, writes: 95065.97, response time: 6.01ms (95%), errors: 0.00, reconnects:  0.00
[ 216s] threads: 24, tps: 4744.50, reads: 61608.97, writes: 94892.95, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 218s] threads: 24, tps: 4819.00, reads: 62581.04, writes: 96347.06, response time: 5.98ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 24, tps: 4750.00, reads: 61753.51, writes: 95040.02, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 222s] threads: 24, tps: 4751.49, reads: 61779.43, writes: 94986.90, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[ 224s] threads: 24, tps: 4744.51, reads: 61721.60, writes: 94923.65, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[ 226s] threads: 24, tps: 4698.00, reads: 61085.98, writes: 93992.97, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 228s] threads: 24, tps: 4743.99, reads: 61632.92, writes: 94843.87, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 24, tps: 4803.00, reads: 62547.48, writes: 96030.47, response time: 6.00ms (95%), errors: 0.00, reconnects:  0.00
[ 232s] threads: 24, tps: 4762.51, reads: 61919.08, writes: 95268.12, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 234s] threads: 24, tps: 4780.00, reads: 62107.45, writes: 95603.42, response time: 6.02ms (95%), errors: 0.00, reconnects:  0.00
[ 236s] threads: 24, tps: 4757.50, reads: 61807.05, writes: 95146.08, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
[ 238s] threads: 24, tps: 4629.00, reads: 60150.46, writes: 92578.94, response time: 6.15ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 24, tps: 4727.50, reads: 61502.49, writes: 94615.98, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 242s] threads: 24, tps: 4721.00, reads: 61327.05, writes: 94370.58, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 244s] threads: 24, tps: 4714.00, reads: 61222.48, writes: 94260.46, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 246s] threads: 24, tps: 4723.51, reads: 61274.08, writes: 94470.63, response time: 6.16ms (95%), errors: 0.00, reconnects:  0.00
[ 248s] threads: 24, tps: 4766.49, reads: 61897.39, writes: 95308.33, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
FATAL: error in insert (E11000 duplicate key error collection: sbtest.sbtest1 index: _id_ dup key: { : 12345051 })
[ 250s] threads: 24, tps: 4774.49, reads: 61972.38, writes: 95507.31, response time: 6.04ms (95%), errors: 0.50, reconnects:  0.00
[ 252s] threads: 24, tps: 4789.50, reads: 62212.53, writes: 95779.55, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 254s] threads: 24, tps: 4757.00, reads: 61749.53, writes: 95153.55, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 256s] threads: 24, tps: 4772.02, reads: 61975.70, writes: 95432.31, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 258s] threads: 24, tps: 4780.99, reads: 62144.37, writes: 95643.80, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 24, tps: 4724.50, reads: 61298.04, writes: 94468.56, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 262s] threads: 24, tps: 4744.49, reads: 61683.35, writes: 94933.77, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 264s] threads: 24, tps: 4767.51, reads: 61972.15, writes: 95327.23, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 266s] threads: 24, tps: 4808.00, reads: 62443.50, writes: 96134.01, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
[ 268s] threads: 24, tps: 4794.51, reads: 62263.57, writes: 95882.60, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 24, tps: 4758.00, reads: 61928.50, writes: 95203.99, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 272s] threads: 24, tps: 4759.00, reads: 61761.97, writes: 95162.45, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 274s] threads: 24, tps: 4714.49, reads: 61297.42, writes: 94302.38, response time: 6.13ms (95%), errors: 0.00, reconnects:  0.00
[ 276s] threads: 24, tps: 4755.01, reads: 61787.12, writes: 95065.68, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 278s] threads: 24, tps: 4701.50, reads: 61060.96, writes: 94037.43, response time: 6.19ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 24, tps: 4743.00, reads: 61653.54, writes: 94885.56, response time: 5.99ms (95%), errors: 0.00, reconnects:  0.00
[ 282s] threads: 24, tps: 4809.00, reads: 62525.96, writes: 96187.93, response time: 6.01ms (95%), errors: 0.00, reconnects:  0.00
[ 284s] threads: 24, tps: 4751.00, reads: 61704.03, writes: 95008.55, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[ 286s] threads: 24, tps: 4737.99, reads: 61470.92, writes: 94743.87, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 288s] threads: 24, tps: 4731.01, reads: 61485.10, writes: 94674.65, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 24, tps: 4753.50, reads: 61729.44, writes: 94992.90, response time: 6.15ms (95%), errors: 0.00, reconnects:  0.00
[ 292s] threads: 24, tps: 4819.51, reads: 62644.08, writes: 96418.62, response time: 5.99ms (95%), errors: 0.00, reconnects:  0.00
[ 294s] threads: 24, tps: 4721.99, reads: 61391.91, writes: 94439.86, response time: 6.09ms (95%), errors: 0.00, reconnects:  0.00
[ 296s] threads: 24, tps: 4730.00, reads: 61491.56, writes: 94577.59, response time: 6.08ms (95%), errors: 0.00, reconnects:  0.00
[ 298s] threads: 24, tps: 4776.99, reads: 62100.43, writes: 95558.89, response time: 6.07ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 24, tps: 4734.01, reads: 61526.60, writes: 94671.15, response time: 6.15ms (95%), errors: 0.00, reconnects:  0.00
[ 302s] threads: 24, tps: 4778.49, reads: 62178.91, writes: 95577.85, response time: 6.04ms (95%), errors: 0.00, reconnects:  0.00
[ 304s] threads: 24, tps: 4739.99, reads: 61654.41, writes: 94797.86, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 306s] threads: 24, tps: 4730.51, reads: 61414.63, writes: 94623.70, response time: 6.05ms (95%), errors: 0.00, reconnects:  0.00
[ 308s] threads: 24, tps: 4708.50, reads: 61163.04, writes: 94175.57, response time: 6.06ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 24, tps: 4734.49, reads: 61479.89, writes: 94685.84, response time: 6.15ms (95%), errors: 0.00, reconnects:  0.00
[ 312s] threads: 24, tps: 4753.00, reads: 61801.52, writes: 95074.53, response time: 6.03ms (95%), errors: 0.00, reconnects:  0.00
