sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 1
Threads started!

[   2s] threads: 24, tps: 9912.69, reads: 0.00, writes: 198336.72, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 10111.97, reads: 0.00, writes: 202247.39, response time: 2.60ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 10121.04, reads: 0.00, writes: 202468.22, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 10208.96, reads: 0.00, writes: 204148.20, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 9888.02, reads: 0.00, writes: 197782.85, response time: 3.02ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 10058.50, reads: 0.00, writes: 201165.08, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 9553.98, reads: 0.00, writes: 191045.69, response time: 3.04ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 9230.50, reads: 0.00, writes: 184596.94, response time: 3.11ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 10071.02, reads: 0.00, writes: 201458.42, response time: 2.61ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 9993.97, reads: 0.00, writes: 199889.44, response time: 3.00ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 9996.04, reads: 0.00, writes: 199909.73, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 9892.48, reads: 0.00, writes: 197874.02, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 9617.50, reads: 0.00, writes: 192320.45, response time: 3.07ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 9819.03, reads: 0.00, writes: 196396.60, response time: 2.98ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 10085.97, reads: 0.00, writes: 201698.96, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 9661.54, reads: 0.00, writes: 193215.23, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 10037.99, reads: 0.00, writes: 200785.76, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 10112.50, reads: 0.00, writes: 202233.48, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 24, tps: 10248.51, reads: 0.00, writes: 204989.67, response time: 2.75ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 24, tps: 10021.51, reads: 0.00, writes: 200420.15, response time: 3.03ms (95%), errors: 0.00, reconnects:  0.00
