sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[   2s] threads: 24, tps: 5862.31, reads: 49976.39, writes: 117288.22, response time: 4.56ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 5926.49, reads: 50545.39, writes: 118566.75, response time: 4.58ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 5929.02, reads: 50479.65, writes: 118564.35, response time: 4.62ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 5904.48, reads: 50194.32, writes: 118084.57, response time: 4.74ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 5934.00, reads: 50408.03, writes: 118674.08, response time: 4.57ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 5914.51, reads: 50327.13, writes: 118301.30, response time: 4.56ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 5938.48, reads: 50598.37, writes: 118762.70, response time: 4.52ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 5911.00, reads: 50371.97, writes: 118216.43, response time: 4.66ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 5953.52, reads: 50643.13, writes: 119071.81, response time: 4.50ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 5724.00, reads: 48528.02, writes: 114492.06, response time: 4.80ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 5468.00, reads: 46427.48, writes: 109353.95, response time: 5.57ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 5904.51, reads: 50173.05, writes: 118094.62, response time: 4.57ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 5875.98, reads: 49892.87, writes: 117534.68, response time: 4.70ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 5912.51, reads: 50411.61, writes: 118233.25, response time: 4.56ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 5772.50, reads: 49159.03, writes: 115437.58, response time: 4.76ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 5908.50, reads: 50256.96, writes: 118190.92, response time: 4.57ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 5877.99, reads: 49956.42, writes: 117544.82, response time: 4.76ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 5919.01, reads: 50390.11, writes: 118386.75, response time: 4.55ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 24, tps: 5889.50, reads: 50063.48, writes: 117762.45, response time: 4.50ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 24, tps: 5817.00, reads: 49535.46, writes: 116369.42, response time: 4.66ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 24, tps: 5485.99, reads: 46642.93, writes: 109701.34, response time: 5.50ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 24, tps: 5771.02, reads: 48881.65, writes: 115433.85, response time: 4.75ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 24, tps: 5552.00, reads: 47152.99, writes: 111051.47, response time: 5.46ms (95%), errors: 0.00, reconnects:  0.00
