sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 1
Threads started!

[   2s] threads: 24, tps: 11094.13, reads: 0.00, writes: 221978.56, response time: 2.63ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 11249.97, reads: 0.00, writes: 225012.44, response time: 2.68ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 11159.50, reads: 0.00, writes: 223189.00, response time: 2.66ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 11294.50, reads: 0.00, writes: 225904.44, response time: 2.41ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 11055.51, reads: 0.00, writes: 221104.18, response time: 2.76ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 10410.03, reads: 0.00, writes: 208178.05, response time: 2.76ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 11002.47, reads: 0.00, writes: 220066.88, response time: 2.59ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 10951.02, reads: 0.00, writes: 219020.94, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 11147.50, reads: 0.00, writes: 222940.58, response time: 2.31ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 10942.50, reads: 0.00, writes: 218877.05, response time: 2.65ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 10596.00, reads: 0.00, writes: 211903.02, response time: 2.71ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 10607.96, reads: 0.00, writes: 212152.72, response time: 2.77ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 10346.54, reads: 0.00, writes: 206933.78, response time: 2.76ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 11162.00, reads: 0.00, writes: 223274.46, response time: 2.33ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 10461.00, reads: 0.00, writes: 209194.49, response time: 2.76ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 11002.45, reads: 0.00, writes: 220040.07, response time: 2.72ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 10589.54, reads: 0.00, writes: 211780.78, response time: 2.76ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 11047.47, reads: 0.00, writes: 220974.32, response time: 2.76ms (95%), errors: 0.00, reconnects:  0.00
