sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[   2s] threads: 48, tps: 193405.59, reads: 0.00, writes: 386824.18, response time: 0.36ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 48, tps: 193614.98, reads: 0.00, writes: 387230.45, response time: 0.37ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 48, tps: 192524.54, reads: 0.00, writes: 385050.59, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 48, tps: 193013.41, reads: 0.00, writes: 386023.83, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 48, tps: 191628.88, reads: 0.00, writes: 383257.76, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 48, tps: 192672.23, reads: 0.00, writes: 385344.47, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 48, tps: 191509.55, reads: 0.00, writes: 383023.10, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 48, tps: 191749.43, reads: 0.00, writes: 383491.85, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 48, tps: 190631.40, reads: 0.00, writes: 381265.81, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 190421.08, reads: 0.00, writes: 380840.16, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 48, tps: 190538.65, reads: 0.00, writes: 381078.81, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 48, tps: 190453.45, reads: 0.00, writes: 380907.40, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 48, tps: 191815.90, reads: 0.00, writes: 383633.29, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 48, tps: 190310.58, reads: 0.00, writes: 380621.15, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 190427.35, reads: 0.00, writes: 380850.71, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 48, tps: 190606.54, reads: 0.00, writes: 381215.57, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 48, tps: 189881.59, reads: 0.00, writes: 379762.18, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 48, tps: 190320.00, reads: 0.00, writes: 380639.00, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 48, tps: 189074.00, reads: 0.00, writes: 378149.00, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 190137.53, reads: 0.00, writes: 380277.56, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 48, tps: 188303.46, reads: 0.00, writes: 376604.43, response time: 0.40ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 48, tps: 190230.96, reads: 0.00, writes: 380460.42, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 48, tps: 189690.00, reads: 0.00, writes: 379386.49, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 48, tps: 190240.60, reads: 0.00, writes: 380476.71, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 190413.43, reads: 0.00, writes: 380828.36, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 48, tps: 190108.34, reads: 0.00, writes: 380216.67, response time: 0.38ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 48, tps: 189245.24, reads: 0.00, writes: 378491.98, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 48, tps: 189341.98, reads: 0.00, writes: 378681.95, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 48, tps: 189115.79, reads: 0.00, writes: 378233.58, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 189497.47, reads: 0.00, writes: 378992.94, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 48, tps: 188029.11, reads: 0.00, writes: 376058.21, response time: 0.39ms (95%), errors: 0.00, reconnects:  0.00
