sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 1
Threads started!

[   2s] threads: 24, tps: 4180.37, reads: 54451.27, writes: 83675.35, response time: 7.69ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 4459.01, reads: 57825.57, writes: 89158.62, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 4480.98, reads: 58212.28, writes: 89648.66, response time: 6.46ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 4562.51, reads: 59253.67, writes: 91216.27, response time: 6.35ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 4567.48, reads: 59299.25, writes: 91331.12, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 4329.52, reads: 56279.72, writes: 86612.84, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 4555.01, reads: 59196.07, writes: 91106.10, response time: 6.31ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 4570.93, reads: 59487.15, writes: 91424.19, response time: 6.26ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 4612.07, reads: 59909.87, writes: 92246.34, response time: 6.27ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 4629.00, reads: 60122.47, writes: 92555.46, response time: 6.19ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 4655.01, reads: 60417.08, writes: 93128.62, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 4592.00, reads: 59733.44, writes: 91827.40, response time: 6.25ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 4511.49, reads: 58605.43, writes: 90219.89, response time: 6.32ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 4658.51, reads: 60585.58, writes: 93165.12, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 4530.99, reads: 58897.85, writes: 90649.78, response time: 6.34ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 4581.01, reads: 59527.17, writes: 91583.77, response time: 6.30ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 4567.50, reads: 59347.96, writes: 91357.94, response time: 6.21ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 4450.49, reads: 57936.39, writes: 89010.83, response time: 6.33ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 24, tps: 4632.01, reads: 60229.64, writes: 92686.72, response time: 6.18ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 24, tps: 4541.00, reads: 58980.99, writes: 90761.99, response time: 6.27ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 24, tps: 4596.50, reads: 59728.51, writes: 91924.52, response time: 6.20ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 24, tps: 4601.49, reads: 59718.92, writes: 92070.38, response time: 6.24ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 24, tps: 4518.99, reads: 58747.41, writes: 90386.86, response time: 6.33ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 24, tps: 4618.51, reads: 60047.14, writes: 92355.21, response time: 6.24ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 24, tps: 4531.00, reads: 58895.99, writes: 90603.99, response time: 6.42ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 24, tps: 4635.00, reads: 60220.00, writes: 92697.50, response time: 6.22ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 24, tps: 4519.50, reads: 58777.98, writes: 90385.96, response time: 6.28ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 24, tps: 4492.00, reads: 58334.06, writes: 89873.59, response time: 6.34ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 24, tps: 4668.49, reads: 60555.38, writes: 93354.81, response time: 6.14ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 24, tps: 4611.50, reads: 59972.98, writes: 92223.46, response time: 6.16ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 24, tps: 4591.51, reads: 59682.10, writes: 91836.65, response time: 6.16ms (95%), errors: 0.00, reconnects:  0.00
