sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 1
Threads started!

[   2s] threads: 24, tps: 7952.74, reads: 0.00, writes: 159170.84, response time: 3.88ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 8655.97, reads: 0.00, writes: 173109.36, response time: 3.31ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 9005.04, reads: 0.00, writes: 180121.38, response time: 3.19ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 9223.93, reads: 0.00, writes: 184496.02, response time: 3.15ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 9273.08, reads: 0.00, writes: 185440.60, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 9139.50, reads: 0.00, writes: 182773.04, response time: 3.11ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 9205.93, reads: 0.00, writes: 184125.07, response time: 3.09ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 9357.57, reads: 0.00, writes: 187152.95, response time: 3.07ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 9108.50, reads: 0.00, writes: 182164.54, response time: 3.10ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 9419.99, reads: 0.00, writes: 188390.28, response time: 3.03ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 9356.49, reads: 0.00, writes: 187122.90, response time: 3.10ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 9241.47, reads: 0.00, writes: 184833.47, response time: 3.04ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 8951.54, reads: 0.00, writes: 179029.22, response time: 3.01ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 9268.00, reads: 0.00, writes: 185398.05, response time: 3.07ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 9657.51, reads: 0.00, writes: 193120.16, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 9473.49, reads: 0.00, writes: 189476.26, response time: 3.01ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 9444.50, reads: 0.00, writes: 188931.92, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 9484.00, reads: 0.00, writes: 189652.57, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 24, tps: 9602.00, reads: 0.00, writes: 192054.99, response time: 3.07ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 24, tps: 9529.49, reads: 0.00, writes: 190552.40, response time: 2.96ms (95%), errors: 0.00, reconnects:  0.00
