sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 1
Threads started!

[   2s] threads: 24, tps: 4017.37, reads: 34195.40, writes: 80416.41, response time: 8.28ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 4944.98, reads: 41929.79, writes: 98867.02, response time: 5.66ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 5081.53, reads: 43483.72, writes: 101653.52, response time: 6.10ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 5490.99, reads: 46513.40, writes: 109821.26, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 5594.01, reads: 47307.10, writes: 111883.24, response time: 5.09ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 5710.99, reads: 48708.94, writes: 114198.37, response time: 4.97ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 5817.51, reads: 49592.55, writes: 116351.12, response time: 4.65ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 5755.99, reads: 48932.44, writes: 115118.87, response time: 5.13ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 5895.51, reads: 50010.10, writes: 117938.23, response time: 4.53ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 5819.50, reads: 49385.99, writes: 116395.48, response time: 4.96ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 5814.00, reads: 49358.52, writes: 116273.56, response time: 5.12ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 5779.49, reads: 49068.88, writes: 115561.21, response time: 4.90ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 5779.01, reads: 49112.11, writes: 115590.25, response time: 5.23ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 5826.49, reads: 49411.40, writes: 116548.77, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 5811.14, reads: 49296.88, writes: 116205.87, response time: 5.05ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 5927.07, reads: 49990.41, writes: 118537.83, response time: 4.52ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 5917.99, reads: 50397.41, writes: 118388.29, response time: 4.52ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 5700.94, reads: 48367.02, writes: 114016.86, response time: 5.54ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 24, tps: 5859.07, reads: 49660.63, writes: 117197.99, response time: 5.22ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 24, tps: 5829.48, reads: 49402.80, writes: 116553.03, response time: 5.05ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 24, tps: 5792.01, reads: 49299.10, writes: 115850.73, response time: 5.30ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 24, tps: 5758.00, reads: 49057.03, writes: 115162.06, response time: 4.99ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 24, tps: 5799.01, reads: 49191.04, writes: 115975.10, response time: 5.19ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 24, tps: 5603.98, reads: 47566.81, writes: 112077.54, response time: 5.20ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 24, tps: 5843.02, reads: 49544.14, writes: 116861.84, response time: 4.80ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 24, tps: 5886.50, reads: 50050.53, writes: 117729.07, response time: 4.56ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 24, tps: 5912.00, reads: 50287.47, writes: 118245.43, response time: 4.51ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 24, tps: 5777.01, reads: 49153.05, writes: 115561.12, response time: 5.29ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 24, tps: 5124.00, reads: 43623.98, writes: 102475.44, response time: 5.31ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 24, tps: 5742.50, reads: 48691.49, writes: 114801.97, response time: 5.30ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 24, tps: 5771.50, reads: 49105.50, writes: 115447.51, response time: 5.14ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 24, tps: 5631.98, reads: 47848.86, writes: 112640.18, response time: 5.59ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 24, tps: 5649.01, reads: 48152.12, writes: 112998.79, response time: 5.58ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 24, tps: 5758.00, reads: 48993.04, writes: 115173.09, response time: 5.55ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 24, tps: 5730.50, reads: 48605.48, writes: 114605.94, response time: 5.49ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 24, tps: 5764.00, reads: 49161.52, writes: 115289.05, response time: 5.22ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 24, tps: 5745.00, reads: 48953.49, writes: 114878.97, response time: 5.46ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 24, tps: 5574.50, reads: 47315.98, writes: 111483.45, response time: 5.64ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 24, tps: 5842.00, reads: 49696.00, writes: 116857.01, response time: 5.00ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 24, tps: 5683.50, reads: 48403.52, writes: 113664.55, response time: 5.54ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 24, tps: 5742.18, reads: 48798.53, writes: 114840.09, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 24, tps: 5679.27, reads: 48317.05, writes: 113571.82, response time: 5.53ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 24, tps: 5619.00, reads: 47822.00, writes: 112392.01, response time: 5.71ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 24, tps: 5587.00, reads: 47723.53, writes: 111742.58, response time: 5.13ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 24, tps: 5749.34, reads: 48941.08, writes: 114995.27, response time: 5.38ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 24, tps: 5763.50, reads: 48853.27, writes: 115232.51, response time: 5.36ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 24, tps: 5517.97, reads: 47053.61, writes: 110355.89, response time: 5.44ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 24, tps: 5710.99, reads: 48520.41, writes: 114261.79, response time: 5.54ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 24, tps: 5793.51, reads: 49408.10, writes: 115844.23, response time: 5.24ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 24, tps: 5764.50, reads: 48981.52, writes: 115300.04, response time: 5.36ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 24, tps: 5699.99, reads: 48453.46, writes: 114001.40, response time: 5.29ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 24, tps: 5811.47, reads: 49493.27, writes: 116232.47, response time: 5.10ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 24, tps: 5463.52, reads: 46228.17, writes: 109269.91, response time: 5.84ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 24, tps: 5631.50, reads: 47763.03, writes: 112641.06, response time: 5.23ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 24, tps: 5750.01, reads: 48909.07, writes: 114996.17, response time: 5.35ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 24, tps: 5705.99, reads: 48423.92, writes: 114098.32, response time: 5.65ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 24, tps: 5748.01, reads: 48777.05, writes: 114997.13, response time: 5.39ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 24, tps: 5591.50, reads: 47586.52, writes: 111777.54, response time: 5.55ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 24, tps: 5763.00, reads: 49160.98, writes: 115255.94, response time: 5.33ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 24, tps: 5684.00, reads: 48221.96, writes: 113718.41, response time: 5.55ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 24, tps: 5631.00, reads: 47818.04, writes: 112608.10, response time: 5.32ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 24, tps: 5726.62, reads: 48451.06, writes: 114537.91, response time: 5.17ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 24, tps: 5672.37, reads: 48232.42, writes: 113419.94, response time: 5.56ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 24, tps: 5755.00, reads: 48972.96, writes: 115108.41, response time: 5.30ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 24, tps: 5704.00, reads: 48422.53, writes: 114079.06, response time: 5.56ms (95%), errors: 0.00, reconnects:  0.00
