sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 24
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[   2s] threads: 24, tps: 7388.26, reads: 0.00, writes: 147882.15, response time: 4.15ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 24, tps: 8884.98, reads: 0.00, writes: 177685.10, response time: 3.40ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 24, tps: 9398.97, reads: 0.00, writes: 187999.99, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 24, tps: 9952.49, reads: 0.00, writes: 199063.39, response time: 3.05ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 24, tps: 10428.57, reads: 0.00, writes: 208531.88, response time: 2.72ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 24, tps: 10489.50, reads: 0.00, writes: 209813.46, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 24, tps: 10483.44, reads: 0.00, writes: 209690.39, response time: 2.83ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 24, tps: 10726.06, reads: 0.00, writes: 214497.12, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 24, tps: 10663.51, reads: 0.00, writes: 213267.13, response time: 2.85ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 24, tps: 10920.49, reads: 0.00, writes: 218395.31, response time: 2.53ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 24, tps: 10849.86, reads: 0.00, writes: 217015.26, response time: 2.57ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 24, tps: 10703.09, reads: 0.00, writes: 214074.30, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 24, tps: 10812.55, reads: 0.00, writes: 216315.99, response time: 2.51ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 24, tps: 10516.00, reads: 0.00, writes: 210252.48, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 24, tps: 10997.00, reads: 0.00, writes: 219890.93, response time: 2.42ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 24, tps: 10277.50, reads: 0.00, writes: 205592.42, response time: 2.70ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 24, tps: 10743.51, reads: 0.00, writes: 214863.73, response time: 2.46ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 24, tps: 10766.99, reads: 0.00, writes: 215330.40, response time: 2.58ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 24, tps: 10824.50, reads: 0.00, writes: 216487.55, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 24, tps: 11075.49, reads: 0.00, writes: 221516.29, response time: 2.36ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 24, tps: 10919.94, reads: 0.00, writes: 218390.29, response time: 2.58ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 24, tps: 10951.07, reads: 0.00, writes: 219041.87, response time: 2.54ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 24, tps: 10751.49, reads: 0.00, writes: 215032.72, response time: 2.84ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 24, tps: 10652.01, reads: 0.00, writes: 213005.15, response time: 2.85ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 24, tps: 10997.47, reads: 0.00, writes: 219973.27, response time: 2.45ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 24, tps: 10692.13, reads: 0.00, writes: 213829.17, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 24, tps: 10696.00, reads: 0.00, writes: 213928.56, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 24, tps: 10807.51, reads: 0.00, writes: 216152.21, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 24, tps: 10413.95, reads: 0.00, writes: 208265.06, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 24, tps: 10399.04, reads: 0.00, writes: 207971.73, response time: 2.83ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 24, tps: 10781.99, reads: 0.00, writes: 215672.89, response time: 2.86ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 24, tps: 10695.00, reads: 0.00, writes: 213918.57, response time: 2.86ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 24, tps: 10645.50, reads: 0.00, writes: 212895.49, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 24, tps: 10565.00, reads: 0.00, writes: 211283.99, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 24, tps: 10643.50, reads: 0.00, writes: 212854.59, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 24, tps: 10610.49, reads: 0.00, writes: 212225.29, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 24, tps: 10874.02, reads: 0.00, writes: 217489.39, response time: 2.78ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 24, tps: 10770.45, reads: 0.00, writes: 215421.08, response time: 2.86ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 24, tps: 10138.03, reads: 0.00, writes: 202737.14, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 24, tps: 10576.51, reads: 0.00, writes: 211520.65, response time: 2.96ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 24, tps: 10401.50, reads: 0.00, writes: 208042.45, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 24, tps: 10733.50, reads: 0.00, writes: 214683.06, response time: 2.84ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 24, tps: 10819.96, reads: 0.00, writes: 216372.60, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 24, tps: 10668.54, reads: 0.00, writes: 213395.34, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 24, tps: 10560.00, reads: 0.00, writes: 211187.51, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 24, tps: 10403.00, reads: 0.00, writes: 208072.55, response time: 2.99ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 24, tps: 10274.49, reads: 0.00, writes: 205466.76, response time: 2.80ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 24, tps: 10744.51, reads: 0.00, writes: 214901.11, response time: 2.84ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 24, tps: 10513.50, reads: 0.00, writes: 210285.00, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 24, tps: 10485.50, reads: 0.00, writes: 209700.43, response time: 2.85ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 24, tps: 10687.01, reads: 0.00, writes: 213722.68, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 24, tps: 10723.45, reads: 0.00, writes: 214488.44, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 24, tps: 10872.04, reads: 0.00, writes: 217463.86, response time: 2.72ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 24, tps: 10644.51, reads: 0.00, writes: 212864.69, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 24, tps: 10825.50, reads: 0.00, writes: 216522.53, response time: 2.82ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 24, tps: 10565.50, reads: 0.00, writes: 211320.40, response time: 2.96ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 24, tps: 10656.50, reads: 0.00, writes: 213118.98, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 24, tps: 10637.50, reads: 0.00, writes: 212730.09, response time: 2.97ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 24, tps: 10641.50, reads: 0.00, writes: 212829.44, response time: 2.89ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 24, tps: 10854.00, reads: 0.00, writes: 217097.99, response time: 2.77ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 24, tps: 10643.50, reads: 0.00, writes: 212863.00, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 24, tps: 10725.00, reads: 0.00, writes: 214503.54, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 24, tps: 10307.50, reads: 0.00, writes: 206120.91, response time: 2.87ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 24, tps: 10567.01, reads: 0.00, writes: 211371.71, response time: 2.93ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 24, tps: 10872.00, reads: 0.00, writes: 217443.47, response time: 2.72ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 24, tps: 9720.00, reads: 0.00, writes: 194373.98, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 24, tps: 10775.00, reads: 0.00, writes: 215532.08, response time: 2.84ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 24, tps: 10800.00, reads: 0.00, writes: 215969.43, response time: 2.83ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 24, tps: 10471.76, reads: 0.00, writes: 209448.67, response time: 2.94ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 24, tps: 10874.74, reads: 0.00, writes: 217513.30, response time: 2.62ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 24, tps: 10687.50, reads: 0.00, writes: 213721.01, response time: 2.92ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 24, tps: 10693.01, reads: 0.00, writes: 213852.16, response time: 2.90ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 24, tps: 10832.50, reads: 0.00, writes: 216675.90, response time: 2.81ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 24, tps: 10725.00, reads: 0.00, writes: 214496.06, response time: 2.87ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 24, tps: 10454.50, reads: 0.00, writes: 209057.93, response time: 2.79ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 24, tps: 10676.51, reads: 0.00, writes: 213585.12, response time: 2.91ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 24, tps: 10733.50, reads: 0.00, writes: 214653.47, response time: 2.86ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 24, tps: 10034.49, reads: 0.00, writes: 200675.89, response time: 2.84ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 24, tps: 10716.01, reads: 0.00, writes: 214297.74, response time: 2.88ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 24, tps: 10932.48, reads: 0.00, writes: 218676.13, response time: 2.50ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 24, tps: 10375.00, reads: 0.00, writes: 207533.60, response time: 2.95ms (95%), errors: 0.00, reconnects:  0.00
