sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 2 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[   2s] threads: 48, tps: 80046.01, reads: 0.00, writes: 160106.02, response time: 1.18ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 48, tps: 105444.77, reads: 0.00, writes: 210886.53, response time: 0.79ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 48, tps: 74419.45, reads: 0.00, writes: 148840.41, response time: 0.72ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 48, tps: 127248.46, reads: 0.00, writes: 254495.93, response time: 0.62ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 48, tps: 104547.67, reads: 0.00, writes: 209090.84, response time: 0.54ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 48, tps: 86628.20, reads: 0.00, writes: 173263.91, response time: 0.52ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 48, tps: 125995.77, reads: 0.00, writes: 251990.05, response time: 0.50ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 136419.38, reads: 0.00, writes: 272837.25, response time: 0.47ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 48, tps: 924.97, reads: 0.00, writes: 1849.95, response time: 0.28ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 118514.91, reads: 0.00, writes: 237030.83, response time: 0.47ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 48, tps: 146262.68, reads: 0.00, writes: 292523.86, response time: 0.45ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 48, tps: 143512.37, reads: 0.00, writes: 287025.74, response time: 0.44ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 48, tps: 147787.62, reads: 0.00, writes: 295575.23, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 48, tps: 147656.93, reads: 0.00, writes: 295312.35, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 145600.11, reads: 0.00, writes: 291200.22, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 48, tps: 84699.87, reads: 0.00, writes: 169401.24, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 48, tps: 100432.15, reads: 0.00, writes: 200862.79, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 48, tps: 121463.67, reads: 0.00, writes: 242927.33, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 48, tps: 133606.52, reads: 0.00, writes: 267215.54, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 48, tps: 145056.71, reads: 0.00, writes: 290111.42, response time: 0.45ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 48, tps: 145749.20, reads: 0.00, writes: 291500.89, response time: 0.44ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 48, tps: 144541.75, reads: 0.00, writes: 289080.49, response time: 0.46ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 48, tps: 145349.58, reads: 0.00, writes: 290702.16, response time: 0.45ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 48, tps: 40622.66, reads: 0.00, writes: 81241.81, response time: 0.44ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 48, tps: 117657.85, reads: 0.00, writes: 235316.19, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 48, tps: 145331.17, reads: 0.00, writes: 290665.83, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 48, tps: 148718.75, reads: 0.00, writes: 297435.00, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 48, tps: 114276.72, reads: 0.00, writes: 228553.45, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 48, tps: 3427.00, reads: 0.00, writes: 6851.50, response time: 0.53ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 48, tps: 100652.76, reads: 0.00, writes: 201306.02, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 48, tps: 148990.79, reads: 0.00, writes: 297983.59, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 48, tps: 147688.98, reads: 0.00, writes: 295374.96, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 48, tps: 148183.90, reads: 0.00, writes: 296372.29, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 48, tps: 148081.95, reads: 0.00, writes: 296162.40, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 48, tps: 145792.90, reads: 0.00, writes: 291588.80, response time: 0.44ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 48, tps: 37303.57, reads: 0.00, writes: 74604.13, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 48, tps: 102090.96, reads: 0.00, writes: 204182.43, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 48, tps: 148911.99, reads: 0.00, writes: 297823.47, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 48, tps: 31819.58, reads: 0.00, writes: 63638.15, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 48, tps: 150140.35, reads: 0.00, writes: 300278.70, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 48, tps: 147852.47, reads: 0.00, writes: 295707.43, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 48, tps: 148226.18, reads: 0.00, writes: 296455.85, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 48, tps: 147456.55, reads: 0.00, writes: 294908.60, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 48, tps: 132961.52, reads: 0.00, writes: 265920.54, response time: 0.44ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 48, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 48, tps: 93538.67, reads: 0.00, writes: 187084.83, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 48, tps: 149409.60, reads: 0.00, writes: 298817.70, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 48, tps: 145840.48, reads: 0.00, writes: 291679.95, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 48, tps: 148280.05, reads: 0.00, writes: 296561.61, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 48, tps: 51427.72, reads: 0.00, writes: 102849.43, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 48, tps: 1652.99, reads: 0.00, writes: 3309.98, response time: 0.47ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 48, tps: 149774.20, reads: 0.00, writes: 299547.40, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 48, tps: 147565.37, reads: 0.00, writes: 295129.74, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 48, tps: 148647.62, reads: 0.00, writes: 297297.73, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 48, tps: 146787.74, reads: 0.00, writes: 293572.97, response time: 0.44ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 48, tps: 147779.56, reads: 0.00, writes: 295562.11, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 48, tps: 119447.08, reads: 0.00, writes: 238892.16, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 48, tps: 148097.58, reads: 0.00, writes: 296196.67, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 48, tps: 32187.04, reads: 0.00, writes: 64373.08, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 48, tps: 148861.88, reads: 0.00, writes: 297725.26, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 48, tps: 124044.49, reads: 0.00, writes: 248085.48, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 48, tps: 148850.38, reads: 0.00, writes: 297702.75, response time: 0.42ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 48, tps: 147568.45, reads: 0.00, writes: 295135.91, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 48, tps: 147977.45, reads: 0.00, writes: 295955.90, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 48, tps: 148116.06, reads: 0.00, writes: 296232.63, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 48, tps: 148460.81, reads: 0.00, writes: 296920.61, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 164s] threads: 48, tps: 146872.34, reads: 0.00, writes: 293744.69, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 166s] threads: 48, tps: 147033.51, reads: 0.00, writes: 294070.03, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
[ 168s] threads: 48, tps: 147011.46, reads: 0.00, writes: 294019.91, response time: 0.44ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 48, tps: 147908.12, reads: 0.00, writes: 295816.25, response time: 0.43ms (95%), errors: 0.00, reconnects:  0.00
