sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 350
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 350, tps: 744.18, reads: 11034.18, writes: 2993.65, response time: 687.64ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 350, tps: 872.00, reads: 11923.95, writes: 3475.99, response time: 519.92ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 350, tps: 818.01, reads: 11767.14, writes: 3348.04, response time: 626.32ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 350, tps: 925.00, reads: 12872.93, writes: 3638.98, response time: 680.88ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 350, tps: 764.00, reads: 10491.00, writes: 3047.00, response time: 692.80ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 350, tps: 792.00, reads: 11336.06, writes: 3181.02, response time: 621.28ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 350, tps: 964.00, reads: 13472.96, writes: 3859.99, response time: 552.33ms (95%), errors: 1.00, reconnects:  0.00
[   8s] threads: 350, tps: 991.00, reads: 13532.98, writes: 3941.99, response time: 607.49ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 350, tps: 968.97, reads: 13715.63, writes: 3887.89, response time: 525.08ms (95%), errors: 1.00, reconnects:  0.00
[  10s] threads: 350, tps: 728.02, reads: 11826.34, writes: 2986.09, response time: 697.59ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 350, tps: 1036.00, reads: 12946.04, writes: 4096.01, response time: 719.21ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 350, tps: 1054.00, reads: 15144.93, writes: 4223.98, response time: 516.82ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 350, tps: 1142.00, reads: 15442.03, writes: 4537.01, response time: 529.34ms (95%), errors: 1.00, reconnects:  0.00
[  14s] threads: 350, tps: 1098.00, reads: 15703.94, writes: 4409.98, response time: 492.80ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 350, tps: 1006.00, reads: 14126.04, writes: 4044.01, response time: 602.78ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 350, tps: 1243.00, reads: 17380.98, writes: 4925.00, response time: 449.39ms (95%), errors: 1.00, reconnects:  0.00
[  17s] threads: 350, tps: 832.00, reads: 11627.00, writes: 3368.00, response time: 822.68ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 350, tps: 1124.00, reads: 15828.01, writes: 4485.00, response time: 500.83ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 350, tps: 1171.01, reads: 16253.08, writes: 4664.02, response time: 544.78ms (95%), errors: 1.00, reconnects:  0.00
[  20s] threads: 350, tps: 908.00, reads: 13054.95, writes: 3639.99, response time: 628.39ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 350, tps: 1328.00, reads: 18577.06, writes: 5330.02, response time: 613.70ms (95%), errors: 3.00, reconnects:  0.00
[  22s] threads: 350, tps: 1753.00, reads: 24399.97, writes: 7003.99, response time: 389.36ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 350, tps: 976.00, reads: 13282.95, writes: 3877.99, response time: 523.36ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 350, tps: 1123.00, reads: 16771.96, writes: 4574.99, response time: 547.06ms (95%), errors: 1.00, reconnects:  0.00
[  25s] threads: 350, tps: 924.00, reads: 11921.05, writes: 3631.01, response time: 634.82ms (95%), errors: 1.00, reconnects:  0.00
[  26s] threads: 350, tps: 1119.99, reads: 16197.90, writes: 4506.97, response time: 460.15ms (95%), errors: 1.00, reconnects:  0.00
[  27s] threads: 350, tps: 1261.01, reads: 17803.08, writes: 5025.02, response time: 530.61ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 350, tps: 1139.00, reads: 16754.01, writes: 4636.00, response time: 468.35ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 350, tps: 1362.00, reads: 18327.96, writes: 5374.99, response time: 432.50ms (95%), errors: 1.00, reconnects:  0.00
[  30s] threads: 350, tps: 1276.00, reads: 17685.00, writes: 5110.00, response time: 437.84ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 350, tps: 1525.01, reads: 21003.10, writes: 6102.03, response time: 484.75ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 350, tps: 1852.00, reads: 26881.01, writes: 7452.00, response time: 312.65ms (95%), errors: 2.00, reconnects:  0.00
[  33s] threads: 350, tps: 1203.99, reads: 16016.90, writes: 4749.97, response time: 593.82ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 350, tps: 1234.00, reads: 17963.07, writes: 4993.02, response time: 483.16ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 350, tps: 1082.00, reads: 14628.97, writes: 4284.99, response time: 545.10ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 350, tps: 1233.01, reads: 17644.09, writes: 4949.03, response time: 496.05ms (95%), errors: 1.00, reconnects:  0.00
[  37s] threads: 350, tps: 1385.00, reads: 19998.94, writes: 5542.98, response time: 454.40ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 350, tps: 1128.97, reads: 14541.65, writes: 4478.89, response time: 371.71ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 350, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 350, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 350, tps: 581.01, reads: 8499.22, writes: 2348.06, response time: 3281.67ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 350, tps: 1504.99, reads: 21558.79, writes: 6020.94, response time: 536.52ms (95%), errors: 1.00, reconnects:  0.00
[  43s] threads: 350, tps: 1204.01, reads: 16208.19, writes: 4804.06, response time: 469.47ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 350, tps: 1121.99, reads: 15883.87, writes: 4486.96, response time: 529.18ms (95%), errors: 2.00, reconnects:  0.00
[  45s] threads: 350, tps: 1091.00, reads: 15979.05, writes: 4372.01, response time: 594.36ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 350, tps: 1487.01, reads: 20406.08, writes: 5951.02, response time: 621.47ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 350, tps: 1028.00, reads: 14375.96, writes: 4145.99, response time: 481.13ms (95%), errors: 1.00, reconnects:  0.00
