sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 500, tps: 3632.57, reads: 52730.72, writes: 14606.26, response time: 229.15ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 500, tps: 3089.92, reads: 43703.90, writes: 12410.69, response time: 414.75ms (95%), errors: 3.00, reconnects:  0.00
[   3s] threads: 500, tps: 3968.17, reads: 54946.31, writes: 15871.67, response time: 246.15ms (95%), errors: 2.00, reconnects:  0.00
[   4s] threads: 500, tps: 4405.01, reads: 61555.11, writes: 17581.03, response time: 195.30ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 500, tps: 3550.97, reads: 49864.62, writes: 14208.89, response time: 262.12ms (95%), errors: 1.00, reconnects:  0.00
[   6s] threads: 500, tps: 3581.00, reads: 50604.02, writes: 14393.01, response time: 231.57ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 500, tps: 3128.95, reads: 43713.30, writes: 12509.80, response time: 297.05ms (95%), errors: 2.00, reconnects:  0.00
[   8s] threads: 500, tps: 3734.08, reads: 52179.14, writes: 14885.33, response time: 286.74ms (95%), errors: 3.00, reconnects:  0.00
[   9s] threads: 500, tps: 2823.99, reads: 39557.92, writes: 11330.98, response time: 348.54ms (95%), errors: 1.00, reconnects:  0.00
[  10s] threads: 500, tps: 3172.01, reads: 44392.08, writes: 12675.02, response time: 315.95ms (95%), errors: 1.00, reconnects:  0.00
[  11s] threads: 500, tps: 3342.00, reads: 46609.03, writes: 13406.01, response time: 310.51ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 500, tps: 3242.80, reads: 45914.15, writes: 12952.20, response time: 276.96ms (95%), errors: 1.00, reconnects:  0.00
[  13s] threads: 500, tps: 2982.19, reads: 41147.58, writes: 11895.75, response time: 307.92ms (95%), errors: 2.00, reconnects:  0.00
[  14s] threads: 500, tps: 3747.96, reads: 52732.51, writes: 15028.86, response time: 250.01ms (95%), errors: 2.00, reconnects:  0.00
[  15s] threads: 500, tps: 3921.00, reads: 55926.98, writes: 15720.00, response time: 238.32ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 500, tps: 3002.01, reads: 43104.16, writes: 12165.05, response time: 258.76ms (95%), errors: 1.00, reconnects:  0.00
[  17s] threads: 500, tps: 3287.02, reads: 44350.33, writes: 12974.10, response time: 363.13ms (95%), errors: 1.00, reconnects:  0.00
[  18s] threads: 500, tps: 3525.97, reads: 49603.60, writes: 14111.89, response time: 336.35ms (95%), errors: 2.00, reconnects:  0.00
[  19s] threads: 500, tps: 3675.01, reads: 50508.19, writes: 14664.06, response time: 245.93ms (95%), errors: 1.00, reconnects:  0.00
[  20s] threads: 500, tps: 3574.91, reads: 50375.79, writes: 14310.66, response time: 274.89ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 500, tps: 4046.11, reads: 56870.48, writes: 16172.42, response time: 278.79ms (95%), errors: 1.00, reconnects:  0.00
[  22s] threads: 500, tps: 3739.01, reads: 52685.14, writes: 14980.04, response time: 290.37ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 500, tps: 3318.98, reads: 46542.76, writes: 13280.93, response time: 293.69ms (95%), errors: 4.00, reconnects:  0.00
[  24s] threads: 500, tps: 3740.91, reads: 51770.81, writes: 14939.66, response time: 362.81ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 500, tps: 4001.03, reads: 56623.47, writes: 16060.13, response time: 281.64ms (95%), errors: 2.00, reconnects:  0.00
[  26s] threads: 500, tps: 3565.06, reads: 50556.89, writes: 14276.25, response time: 309.03ms (95%), errors: 1.00, reconnects:  0.00
[  27s] threads: 500, tps: 4626.86, reads: 63964.08, writes: 18497.44, response time: 218.17ms (95%), errors: 3.00, reconnects:  0.00
[  28s] threads: 500, tps: 4112.12, reads: 57884.69, writes: 16449.48, response time: 275.64ms (95%), errors: 1.00, reconnects:  0.00
[  29s] threads: 500, tps: 1726.95, reads: 23442.30, writes: 6874.79, response time: 175.93ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 500, tps: 207.01, reads: 3732.12, writes: 892.03, response time: 6810.33ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 500, tps: 6171.46, reads: 87086.32, writes: 24695.82, response time: 214.61ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 500, tps: 5241.47, reads: 72895.60, writes: 20998.90, response time: 166.00ms (95%), errors: 2.00, reconnects:  0.00
[  38s] threads: 500, tps: 1720.99, reads: 24389.83, writes: 6865.95, response time: 861.75ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 500, tps: 5775.01, reads: 81380.08, writes: 23156.02, response time: 167.75ms (95%), errors: 2.00, reconnects:  0.00
[  40s] threads: 500, tps: 5845.99, reads: 81326.89, writes: 23393.97, response time: 157.15ms (95%), errors: 1.00, reconnects:  0.00
[  41s] threads: 500, tps: 6267.03, reads: 86679.35, writes: 24966.10, response time: 150.61ms (95%), errors: 2.00, reconnects:  0.00
[  42s] threads: 500, tps: 6062.01, reads: 84946.19, writes: 24211.06, response time: 152.24ms (95%), errors: 1.00, reconnects:  0.00
