sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 32
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 32, tps: 92812.46, reads: 76438.36, writes: 16374.10, response time: 6.93ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 32, tps: 93223.01, reads: 76772.86, writes: 16450.16, response time: 6.66ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 32, tps: 92884.16, reads: 76492.85, writes: 16391.31, response time: 6.96ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 32, tps: 91225.09, reads: 75125.79, writes: 16099.30, response time: 7.79ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 32, tps: 91894.58, reads: 75677.98, writes: 16216.60, response time: 8.02ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 32, tps: 91576.32, reads: 75416.61, writes: 16159.70, response time: 8.44ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 32, tps: 91015.39, reads: 74953.59, writes: 16061.90, response time: 8.64ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 32, tps: 91243.73, reads: 75141.33, writes: 16102.31, response time: 8.60ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 32, tps: 91215.88, reads: 75119.79, writes: 16096.10, response time: 8.70ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 32, tps: 91510.35, reads: 75360.96, writes: 16149.39, response time: 8.64ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 32, tps: 91167.94, reads: 75080.23, writes: 16087.71, response time: 8.65ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 32, tps: 90875.30, reads: 74839.20, writes: 16036.10, response time: 8.79ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 32, tps: 91201.79, reads: 75106.03, writes: 16095.76, response time: 8.76ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 32, tps: 91247.74, reads: 75145.37, writes: 16102.37, response time: 8.64ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 32, tps: 91135.97, reads: 75053.30, writes: 16082.67, response time: 8.75ms (95%), errors: 0.00, reconnects:  0.00
