sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 48
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 48, tps: 10207.52, reads: 41905.87, writes: 0.00, response time: 6.74ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 48, tps: 10571.80, reads: 43396.81, writes: 0.00, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 48, tps: 10393.80, reads: 42680.40, writes: 0.00, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 48, tps: 10554.20, reads: 43300.51, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 48, tps: 10519.20, reads: 43160.70, writes: 0.00, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 48, tps: 10493.50, reads: 43077.31, writes: 0.00, response time: 6.64ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 48, tps: 10570.40, reads: 43433.10, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 48, tps: 10536.40, reads: 43271.79, writes: 0.00, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 48, tps: 10565.80, reads: 43389.50, writes: 0.00, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 48, tps: 10539.30, reads: 43259.20, writes: 0.00, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 48, tps: 10555.40, reads: 43266.10, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 48, tps: 10530.00, reads: 43255.11, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 48, tps: 10504.60, reads: 43130.70, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 48, tps: 10551.00, reads: 43378.00, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 48, tps: 10574.20, reads: 43508.70, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 48, tps: 10591.10, reads: 43484.41, writes: 0.00, response time: 6.52ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 48, tps: 10563.80, reads: 43359.29, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 48, tps: 10541.70, reads: 43277.30, writes: 0.00, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 48, tps: 10516.50, reads: 43104.52, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 48, tps: 10542.60, reads: 43284.08, writes: 0.00, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 48, tps: 10559.10, reads: 43423.21, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 48, tps: 10450.37, reads: 42913.69, writes: 0.00, response time: 6.61ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 48, tps: 10582.53, reads: 43426.32, writes: 0.00, response time: 6.51ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 48, tps: 10527.20, reads: 43194.29, writes: 0.00, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 48, tps: 10538.30, reads: 43256.70, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 48, tps: 10542.60, reads: 43372.41, writes: 0.00, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 48, tps: 10553.00, reads: 43336.79, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 48, tps: 10574.00, reads: 43437.01, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 48, tps: 10529.80, reads: 43265.90, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 48, tps: 10557.10, reads: 43377.51, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 48, tps: 10517.40, reads: 43191.80, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 48, tps: 10516.30, reads: 43152.10, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 48, tps: 10552.40, reads: 43338.89, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 48, tps: 10480.40, reads: 42968.80, writes: 0.00, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 48, tps: 10531.10, reads: 43304.50, writes: 0.00, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 48, tps: 10510.20, reads: 43205.41, writes: 0.00, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 48, tps: 10537.50, reads: 43242.50, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 48, tps: 10542.40, reads: 43278.60, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 48, tps: 10623.50, reads: 43641.20, writes: 0.00, response time: 6.52ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 48, tps: 10618.80, reads: 43573.59, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 48, tps: 10639.50, reads: 43686.99, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 48, tps: 10616.00, reads: 43583.21, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 48, tps: 10573.30, reads: 43433.80, writes: 0.00, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 48, tps: 10546.70, reads: 43286.10, writes: 0.00, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 48, tps: 10540.30, reads: 43240.30, writes: 0.00, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 48, tps: 10537.80, reads: 43280.28, writes: 0.00, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 48, tps: 10575.80, reads: 43470.22, writes: 0.00, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 48, tps: 10534.40, reads: 43287.81, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 48, tps: 10565.60, reads: 43359.80, writes: 0.00, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 48, tps: 10544.40, reads: 43355.30, writes: 0.00, response time: 6.58ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 48, tps: 10518.90, reads: 43201.20, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 48, tps: 10558.80, reads: 43436.49, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 48, tps: 10636.60, reads: 43683.69, writes: 0.00, response time: 6.50ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 48, tps: 10651.60, reads: 43716.01, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 48, tps: 10628.80, reads: 43618.20, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 48, tps: 10605.50, reads: 43605.99, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 48, tps: 10582.00, reads: 43503.90, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 48, tps: 10549.30, reads: 43331.61, writes: 0.00, response time: 6.62ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 48, tps: 10586.05, reads: 43466.78, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 48, tps: 10581.15, reads: 43434.91, writes: 0.00, response time: 6.52ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 48, tps: 10544.50, reads: 43292.70, writes: 0.00, response time: 6.60ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 48, tps: 10574.70, reads: 43458.60, writes: 0.00, response time: 6.59ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 48, tps: 10524.60, reads: 43178.10, writes: 0.00, response time: 6.57ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 48, tps: 10586.80, reads: 43439.90, writes: 0.00, response time: 6.56ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 48, tps: 10573.78, reads: 43418.53, writes: 0.00, response time: 6.54ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 48, tps: 10635.31, reads: 43705.85, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 48, tps: 10647.60, reads: 43782.62, writes: 0.00, response time: 6.52ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 48, tps: 10626.30, reads: 43616.90, writes: 0.00, response time: 6.55ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 48, tps: 10665.90, reads: 43737.10, writes: 0.00, response time: 6.50ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 48, tps: 10652.40, reads: 43763.00, writes: 0.00, response time: 6.53ms (95%), errors: 0.00, reconnects:  0.00
