sysbench 0.9:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 512
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Threads started!

[  10s] threads: 512, tps: 6858.33, reads: 28283.93, writes: 20583.30, response time: 186.39ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 512, tps: 7230.30, reads: 29649.90, writes: 21688.70, response time: 141.31ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 512, tps: 7080.10, reads: 29059.90, writes: 21243.90, response time: 143.44ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 512, tps: 7193.72, reads: 29523.47, writes: 21581.46, response time: 141.69ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 512, tps: 7273.08, reads: 29889.54, writes: 21818.34, response time: 139.34ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 512, tps: 7293.17, reads: 29922.36, writes: 21880.90, response time: 138.75ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 512, tps: 7209.93, reads: 29646.74, writes: 21630.60, response time: 142.84ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 512, tps: 6470.20, reads: 26564.50, writes: 19407.40, response time: 150.70ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 512, tps: 7008.30, reads: 28761.20, writes: 21025.80, response time: 144.09ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 512, tps: 6925.00, reads: 28434.49, writes: 20774.39, response time: 188.86ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 512, tps: 6148.50, reads: 25295.80, writes: 18446.50, response time: 183.13ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 512, tps: 6424.60, reads: 26529.70, writes: 19292.60, response time: 180.84ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 512, tps: 6366.40, reads: 26014.50, writes: 19079.40, response time: 191.94ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 512, tps: 6934.90, reads: 28468.60, writes: 20805.30, response time: 170.89ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 512, tps: 6334.30, reads: 26005.00, writes: 19003.80, response time: 194.54ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 512, tps: 5678.10, reads: 23366.80, writes: 17033.50, response time: 217.39ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 512, tps: 5354.47, reads: 22036.59, writes: 16061.82, response time: 229.43ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 512, tps: 5223.17, reads: 21442.89, writes: 15669.62, response time: 202.99ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 512, tps: 7207.27, reads: 29650.19, writes: 21623.31, response time: 140.26ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 512, tps: 6931.40, reads: 28443.31, writes: 20794.00, response time: 147.14ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 512, tps: 6759.60, reads: 27737.01, writes: 20278.10, response time: 164.62ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 512, tps: 6927.80, reads: 28388.49, writes: 20785.09, response time: 146.30ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 512, tps: 7170.10, reads: 29503.31, writes: 21508.81, response time: 142.84ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 512, tps: 7315.30, reads: 30036.40, writes: 21947.30, response time: 138.92ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 512, tps: 7296.18, reads: 29949.03, writes: 21889.45, response time: 138.88ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 512, tps: 6034.11, reads: 24771.96, writes: 18100.94, response time: 196.18ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 512, tps: 6670.00, reads: 27390.88, writes: 20008.69, response time: 196.24ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 512, tps: 5324.40, reads: 21883.51, writes: 15975.61, response time: 349.06ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 512, tps: 4970.30, reads: 20418.61, writes: 14909.00, response time: 200.33ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 512, tps: 5202.58, reads: 21327.01, writes: 15608.03, response time: 216.81ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 512, tps: 5143.22, reads: 21222.89, writes: 15449.36, response time: 220.34ms (95%), errors: 0.00, reconnects:  0.00
