sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 750
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored

Forcing shutdown in 301 seconds

Initializing worker threads...

Threads started!

[  10s] threads: 750, tps: 9318.49, reads: 131027.52, writes: 0.00, response time: 80.69ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 750, tps: 9321.81, reads: 130314.97, writes: 0.00, response time: 81.34ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 750, tps: 9448.10, reads: 132282.24, writes: 0.00, response time: 81.54ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 750, tps: 9674.20, reads: 135529.51, writes: 0.00, response time: 77.98ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 750, tps: 9593.90, reads: 134316.50, writes: 0.00, response time: 78.68ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 750, tps: 9551.50, reads: 133759.14, writes: 0.00, response time: 79.04ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 750, tps: 9517.10, reads: 133238.45, writes: 0.00, response time: 79.18ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 750, tps: 9493.50, reads: 132877.85, writes: 0.00, response time: 79.51ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 750, tps: 9460.10, reads: 132471.14, writes: 0.00, response time: 79.68ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 750, tps: 9444.90, reads: 132229.14, writes: 0.00, response time: 79.92ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 750, tps: 9434.00, reads: 132042.76, writes: 0.00, response time: 79.87ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 750, tps: 9443.80, reads: 132222.75, writes: 0.00, response time: 79.82ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 750, tps: 9428.50, reads: 131979.13, writes: 0.00, response time: 79.97ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 750, tps: 9402.50, reads: 131679.25, writes: 0.00, response time: 80.11ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 750, tps: 9436.39, reads: 132101.40, writes: 0.00, response time: 79.87ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 750, tps: 9427.41, reads: 131972.61, writes: 0.00, response time: 79.97ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 750, tps: 9431.30, reads: 132023.92, writes: 0.00, response time: 79.89ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 750, tps: 9430.10, reads: 132025.37, writes: 0.00, response time: 79.97ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 750, tps: 9419.40, reads: 131876.44, writes: 0.00, response time: 79.99ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 750, tps: 9445.30, reads: 132241.08, writes: 0.00, response time: 79.82ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 750, tps: 9431.51, reads: 132042.20, writes: 0.00, response time: 79.92ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 750, tps: 9779.56, reads: 136909.81, writes: 0.00, response time: 79.94ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 750, tps: 11162.47, reads: 156283.81, writes: 0.00, response time: 67.95ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 750, tps: 11109.37, reads: 155543.25, writes: 0.00, response time: 68.03ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 750, tps: 11091.00, reads: 155249.88, writes: 0.00, response time: 68.09ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 750, tps: 11117.01, reads: 155661.71, writes: 0.00, response time: 67.95ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 750, tps: 11141.19, reads: 155941.60, writes: 0.00, response time: 67.87ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 750, tps: 11175.61, reads: 156470.71, writes: 0.00, response time: 67.56ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 750, tps: 11173.10, reads: 156414.75, writes: 0.00, response time: 67.58ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 750, tps: 11147.00, reads: 156078.16, writes: 0.00, response time: 67.85ms (95%), errors: 0.00, reconnects:  0.00
ALERT: mysql_drv_query() returned error 2003 (Lost connection to backend server.) for query 'START TRANSACTION READ ONLY'
FATAL: failed to execute function `event': 3
