engine,memory,filesystem,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,10,0.00,70302.55,24.13,6393.53,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,20,0.00,76731.90,18.58,6980.58,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,30,0.00,77289.82,18.46,7026.80,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,40,0.00,77300.68,18.50,7038.94,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,50,0.00,77490.07,18.42,7046.56,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,60,0.00,77960.57,18.37,7091.43,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,70,0.00,77322.35,18.50,7032.56,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,80,0.00,77370.62,18.47,7035.05,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,90,0.00,77463.88,18.43,7051.85,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,100,0.00,77494.04,18.47,7045.25,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,110,0.00,77915.99,18.35,7083.85,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,120,0.00,77636.08,18.42,7066.10,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,130,0.00,77428.90,18.42,7043.50,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,140,0.00,77474.04,18.43,7045.45,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,150,0.00,77781.80,18.37,7076.65,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,160,0.00,77715.78,18.44,7079.34,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,170,0.00,77667.51,18.44,7067.05,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,180,0.00,77748.41,18.42,7072.96,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,10,0.00,46641.34,13.73,11365.01,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,20,0.00,48844.43,12.26,11896.41,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,30,0.00,48877.37,12.30,11897.49,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,40,0.00,48997.12,12.25,11926.80,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,50,0.00,49087.41,12.21,11963.90,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,60,0.00,49111.81,12.18,11962.70,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,70,0.00,48415.45,12.38,11801.89,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,80,0.00,48640.14,12.34,11837.21,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,90,0.00,48701.69,12.38,11855.30,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,100,0.00,48816.81,12.37,11891.40,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,110,0.00,48772.67,12.39,11871.09,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,120,0.00,48781.84,12.43,11872.41,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,130,0.00,48716.78,12.41,11857.70,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,140,0.00,48739.60,12.44,11867.50,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,150,0.00,48666.31,12.47,11842.20,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,160,0.00,48738.98,12.42,11875.49,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,170,0.00,48680.00,12.47,11850.57,100
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,180,0.00,48732.62,12.43,11865.33,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,10,0.00,79739.69,29.66,7252.55,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,20,0.00,100495.79,14.99,9141.12,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,30,0.00,100472.00,14.99,9142.00,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,40,0.00,100454.69,15.05,9137.70,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,50,0.00,100414.62,15.06,9133.60,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,60,0.00,100481.66,15.07,9137.40,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,70,0.00,100206.02,15.13,9118.40,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,80,0.00,100551.69,15.05,9141.20,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,90,0.00,100361.12,15.13,9129.00,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,100,0.00,100218.27,15.15,9119.20,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,110,0.00,100379.42,15.17,9130.50,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,120,0.00,100545.49,15.13,9148.30,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,130,0.00,100936.81,15.06,9190.90,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,140,0.00,100668.89,15.12,9158.50,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,150,0.00,100638.02,15.08,9149.20,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,160,0.00,100481.41,15.20,9141.20,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,170,0.00,100835.29,15.09,9168.70,100
wt,100,ext4,wt2,pareto,oltp_ro,psfm,60000000,99,180,0.00,99931.68,15.24,9093.10,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,10,0.00,42741.49,19.93,10411.70,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,20,0.00,51678.89,12.37,12590.84,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,30,0.00,51768.72,12.68,12597.66,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,40,0.00,51966.28,12.78,12650.34,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,50,0.00,51902.81,12.88,12652.23,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,60,0.00,52063.97,12.88,12687.12,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,70,0.00,51776.55,13.02,12613.49,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,80,0.00,51931.00,12.95,12630.30,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,90,0.00,51922.67,13.02,12648.92,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,100,0.00,52020.74,12.99,12673.58,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,110,0.00,52117.44,12.99,12676.68,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,120,0.00,52209.28,12.95,12710.72,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,130,0.00,52024.38,13.03,12668.20,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,140,0.00,52075.04,13.05,12669.51,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,150,0.00,52089.33,13.01,12699.68,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,160,0.00,52169.74,13.05,12693.61,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,170,0.00,52123.49,13.03,12689.60,100
wt,100,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,180,0.00,52118.11,13.04,12688.30,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,10,0.00,66479.68,24.51,6045.65,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,20,0.00,71648.52,19.93,6520.00,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,30,0.00,71997.80,19.81,6543.80,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,40,0.00,72323.67,19.74,6584.50,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,50,0.00,72111.51,19.80,6559.50,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,60,0.00,72307.43,19.79,6577.09,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,70,0.00,72026.68,19.84,6551.11,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,80,0.00,71934.78,19.88,6540.80,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,90,0.00,72158.99,19.80,6566.60,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,100,0.00,72416.02,19.77,6586.20,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,110,0.00,72046.29,19.86,6548.30,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,120,0.00,72039.70,19.86,6556.70,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,130,0.00,71936.22,19.92,6545.80,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,140,0.00,72118.29,19.84,6558.90,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,150,0.00,71899.40,19.94,6537.00,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,160,0.00,72083.11,19.87,6559.60,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,170,0.00,72275.29,19.77,6581.90,100
rocks,110,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,180,0.00,72328.70,19.78,6584.80,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,10,0.00,45788.15,13.85,11155.41,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,20,0.00,47704.08,12.62,11622.09,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,30,0.00,47952.72,12.59,11669.81,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,40,0.00,48008.72,12.57,11687.60,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,50,0.00,48044.58,12.62,11710.50,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,60,0.00,47972.11,12.71,11685.30,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,70,0.00,47493.31,12.79,11577.70,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,80,0.00,47546.78,12.80,11565.70,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,90,0.00,47518.69,12.77,11568.30,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,100,0.00,47580.53,12.84,11591.91,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,110,0.00,47617.40,12.82,11593.20,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,120,0.00,47740.70,12.72,11618.90,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,130,0.00,47498.87,12.87,11558.89,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,140,0.00,47592.53,12.83,11592.41,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,150,0.00,47589.90,12.82,11577.10,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,160,0.00,47648.90,12.80,11610.40,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,170,0.00,47614.91,12.88,11591.20,100
rocks,110,ext4,rocks0,uniform,oltp_ro,psfm,60000000,99,180,0.00,47771.94,12.78,11628.69,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,10,0.00,79545.70,29.65,7234.54,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,20,0.00,99471.02,15.16,9048.24,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,30,0.00,99483.90,15.16,9052.60,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,40,0.00,99664.07,15.22,9065.00,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,50,0.00,99741.23,15.21,9072.80,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,60,0.00,99737.91,15.18,9070.20,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,70,0.00,99552.69,15.29,9058.80,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,80,0.00,99428.71,15.31,9040.40,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,90,0.00,99619.31,15.30,9060.90,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,100,0.00,99666.27,15.27,9066.50,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,110,0.00,99247.41,15.35,9026.30,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,120,0.00,99777.31,15.19,9079.20,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,130,0.00,99327.11,15.35,9046.80,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,140,0.00,99440.36,15.34,9044.50,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,150,0.00,99423.71,15.34,9040.90,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,160,0.00,99330.39,15.36,9038.80,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,170,0.00,99593.52,15.29,9051.20,100
wt,110,ext4,wt2,pareto,oltp_ro,psfm,60000000,99,180,0.00,99532.00,15.34,9057.10,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,10,0.00,42863.15,20.00,10440.42,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,20,0.00,51798.25,12.41,12619.97,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,30,0.00,51889.60,12.57,12628.72,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,40,0.00,51971.12,12.73,12651.58,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,50,0.00,52083.45,12.74,12695.73,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,60,0.00,51858.73,12.91,12638.34,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,70,0.00,51681.42,12.95,12589.25,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,80,0.00,51986.25,12.92,12643.76,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,90,0.00,51949.86,12.95,12655.44,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,100,0.00,51903.47,13.00,12646.17,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,110,0.00,52096.53,12.96,12667.83,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,120,0.00,51997.34,13.01,12660.16,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,130,0.00,51902.63,13.02,12639.65,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,140,0.00,51939.33,13.05,12638.74,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,150,0.00,52008.61,12.98,12677.85,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,160,0.00,52046.30,13.00,12664.15,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,100,170,0.00,51987.25,13.03,12657.71,100
wt,110,ext4,wt2,uniform,oltp_ro,psfm,60000000,98,180,0.00,51902.05,13.07,12632.89,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,10,0.00,72683.91,23.90,6610.18,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,20,0.00,79948.82,17.98,7273.51,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,30,0.00,81037.85,17.68,7367.28,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,40,0.00,80442.98,17.88,7324.63,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,50,0.00,80372.09,17.84,7311.06,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,60,0.00,80541.43,17.80,7325.92,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,70,0.00,80561.94,17.82,7323.78,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,80,0.00,80615.68,17.79,7336.62,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,90,0.00,80595.09,17.78,7328.19,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,100,0.00,80907.37,17.74,7355.61,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,110,0.00,80481.26,17.84,7322.72,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,120,0.00,80546.99,17.82,7327.89,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,130,0.00,80597.87,17.82,7331.98,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,140,0.00,80740.13,17.79,7344.42,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,150,0.00,80746.28,17.81,7351.40,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,160,0.00,80688.42,17.80,7345.60,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,170,0.00,80966.97,17.74,7366.37,100
rocks,120,ext4,rocks0,pareto,oltp_ro,psfm,60000000,96,180,0.00,81054.79,17.77,7366.54,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,10,0.00,46955.19,13.78,11442.20,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,20,0.00,49137.47,12.12,11966.92,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,30,0.00,49331.20,12.09,12007.70,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,40,0.00,49182.79,12.20,11971.80,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,50,0.00,49408.11,12.07,12041.40,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,60,0.00,49342.11,12.17,12023.50,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,70,0.00,48771.37,12.35,11885.59,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,80,0.00,48788.03,12.27,11871.91,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,90,0.00,48795.11,12.23,11879.40,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,100,0.00,48928.40,12.27,11918.40,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,110,0.00,49090.81,12.33,11945.60,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,120,0.00,49031.49,12.27,11937.70,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,130,0.00,48903.31,12.34,11903.20,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,140,0.00,49153.67,12.24,11964.39,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,150,0.00,48993.12,12.30,11930.81,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,160,0.00,49056.01,12.28,11942.20,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,170,0.00,48955.10,12.28,11923.10,100
rocks,120,ext4,rocks0,uniform,oltp_ro,psfm,60000000,100,180,0.00,49079.81,12.29,11946.20,100
wt,120,ext4,wt2,pareto,oltp_ro,psfm,60000000,100,10,0.00,79498.28,29.70,7230.84,100
