tot_inserts	elap_secs	cum_ips	int_ips
857000	10	85503.34	85503.34
1570000	20	78496.08	71457.21
2162000	30	72028.25	59111.33
2751000	40	68704.58	58753.12
3290000	50	65697.51	53701.31
3802000	60	63263.34	51097.80
4274000	70	61030.99	47523.16
4797000	80	59919.06	52153.97
5237000	90	58139.79	43920.94
5735000	100	57292.71	49680.77
6223000	110	56548.05	49055.09
6685000	120	55676.78	46107.78
7103000	130	54599.82	41699.92
7564000	140	54025.87	46495.21
8008000	150	53377.77	44320.22
8466000	160	52899.28	45731.40
8930000	170	52508.72	46275.06
9396000	180	52197.97	46881.29
9856000	190	51861.40	45825.86
10290000	200	51434.06	43326.35
10727000	210	51078.52	43928.43
11182000	220	50816.42	45332.27
11630000	230	50543.46	44568.25
12069000	240	50280.80	44196.11
12499000	250	49978.61	42764.79
12943000	260	49780.58	44785.15
13311000	270	49293.79	36678.96
13739000	280	49059.27	42735.90
14164000	290	48830.60	42436.35
14556000	300	48519.84	39448.53
14970000	310	48284.09	41239.17
15405000	320	48131.30	43404.51
15786000	330	47823.47	37997.41
16178000	340	47578.43	39440.59
16623000	350	47487.64	44406.75
17064000	360	47386.97	43880.60
17458000	370	47181.49	39721.75
17897000	380	47091.79	43781.79
18279000	390	46862.38	38154.21
18714000	400	46776.23	43421.84
19099000	410	46582.25	38767.50
19552000	420	46549.94	45227.64
19989000	430	46481.51	43612.77
20366000	440	46280.47	37647.29
20719000	450	46040.79	35448.89
21134000	460	45940.68	41441.98
21526000	470	45793.08	39032.16
21964000	480	45755.09	43962.66
22372000	490	45652.30	40726.69
22806000	500	45602.97	43196.97
23091000	510	45275.41	28750.13
23339000	520	44878.38	24706.12
23746000	530	44803.27	40879.87
24438000	540	45250.28	68807.80
25132000	550	45687.57	69254.57
25796000	560	46059.60	66579.77
26358000	570	46234.81	56015.15
26931000	580	46425.63	57305.73
27452000	590	46527.32	52467.27
27956000	600	46590.23	50294.38
28459000	610	46649.89	50224.66
28962000	620	46707.40	50209.62
29384000	630	46634.31	42111.57
29875000	640	46677.13	49391.41
30349000	650	46686.96	47314.83
30780000	660	46630.78	42988.23
31236000	670	46618.81	45824.54
31686000	680	46591.85	44793.95
32033000	690	46423.96	34930.54
32439000	700	46336.00	40309.77
32910000	710	46345.85	47034.15
33372000	720	46347.23	46446.16
33763000	730	46246.88	39033.64
34225000	740	46245.13	46116.99
34658000	750	46209.68	43570.13
35084000	760	46158.85	42366.98
35530000	770	46138.42	44586.62
35993000	780	46139.02	46184.54
36431000	790	46114.37	44175.49
36798000	800	45993.59	36502.88
37207000	810	45929.80	40834.66
37630000	820	45888.90	42555.33
37999000	830	45779.56	36830.02
38429000	840	45744.89	42875.66
38859000	850	45711.36	42901.33
39239000	860	45625.05	38240.92
39610000	870	45525.86	37014.87
40041000	880	45497.52	43035.45
40471000	890	45468.28	42901.33
40860000	900	45397.83	39095.48
41298000	910	45379.48	43730.03
41730000	920	45357.86	43382.21
42072000	930	45237.01	34138.55
42508000	940	45220.46	43678.62
42962000	950	45220.59	45232.64
43381000	960	45185.20	41828.89
43743000	970	45091.65	36127.74
44190000	980	45091.51	45078.66
44544000	990	44992.94	35346.98
44806000	1000	44803.76	26126.84
45244000	1010	44794.40	43857.01
45677000	1020	44778.61	43187.71
46075000	1030	44729.71	39748.33
46473000	1040	44681.37	39712.63
46837000	1050	44603.65	36498.55
47261000	1060	44585.13	42630.20
47605000	1070	44488.62	34290.27
48139000	1080	44569.85	53234.97
48948000	1090	44906.38	81544.20
49642000	1100	45127.16	69082.22
50103000	1110	45135.19	46017.17
50677000	1120	45243.73	57262.57
51205000	1130	45313.80	53225.81
51732000	1140	45376.04	52364.86
52180000	1150	45370.20	44706.12
