elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	34.26	34.26	0.00	0.00
20	35.40	36.55	0.00	0.00
30	35.19	34.75	0.00	0.00
40	34.63	32.95	0.00	0.00
50	34.81	35.55	0.00	0.00
60	34.69	34.05	0.00	0.00
70	34.15	30.96	0.00	0.00
80	34.36	35.81	0.00	0.00
90	34.24	33.25	0.00	0.00
100	34.29	34.75	0.00	0.00
110	34.06	31.76	0.00	0.00
120	34.35	37.56	0.00	0.00
130	34.72	39.15	0.00	0.00
140	34.83	36.26	0.00	0.00
150	34.69	32.75	0.00	0.00
160	34.80	36.41	0.00	0.00
170	34.74	33.76	0.00	0.00
180	34.94	38.45	0.00	0.00
190	35.26	41.04	0.00	0.00
200	35.24	34.75	0.00	0.00
210	35.26	35.65	0.00	0.00
220	35.32	36.55	0.00	0.00
230	35.30	35.00	0.00	0.00
240	35.48	39.54	0.00	0.00
250	35.49	35.75	0.00	0.00
260	35.51	35.85	0.00	0.00
270	35.51	35.65	0.00	0.00
280	35.65	39.34	0.00	0.00
290	35.71	37.35	0.00	0.00
300	35.68	35.00	0.00	0.00
310	35.72	36.75	0.00	0.00
320	35.71	35.55	0.00	0.00
330	35.80	38.54	0.00	0.00
340	35.87	38.25	0.00	0.00
350	35.80	33.25	0.00	0.00
360	35.81	36.14	0.00	0.00
370	35.78	35.00	0.00	0.00
380	35.80	36.45	0.00	0.00
390	35.76	34.35	0.00	0.00
400	35.86	39.64	0.00	0.00
410	35.84	34.85	0.00	0.00
420	35.84	36.15	0.00	0.00
430	35.79	33.55	0.00	0.00
440	35.77	34.79	0.00	0.00
450	35.81	37.84	0.00	0.00
460	35.80	35.05	0.00	0.00
470	35.81	36.55	0.00	0.00
480	35.82	36.25	0.00	0.00
490	35.90	39.75	0.00	0.00
500	35.86	33.85	0.00	0.00
510	35.87	36.11	0.00	0.00
520	35.88	36.75	0.00	0.00
530	35.95	39.34	0.00	0.00
540	36.02	39.85	0.00	0.00
550	35.99	34.25	0.00	0.00
560	35.94	33.15	0.00	0.00
570	35.96	37.04	0.00	0.00
580	35.97	36.55	0.00	0.00
590	35.97	36.01	0.00	0.00
600	36.06	41.15	0.00	0.00
610	36.02	33.95	0.00	0.00
620	36.07	39.25	0.00	0.00
630	36.04	34.04	0.00	0.00
640	36.05	36.84	0.00	0.00
650	36.02	33.86	0.00	0.00
660	36.11	42.37	0.00	0.00
670	36.11	35.65	0.00	0.00
680	36.12	36.95	0.00	0.00
690	36.14	37.25	0.00	0.00
700	36.12	35.15	0.00	0.00
710	36.13	36.55	0.00	0.00
720	36.18	39.74	0.00	0.00
730	36.22	39.34	0.00	0.00
740	36.25	38.25	0.00	0.00
750	36.19	31.75	0.00	0.00
760	36.22	38.65	0.00	0.00
770	36.23	36.75	0.00	0.00
780	36.29	40.75	0.00	0.00
790	36.25	33.75	0.00	0.00
800	36.30	40.25	0.00	0.00
810	36.31	36.55	0.00	0.00
820	36.32	37.05	0.00	0.00
830	36.38	41.54	0.00	0.00
840	36.32	31.26	0.00	0.00
850	36.38	41.34	0.00	0.00
860	36.41	39.44	0.00	0.00
870	36.43	37.82	0.00	0.00
880	36.41	34.45	0.00	0.00
890	36.40	36.25	0.00	0.00
900	36.45	40.95	0.00	0.00
910	36.44	34.74	0.00	0.00
920	36.45	37.65	0.00	0.00
930	36.43	34.75	0.00	0.00
940	36.46	39.64	0.00	0.00
950	36.53	43.04	0.00	0.00
960	36.48	31.55	0.00	0.00
970	36.51	39.05	0.00	0.00
980	36.54	39.44	0.00	0.00
990	36.54	36.25	0.00	0.00
1000	36.55	38.45	0.00	0.00
1010	36.51	31.67	0.00	0.00
1020	36.56	42.25	0.00	0.00
1030	36.55	34.85	0.00	0.00
1040	36.59	41.35	0.00	0.00
1050	36.57	33.75	0.00	0.00
1060	36.56	36.15	0.00	0.00
1070	36.57	37.44	0.00	0.00
1080	36.61	40.75	0.00	0.00
1090	36.63	39.34	0.00	0.00
1100	36.63	35.85	0.00	0.00
1110	36.60	33.45	0.00	0.00
1120	36.62	39.05	0.00	0.00
1130	36.61	35.55	0.00	0.00
1140	36.65	41.55	0.00	0.00
1150	36.65	35.95	0.00	0.00
1160	36.65	37.43	0.00	0.00
1170	36.65	36.45	0.00	0.00
1180	36.64	35.15	0.00	0.00
1190	36.63	35.05	0.00	0.00
1200	36.66	40.24	0.00	0.00
1210	36.66	37.15	0.00	0.00
1220	36.65	35.05	0.00	0.00
1230	36.65	36.42	0.00	0.00
1240	36.65	36.85	0.00	0.00
1250	36.64	36.35	0.00	0.00
1260	36.64	35.54	0.00	0.00
1270	36.63	36.25	0.00	0.00
1280	36.66	40.14	0.00	0.00
1290	36.64	34.56	0.00	0.00
1300	36.64	35.81	0.00	0.00
1310	36.64	36.65	0.00	0.00
1320	36.64	36.45	0.00	0.00
1330	36.63	36.35	0.00	0.00
1340	36.66	39.55	0.00	0.00
1350	36.65	35.95	0.00	0.00
1360	36.63	34.25	0.00	0.00
1370	36.62	35.00	0.00	0.00
1380	36.62	36.26	0.00	0.00
1390	36.62	36.84	0.00	0.00
1400	36.62	36.55	0.00	0.00
1410	36.65	40.75	0.00	0.00
1420	36.62	32.75	0.00	0.00
1430	36.63	38.04	0.00	0.00
1440	36.61	34.19	0.00	0.00
1450	36.62	37.45	0.00	0.00
1460	36.62	36.25	0.00	0.00
1470	36.62	36.35	0.00	0.00
1480	36.60	34.25	0.00	0.00
1490	36.60	36.15	0.00	0.00
1500	36.58	33.86	0.00	0.00
1510	36.58	37.52	0.00	0.00
1520	36.58	36.15	0.00	0.00
1530	36.59	37.95	0.00	0.00
1540	36.59	35.75	0.00	0.00
1550	36.60	38.15	0.00	0.00
1560	36.58	34.35	0.00	0.00
1570	36.58	36.36	0.00	0.00
1580	36.58	36.05	0.00	0.00
1590	36.57	36.22	0.00	0.00
1600	36.59	39.55	0.00	0.00
1610	36.55	30.26	0.00	0.00
1620	36.55	36.75	0.00	0.00
1630	36.53	32.65	0.00	0.00
1640	36.54	38.54	0.00	0.00
1650	36.54	36.75	0.00	0.00
1660	36.56	38.43	0.00	0.00
1670	36.52	31.06	0.00	0.00
1680	36.53	37.25	0.00	0.00
1690	36.53	36.45	0.00	0.00
1700	36.56	42.44	0.00	0.00
1710	36.52	29.36	0.00	0.00
1720	36.51	35.25	0.00	0.00
1730	36.50	34.80	0.00	0.00
1740	36.51	37.95	0.00	0.00
1750	36.51	36.16	0.00	0.00
1760	36.51	36.36	0.00	0.00
1770	36.49	34.15	0.00	0.00
1780	36.48	34.85	0.00	0.00
1790	36.48	35.75	0.00	0.00
1800	36.51	41.45	0.00	0.00
1810	36.51	36.82	0.00	0.00
1820	36.49	32.95	0.00	0.00
1830	36.47	32.55	0.00	0.00
1840	36.48	38.15	0.00	0.00
1850	36.49	38.55	0.00	0.00
1860	36.47	32.65	0.00	0.00
1870	36.46	35.76	0.00	0.00
1880	36.45	32.89	0.00	0.00
1890	36.45	36.34	0.00	0.00
1900	36.46	38.45	0.00	0.00
1910	36.44	32.66	0.00	0.00
1920	36.45	38.95	0.00	0.00
1930	36.44	33.95	0.00	0.00
1940	36.43	34.46	0.00	0.00
1950	36.40	32.35	0.00	0.00
1960	36.42	38.74	0.00	0.00
1970	36.42	37.05	0.00	0.00
1980	36.42	37.04	0.00	0.00
1990	36.40	31.75	0.00	0.00
2000	36.40	35.65	0.00	0.00
2010	36.39	35.05	0.00	0.00
2020	36.40	38.25	0.00	0.00
2030	36.39	35.59	0.00	0.00
2040	36.39	35.96	0.00	0.00
2050	36.38	33.66	0.00	0.00
2060	36.37	35.55	0.00	0.00
2070	36.37	35.15	0.00	0.00
2080	36.38	38.85	0.00	0.00
2090	36.36	32.66	0.00	0.00
2100	36.36	36.21	0.00	0.00
2110	36.36	36.85	0.00	0.00
2120	36.38	39.05	0.00	0.00
2130	36.36	32.55	0.00	0.00
2140	36.35	33.76	0.00	0.00
2150	36.33	33.35	0.00	0.00
2160	36.34	37.95	0.00	0.00
2170	36.35	37.45	0.00	0.00
2180	36.35	36.62	0.00	0.00
2190	36.33	32.35	0.00	0.00
2200	36.33	37.66	0.00	0.00
2210	36.31	30.75	0.00	0.00
2220	36.31	36.76	0.00	0.00
2230	36.31	36.15	0.00	0.00
2240	36.32	39.35	0.00	0.00
2250	36.29	29.56	0.00	0.00
2260	36.29	34.76	0.00	0.00
2270	36.28	34.75	0.00	0.00
2280	36.29	37.25	0.00	0.00
2290	36.28	35.06	0.00	0.00
2300	36.29	38.45	0.00	0.00
2310	36.28	34.86	0.00	0.00
2320	36.28	34.75	0.00	0.00
2330	36.26	33.19	0.00	0.00
2340	36.27	38.25	0.00	0.00
2350	36.26	33.15	0.00	0.00
2360	36.26	35.65	0.00	0.00
2370	36.25	33.95	0.00	0.00
2380	36.24	35.75	0.00	0.00
