elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	94.60	94.60	0.00	0.00
20	95.72	96.84	0.00	0.00
30	96.03	96.66	0.00	0.00
40	96.29	97.06	0.00	0.00
50	96.31	96.37	0.00	0.00
60	96.43	97.07	0.00	0.00
70	96.46	96.59	0.00	0.00
80	96.48	96.66	0.00	0.00
90	96.48	96.47	0.00	0.00
100	96.51	96.76	0.00	0.00
110	96.54	96.87	0.00	0.00
120	96.55	96.64	0.00	0.00
130	96.54	96.36	0.00	0.00
140	96.58	97.16	0.00	0.00
150	96.59	96.75	0.00	0.00
160	96.60	96.79	0.00	0.00
170	96.60	96.56	0.00	0.00
180	96.62	96.94	0.00	0.00
190	96.60	96.16	0.00	0.00
200	96.62	97.14	0.00	0.00
210	96.63	96.76	0.00	0.00
220	96.63	96.64	0.00	0.00
230	96.64	96.77	0.00	0.00
240	96.63	96.58	0.00	0.00
250	96.64	96.66	0.00	0.00
260	96.65	97.08	0.00	0.00
270	96.65	96.45	0.00	0.00
280	96.66	96.94	0.00	0.00
290	96.65	96.48	0.00	0.00
300	96.65	96.75	0.00	0.00
310	96.66	96.75	0.00	0.00
320	96.66	96.86	0.00	0.00
330	96.67	96.75	0.00	0.00
340	96.66	96.46	0.00	0.00
350	96.66	96.57	0.00	0.00
360	96.67	96.98	0.00	0.00
370	96.67	96.64	0.00	0.00
380	96.67	96.75	0.00	0.00
390	96.67	96.79	0.00	0.00
400	96.67	96.45	0.00	0.00
410	96.68	97.09	0.00	0.00
420	96.67	96.37	0.00	0.00
430	96.67	96.87	0.00	0.00
440	96.68	97.09	0.00	0.00
450	96.67	96.16	0.00	0.00
460	96.68	96.98	0.00	0.00
470	96.68	96.87	0.00	0.00
480	96.68	96.39	0.00	0.00
490	96.68	96.78	0.00	0.00
500	96.69	97.18	0.00	0.00
510	96.68	96.48	0.00	0.00
520	96.68	96.38	0.00	0.00
530	96.68	96.66	0.00	0.00
540	96.68	96.93	0.00	0.00
550	96.68	96.68	0.00	0.00
560	96.68	96.58	0.00	0.00
570	96.68	96.79	0.00	0.00
580	96.69	96.89	0.00	0.00
590	96.69	96.99	0.00	0.00
600	96.69	96.38	0.00	0.00
610	96.68	96.55	0.00	0.00
620	96.69	96.78	0.00	0.00
630	96.69	96.78	0.00	0.00
640	96.69	96.57	0.00	0.00
650	96.69	96.98	0.00	0.00
660	96.69	96.49	0.00	0.00
670	96.69	96.79	0.00	0.00
680	96.69	96.97	0.00	0.00
690	96.69	96.59	0.00	0.00
700	96.69	96.65	0.00	0.00
710	96.69	96.78	0.00	0.00
720	96.69	96.57	0.00	0.00
730	96.70	96.97	0.00	0.00
740	96.69	96.49	0.00	0.00
750	96.69	96.87	0.00	0.00
760	96.69	96.37	0.00	0.00
770	96.70	97.07	0.00	0.00
780	96.70	96.76	0.00	0.00
790	96.69	96.46	0.00	0.00
800	96.70	96.88	0.00	0.00
810	96.69	96.59	0.00	0.00
820	96.70	96.76	0.00	0.00
830	96.69	96.27	0.00	0.00
840	96.70	97.34	0.00	0.00
850	96.70	96.62	0.00	0.00
860	96.70	96.68	0.00	0.00
870	96.70	96.67	0.00	0.00
880	96.69	96.54	0.00	0.00
890	96.70	96.77	0.00	0.00
900	96.70	96.97	0.00	0.00
910	96.70	96.56	0.00	0.00
920	96.70	96.88	0.00	0.00
930	96.70	96.65	0.00	0.00
940	96.70	96.60	0.00	0.00
950	96.70	96.67	0.00	0.00
960	96.70	96.77	0.00	0.00
970	96.70	96.75	0.00	0.00
980	96.70	96.78	0.00	0.00
990	96.70	96.57	0.00	0.00
1000	96.70	96.87	0.00	0.00
1010	96.70	96.85	0.00	0.00
1020	96.70	96.69	0.00	0.00
1030	96.70	96.39	0.00	0.00
1040	96.70	96.87	0.00	0.00
1050	96.70	96.76	0.00	0.00
1060	96.70	96.68	0.00	0.00
1070	96.70	96.98	0.00	0.00
1080	96.70	96.50	0.00	0.00
1090	96.70	96.53	0.00	0.00
