elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	51.42	51.42	0.00	0.00
20	75.34	99.27	0.00	0.00
30	83.39	99.47	0.00	0.00
40	87.43	99.56	0.00	0.00
50	89.92	99.89	0.00	0.00
60	91.58	99.90	0.00	0.00
70	92.70	99.38	0.00	0.00
80	93.35	97.95	0.00	0.00
90	89.12	55.33	0.00	0.00
100	90.04	98.29	0.00	0.00
110	90.89	99.38	0.00	0.00
120	91.61	99.53	0.00	0.00
130	92.19	99.19	0.00	0.00
140	92.66	98.78	0.00	0.00
150	93.02	97.99	0.00	0.00
160	93.29	97.40	0.00	0.00
170	93.43	95.74	0.00	0.00
180	93.41	92.98	0.00	0.00
190	92.23	71.09	0.00	0.00
200	92.42	95.89	0.00	0.00
210	92.62	96.75	0.00	0.00
220	92.87	98.07	0.00	0.00
230	93.08	97.75	0.00	0.00
240	93.27	97.67	0.00	0.00
250	93.46	97.87	0.00	0.00
260	93.59	96.99	0.00	0.00
270	93.69	96.09	0.00	0.00
280	93.78	96.26	0.00	0.00
290	93.63	89.40	0.00	0.00
300	93.21	80.98	0.00	0.00
310	93.21	93.18	0.00	0.00
320	93.30	96.04	0.00	0.00
330	93.40	96.88	0.00	0.00
340	93.50	96.72	0.00	0.00
350	93.64	98.30	0.00	0.00
360	93.76	97.90	0.00	0.00
370	93.87	98.02	0.00	0.00
380	93.95	96.67	0.00	0.00
390	93.97	94.71	0.00	0.00
400	93.84	89.10	0.00	0.00
410	93.61	84.37	0.00	0.00
420	93.54	90.69	0.00	0.00
430	93.60	95.90	0.00	0.00
440	93.69	97.52	0.00	0.00
450	93.77	97.42	0.00	0.00
460	93.86	97.64	0.00	0.00
470	93.93	97.37	0.00	0.00
480	94.00	97.09	0.00	0.00
490	94.03	95.43	0.00	0.00
500	94.05	95.19	0.00	0.00
510	93.96	89.77	0.00	0.00
520	93.76	83.47	0.00	0.00
530	93.75	92.93	0.00	0.00
540	93.80	96.39	0.00	0.00
550	93.84	96.46	0.00	0.00
560	93.91	97.37	0.00	0.00
570	93.98	97.89	0.00	0.00
580	94.03	97.19	0.00	0.00
590	94.06	95.95	0.00	0.00
600	94.09	95.84	0.00	0.00
610	94.13	96.55	0.00	0.00
620	94.04	88.35	0.00	0.00
630	93.93	87.10	0.00	0.00
640	93.90	92.16	0.00	0.00
650	93.92	94.89	0.00	0.00
660	93.94	95.34	0.00	0.00
670	93.76	81.56	0.00	0.00
680	93.51	76.96	0.00	0.00
690	93.52	94.04	0.00	0.00
700	93.55	95.89	0.00	0.00
710	93.60	97.13	0.00	0.00
720	93.65	97.05	0.00	0.00
730	93.69	96.48	0.00	0.00
740	93.73	96.83	0.00	0.00
750	93.73	93.87	0.00	0.00
760	93.74	93.90	0.00	0.00
770	93.67	89.00	0.00	0.00
780	93.64	91.22	0.00	0.00
790	93.64	93.09	0.00	0.00
800	93.66	95.95	0.00	0.00
810	93.70	96.83	0.00	0.00
820	93.74	96.82	0.00	0.00
830	93.78	96.75	0.00	0.00
840	93.80	95.29	0.00	0.00
850	93.83	97.00	0.00	0.00
860	93.83	93.81	0.00	0.00
870	93.79	90.36	0.00	0.00
880	93.77	91.42	0.00	0.00
890	93.74	90.98	0.00	0.00
900	93.75	94.86	0.00	0.00
910	93.77	96.05	0.00	0.00
920	93.80	96.49	0.00	0.00
930	93.83	96.82	0.00	0.00
940	93.87	97.04	0.00	0.00
950	93.89	95.63	0.00	0.00
960	93.90	94.90	0.00	0.00
970	93.90	93.80	0.00	0.00
980	93.87	91.29	0.00	0.00
990	93.84	91.03	0.00	0.00
1000	93.83	92.36	0.00	0.00
1010	93.84	94.93	0.00	0.00
1020	93.86	95.91	0.00	0.00
1030	93.88	96.09	0.00	0.00
1040	93.90	96.18	0.00	0.00
1050	93.92	96.29	0.00	0.00
1060	93.95	96.13	0.00	0.00
1070	93.96	95.54	0.00	0.00
1080	93.96	93.51	0.00	0.00
1090	93.95	92.86	0.00	0.00
1100	93.90	89.25	0.00	0.00
1110	93.90	93.58	0.00	0.00
1120	93.90	93.64	0.00	0.00
1130	93.92	95.89	0.00	0.00
1140	93.94	96.52	0.00	0.00
1150	93.96	95.88	0.00	0.00
1160	93.98	96.45	0.00	0.00
1170	94.00	97.11	0.00	0.00
1180	94.01	94.91	0.00	0.00
1190	94.00	93.19	0.00	0.00
1200	93.99	92.29	0.00	0.00
1210	93.96	90.91	0.00	0.00
1220	93.95	91.91	0.00	0.00
1230	93.95	94.31	0.00	0.00
1240	93.97	96.03	0.00	0.00
1250	93.99	96.62	0.00	0.00
1260	94.01	96.84	0.00	0.00
1270	94.03	96.46	0.00	0.00
1280	94.04	95.20	0.00	0.00
1290	94.05	94.88	0.00	0.00
1300	94.04	93.34	0.00	0.00
1310	94.02	91.39	0.00	0.00
1320	94.00	91.23	0.00	0.00
1330	93.99	92.50	0.00	0.00
1340	94.00	95.40	0.00	0.00
1350	94.02	96.47	0.00	0.00
1360	94.04	97.25	0.00	0.00
1370	94.05	95.24	0.00	0.00
1380	94.07	96.55	0.00	0.00
1390	94.08	95.65	0.00	0.00
1400	94.08	94.20	0.00	0.00
1410	94.08	93.91	0.00	0.00
1420	94.06	91.28	0.00	0.00
1430	94.04	91.65	0.00	0.00
1440	94.03	92.68	0.00	0.00
1450	94.04	95.56	0.00	0.00
1460	94.05	95.01	0.00	0.00
1470	94.06	96.25	0.00	0.00
1480	94.08	96.06	0.00	0.00
1490	94.09	96.45	0.00	0.00
1500	94.10	95.09	0.00	0.00
1510	94.10	94.56	0.00	0.00
1520	94.11	94.79	0.00	0.00
1530	94.10	93.10	0.00	0.00
1540	94.08	91.24	0.00	0.00
1550	94.08	93.51	0.00	0.00
1560	94.07	93.29	0.00	0.00
1570	94.08	94.52	0.00	0.00
1580	94.08	94.55	0.00	0.00
1590	94.09	95.27	0.00	0.00
1600	94.09	94.70	0.00	0.00
1610	94.10	95.04	0.00	0.00
1620	94.10	94.87	0.00	0.00
1630	94.10	93.49	0.00	0.00
1640	94.10	94.29	0.00	0.00
1650	94.10	94.18	0.00	0.00
1660	94.09	93.01	0.00	0.00
1670	94.10	95.46	0.00	0.00
1680	94.10	94.55	0.00	0.00
1690	94.11	94.72	0.00	0.00
1700	94.12	95.75	0.00	0.00
1710	94.12	95.38	0.00	0.00
1720	94.13	94.30	0.00	0.00
1730	94.13	94.79	0.00	0.00
1740	94.13	94.59	0.00	0.00
1750	94.13	93.72	0.00	0.00
