tot_inserts	elap_secs	cum_ips	int_ips
515000	10	51392.08	51392.08
1043000	20	52058.90	52726.18
1574000	30	52377.62	53015.18
2102000	40	52464.74	52726.18
2634000	50	52593.75	53109.71
3162000	60	52616.69	52731.45
3683000	70	52606.02	52541.35
4216000	80	52682.88	53220.17
4746000	90	52708.74	52915.34
5276000	100	52723.62	52857.29
5805000	110	52730.54	52799.68
6331000	120	52757.45	53056.28
6860000	130	52762.74	52826.04
7391000	140	52779.66	52999.30
7920000	150	52778.89	52768.08
8450000	160	52787.10	52910.05
8981000	170	52801.46	53031.06
9508000	180	52817.82	53098.24
10036000	190	52809.66	52663.08
10565000	200	52806.52	52747.03
11094000	210	52803.93	52752.29
11620000	220	52814.58	53040.23
12149000	230	52813.47	52789.14
12681000	240	52823.41	53051.46
13212000	250	52831.31	53020.47
13737000	260	52833.40	52886.07
14267000	270	52837.22	52936.48
14796000	280	52837.01	52831.32
15328000	290	52845.33	53077.92
15854000	300	52832.75	52468.83
16379000	310	52818.45	52389.98
16903000	320	52818.57	52822.58
17433000	330	52821.19	52904.77
17964000	340	52826.90	53015.18
18494000	350	52827.47	52846.74
19024000	360	52829.77	52910.05
19551000	370	52837.97	53135.71
20080000	380	52837.79	52831.32
20611000	390	52841.94	52999.30
21140000	400	52839.30	52736.52
21668000	410	52847.62	53182.92
22198000	420	52849.36	52920.62
22727000	430	52848.57	52815.50
23257000	440	52849.73	52899.49
23788000	450	52853.18	53004.59
24317000	460	52852.36	52815.50
24840000	470	52850.50	52764.33
25371000	480	52853.83	53009.88
25900000	490	52853.26	52826.04
26430000	500	52854.82	52931.19
26956000	510	52854.28	52827.16
27486000	520	52855.76	52931.19
28017000	530	52858.08	52978.15
28547000	540	52859.04	52910.05
29076000	550	52857.96	52799.68
29605000	560	52857.29	52820.77
30132000	570	52862.14	53135.71
30662000	580	52863.15	52920.62
31192000	590	52863.94	52910.05
31723000	600	52866.38	53009.88
32000000	610	52452.65	27661.27
32000000	610	52452.65	NaN
