tot_inserts	elap_secs	cum_ips	int_ips
515000	10	51351.08	51351.08
1043000	20	52022.54	52694.61
1573000	30	52316.49	52904.77
2104000	40	52492.39	53020.47
2632000	50	52538.08	52720.92
3156000	60	52586.85	52833.23
3684000	70	52601.52	52689.35
4215000	80	52651.30	52999.30
4745000	90	52682.42	52931.19
5275000	100	52703.09	52888.93
5797000	110	52696.65	52631.58
6327000	120	52714.02	52904.77
6856000	130	52720.21	52794.41
7386000	140	52733.41	52904.77
7916000	150	52745.55	52915.34
8443000	160	52763.80	53039.45
8973000	170	52771.49	52894.21
9502000	180	52773.94	52815.50
10034000	190	52790.80	53093.81
10563000	200	52789.40	52762.82
11088000	210	52795.73	52923.39
11616000	220	52788.96	52647.32
12148000	230	52802.47	53099.11
12678000	240	52807.62	52925.90
13208000	250	52810.66	52883.66
13733000	260	52815.37	52934.06
14264000	270	52817.89	52883.18
14795000	280	52823.06	52962.30
15319000	290	52823.41	52833.23
15849000	300	52826.13	52904.77
16371000	310	52803.20	52116.61
16900000	320	52802.60	52783.88
17432000	330	52812.24	53120.32
17962000	340	52815.59	52925.90
18484000	350	52810.83	52647.50
19016000	360	52817.82	53062.04
19544000	370	52814.48	52694.61
20073000	380	52814.09	52799.68
20603000	390	52816.29	52899.49
21128000	400	52818.42	52902.06
21659000	410	52821.55	52946.46
22189000	420	52822.53	52862.56
22717000	430	52819.42	52689.35
23244000	440	52825.71	53098.24
23773000	450	52823.84	52741.77
24304000	460	52828.01	53015.18
24835000	470	52830.20	52930.62
25362000	480	52835.19	53071.50
25890000	490	52832.96	52726.18
26419000	500	52831.98	52783.88
26947000	510	52829.28	52694.61
27475000	520	52835.62	53161.50
28003000	530	52832.96	52694.61
28535000	540	52836.23	53009.17
29064000	550	52835.86	52815.50
29591000	560	52840.32	53087.54
30120000	570	52839.05	52768.08
30588000	580	52733.02	46701.93
31119000	590	52737.45	52994.01
31649000	600	52740.25	52904.77
32000000	610	52457.64	35368.80
32000000	610	52448.96	0.00
