elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	60.31	60.31	0.00	0.00
20	63.55	66.80	0.00	0.00
30	65.03	67.98	0.00	0.00
40	66.05	69.12	0.00	0.00
50	66.79	69.72	0.00	0.00
60	67.49	71.02	0.00	0.00
70	67.82	69.82	0.00	0.00
80	68.23	71.14	0.00	0.00
90	68.56	71.14	0.00	0.00
100	68.75	70.53	0.00	0.00
110	69.13	72.93	0.00	0.00
120	69.44	72.83	0.00	0.00
130	69.68	72.53	0.00	0.00
140	69.88	72.51	0.00	0.00
150	70.11	73.23	0.00	0.00
160	70.29	73.12	0.00	0.00
170	70.47	73.22	0.00	0.00
180	70.63	73.37	0.00	0.00
190	70.76	73.10	0.00	0.00
200	70.90	73.53	0.00	0.00
210	71.01	73.33	0.00	0.00
220	71.15	74.03	0.00	0.00
230	71.24	73.23	0.00	0.00
240	71.33	73.43	0.00	0.00
250	71.43	73.93	0.00	0.00
260	71.52	73.73	0.00	0.00
270	71.60	73.73	0.00	0.00
280	71.67	73.56	0.00	0.00
290	71.77	74.52	0.00	0.00
300	71.82	73.12	0.00	0.00
310	71.89	74.13	0.00	0.00
320	71.96	74.02	0.00	0.00
330	72.00	73.33	0.00	0.00
340	72.03	73.10	0.00	0.00
350	72.09	74.13	0.00	0.00
360	72.14	73.73	0.00	0.00
370	72.21	74.83	0.00	0.00
380	72.32	76.49	0.00	0.00
390	72.41	75.73	0.00	0.00
400	72.48	75.22	0.00	0.00
410	72.58	76.72	0.00	0.00
420	72.69	77.02	0.00	0.00
430	72.81	77.73	0.00	0.00
440	72.90	76.72	0.00	0.00
450	72.98	76.92	0.00	0.00
460	73.08	77.22	0.00	0.00
470	73.16	76.92	0.00	0.00
480	73.26	78.11	0.00	0.00
490	73.35	77.72	0.00	0.00
500	73.45	78.42	0.00	0.00
510	73.54	77.72	0.00	0.00
520	73.62	78.02	0.00	0.00
530	73.72	78.52	0.00	0.00
540	73.79	77.62	0.00	0.00
550	73.88	78.93	0.00	0.00
560	73.96	78.02	0.00	0.00
570	74.02	77.42	0.00	0.00
580	74.09	78.41	0.00	0.00
590	74.16	78.01	0.00	0.00
600	74.23	78.13	0.00	0.00
610	74.29	78.30	0.00	0.00
620	74.36	78.52	0.00	0.00
630	74.43	78.72	0.00	0.00
640	74.50	79.02	0.00	0.00
650	74.56	78.42	0.00	0.00
660	74.63	79.01	0.00	0.00
670	74.68	78.40	0.00	0.00
680	74.74	78.31	0.00	0.00
690	74.80	78.72	0.00	0.00
700	74.86	79.11	0.00	0.00
710	74.91	78.51	0.00	0.00
720	74.95	77.98	0.00	0.00
730	75.00	78.62	0.00	0.00
740	75.06	78.93	0.00	0.00
750	75.10	78.41	0.00	0.00
