tot_inserts	elap_secs	cum_ips	int_ips
634000	10	63286.09	63286.09
1263000	20	63045.97	62805.79
1881000	30	62604.01	61719.76
2481000	40	61929.01	59904.15
3071000	50	61328.01	58923.40
3697000	60	61525.40	62512.48
4290000	70	61284.84	59826.47
4887000	80	61072.23	59586.79
5468000	90	60732.61	58018.77
6061000	100	60582.13	59228.93
6652000	110	60440.86	59029.17
7255000	120	60421.58	60209.69
7830000	130	60186.32	57368.05
8430000	140	60209.99	60520.48
9037000	150	60231.81	60536.55
9641000	160	60237.43	60321.58
10220000	170	60092.55	57778.66
10829000	180	60132.72	60814.86
11440000	190	60179.49	61020.67
12043000	200	60207.47	60743.43
12617000	210	60069.51	57314.03
13227000	220	60103.33	60811.48
13841000	230	60155.51	61301.92
14434000	240	60139.66	59772.20
14994000	250	59968.80	55877.07
15604000	260	60003.61	60872.17
16000000	270	59244.34	39532.79
16668000	280	59510.93	66699.95
17239000	290	59444.62	57572.09
17837000	300	59453.89	59722.36
18449000	310	59507.72	61120.54
19044000	320	59504.32	59399.02
19628000	330	59467.44	58289.25
20242000	340	59521.64	61308.04
20861000	350	59586.34	61782.61
21478000	360	59657.63	62172.51
22084000	370	59679.23	60454.91
22699000	380	59724.47	61395.63
23288000	390	59705.17	58970.76
23890000	400	59715.00	60097.83
24495000	410	59731.96	60409.39
25123000	420	59816.52	63312.83
25717000	430	59804.89	59316.96
26317000	440	59806.47	59874.26
26909000	450	59790.20	59075.94
27538000	460	59855.07	62768.19
28141000	470	59862.88	60221.71
28743000	480	59880.25	60703.84
29322000	490	59838.13	57819.05
29959000	500	59912.25	63534.81
30550000	510	59893.97	58982.04
31176000	520	59944.39	62512.48
31750000	530	59905.21	57851.24
32000000	535	59800.57	48942.83
