tot_inserts	elap_secs	cum_ips	int_ips
625000	10	62393.93	62393.93
1258000	20	62771.32	63148.44
1877000	30	62454.25	61819.63
2491000	40	62150.70	61240.77
3095000	50	61780.15	60297.49
3709000	60	61797.10	61882.68
4311000	70	61554.06	60097.83
4917000	80	61423.34	60509.24
5521000	90	61298.81	60303.51
6142000	100	61369.06	62000.80
6738000	110	61253.99	60092.76
7352000	120	61259.01	61314.16
7952000	130	61155.59	59916.12
8575000	140	61228.13	62169.44
9162000	150	61053.95	58617.93
9782000	160	61108.09	61919.50
10365000	170	60936.54	58195.25
10986000	180	61027.23	62581.88
11587000	190	60972.98	59998.00
12206000	200	61014.75	61807.29
12798000	210	60922.84	59087.73
13429000	220	61016.50	62980.34
14022000	230	60964.95	59820.44
14642000	240	61002.49	61863.90
15223000	250	60882.50	58007.19
15838000	260	60901.80	61383.37
16325000	270	60446.62	48627.06
16972000	280	60594.59	64583.75
17556000	290	60536.05	58882.84
18183000	300	60605.15	62606.09
18772000	310	60545.85	58770.70
19397000	320	60604.64	62425.09
19983000	330	60540.42	58488.87
20606000	340	60589.31	62200.48
21180000	350	60499.42	57440.21
21807000	360	60574.66	63231.14
22399000	370	60535.22	59117.24
23000000	380	60521.54	60015.98
23574000	390	60435.46	57177.01
24218000	400	60531.53	64271.46
24808000	410	60506.43	59493.80
25411000	420	60498.78	60185.65
25987000	430	60428.70	57490.77
26633000	440	60521.84	64522.57
27212000	450	60461.84	57824.83
27821000	460	60469.66	60820.93
28379000	470	60368.01	55699.74
29010000	480	60435.61	63640.95
29599000	490	60402.55	58817.66
30226000	500	60443.54	62443.98
30813000	510	60406.75	58571.14
31427000	520	60436.07	61945.12
31990000	530	60356.44	56221.29
32000000	535	59810.07	1996.41
