elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	44.27	44.27	0.00	0.00
20	50.56	56.85	0.00	0.00
30	53.26	58.66	0.00	0.00
40	54.95	60.00	0.00	0.00
50	56.21	61.26	0.00	0.00
60	57.18	62.01	0.00	0.00
70	58.11	63.77	0.00	0.00
80	58.99	65.09	0.00	0.00
90	59.74	65.75	0.00	0.00
100	60.32	65.55	0.00	0.00
110	60.89	66.52	0.00	0.00
120	61.37	66.65	0.00	0.00
130	61.72	66.01	0.00	0.00
140	62.03	66.03	0.00	0.00
150	62.34	66.69	0.00	0.00
160	62.66	67.49	0.00	0.00
170	62.85	65.84	0.00	0.00
180	63.10	67.46	0.00	0.00
190	63.35	67.76	0.00	0.00
200	63.62	68.75	0.00	0.00
210	63.93	70.24	0.00	0.00
220	64.13	68.33	0.00	0.00
230	64.33	68.55	0.00	0.00
240	64.55	69.65	0.00	0.00
250	64.72	68.76	0.00	0.00
260	64.91	69.72	0.00	0.00
270	65.02	67.96	0.00	0.00
280	65.13	68.13	0.00	0.00
290	65.31	70.35	0.00	0.00
300	65.48	70.41	0.00	0.00
310	65.57	68.15	0.00	0.00
320	65.72	70.49	0.00	0.00
330	65.90	71.60	0.00	0.00
340	66.06	71.49	0.00	0.00
350	66.23	71.94	0.00	0.00
360	66.31	68.95	0.00	0.00
370	66.39	69.35	0.00	0.00
380	66.48	69.98	0.00	0.00
390	66.63	72.30	0.00	0.00
400	66.78	72.55	0.00	0.00
410	66.92	72.40	0.00	0.00
420	67.05	72.29	0.00	0.00
430	67.14	71.27	0.00	0.00
440	67.28	73.06	0.00	0.00
450	67.38	71.83	0.00	0.00
460	67.44	70.24	0.00	0.00
470	67.55	72.39	0.00	0.00
480	67.66	72.83	0.00	0.00
490	67.73	71.39	0.00	0.00
500	67.78	70.05	0.00	0.00
510	67.83	70.09	0.00	0.00
520	67.93	73.45	0.00	0.00
530	68.03	73.03	0.00	0.00
540	68.13	73.25	0.00	0.00
550	68.22	73.38	0.00	0.00
560	68.30	72.39	0.00	0.00
570	68.37	72.68	0.00	0.00
580	68.45	72.95	0.00	0.00
590	68.51	71.95	0.00	0.00
600	68.58	72.78	0.00	0.00
610	68.66	73.49	0.00	0.00
620	68.73	72.77	0.00	0.00
630	68.80	72.98	0.00	0.00
640	68.87	73.74	0.00	0.00
650	68.91	70.95	0.00	0.00
660	68.96	72.55	0.00	0.00
670	68.96	68.54	0.00	0.00
680	69.00	71.75	0.00	0.00
690	68.99	68.48	0.00	0.00
700	68.99	68.95	0.00	0.00
710	69.03	72.06	0.00	0.00
720	69.07	72.14	0.00	0.00
730	69.11	71.65	0.00	0.00
740	69.15	71.78	0.00	0.00
750	69.18	71.55	0.00	0.00
760	69.20	70.95	0.00	0.00
770	69.25	72.82	0.00	0.00
780	69.30	72.93	0.00	0.00
790	69.35	73.59	0.00	0.00
800	69.40	72.98	0.00	0.00
810	69.44	72.85	0.00	0.00
820	69.49	73.38	0.00	0.00
830	69.52	72.35	0.00	0.00
840	69.53	70.67	0.00	0.00
850	69.58	73.55	0.00	0.00
860	69.63	73.36	0.00	0.00
870	69.67	73.33	0.00	0.00
880	69.71	72.93	0.00	0.00
890	69.74	72.86	0.00	0.00
900	69.77	72.55	0.00	0.00
910	69.81	72.95	0.00	0.00
920	69.84	72.57	0.00	0.00
930	69.86	71.86	0.00	0.00
940	69.86	70.08	0.00	0.00
950	69.88	71.34	0.00	0.00
960	69.90	72.03	0.00	0.00
970	69.91	71.35	0.00	0.00
980	69.94	72.05	0.00	0.00
990	69.97	73.28	0.00	0.00
1000	70.00	72.95	0.00	0.00
1010	70.01	71.33	0.00	0.00
1020	70.04	72.45	0.00	0.00
1030	70.05	71.85	0.00	0.00
1040	70.07	71.95	0.00	0.00
1050	70.11	74.06	0.00	0.00
1060	70.14	73.40	0.00	0.00
1070	70.16	71.80	0.00	0.00
1080	70.19	73.68	0.00	0.00
1090	70.22	73.28	0.00	0.00
1100	70.24	72.33	0.00	0.00
1110	70.23	69.79	0.00	0.00
1120	70.24	70.66	0.00	0.00
1130	70.27	73.65	0.00	0.00
1140	70.30	73.67	0.00	0.00
1150	70.32	73.45	0.00	0.00
1160	70.35	72.94	0.00	0.00
1170	70.35	71.15	0.00	0.00
1180	70.35	69.83	0.00	0.00
1190	70.36	71.45	0.00	0.00
1200	70.38	73.25	0.00	0.00
1210	70.41	73.22	0.00	0.00
1220	70.43	72.84	0.00	0.00
1230	70.44	72.56	0.00	0.00
1240	70.47	73.54	0.00	0.00
1250	70.49	72.94	0.00	0.00
1260	70.50	72.34	0.00	0.00
1270	70.52	73.14	0.00	0.00
1280	70.54	72.92	0.00	0.00
1290	70.56	72.40	0.00	0.00
1300	70.57	72.45	0.00	0.00
1310	70.57	69.98	0.00	0.00
1320	70.58	72.65	0.00	0.00
1330	70.60	73.05	0.00	0.00
1340	70.62	72.95	0.00	0.00
1350	70.62	71.35	0.00	0.00
1360	70.64	72.84	0.00	0.00
1370	70.66	72.77	0.00	0.00
1380	70.68	73.56	0.00	0.00
1390	70.70	73.50	0.00	0.00
1400	70.70	71.08	0.00	0.00
1410	70.72	72.78	0.00	0.00
1420	70.72	71.96	0.00	0.00
1430	70.73	72.11	0.00	0.00
1440	70.74	71.62	0.00	0.00
1450	70.76	74.07	0.00	0.00
1460	70.77	72.47	0.00	0.00
1470	70.77	70.65	0.00	0.00
1480	70.79	72.93	0.00	0.00
1490	70.79	71.45	0.00	0.00
1500	70.80	71.84	0.00	0.00
1510	70.81	72.64	0.00	0.00
1520	70.83	73.34	0.00	0.00
1530	70.84	71.85	0.00	0.00
1540	70.85	72.68	0.00	0.00
1550	70.87	73.65	0.00	0.00
1560	70.88	73.15	0.00	0.00
1570	70.89	73.05	0.00	0.00
1580	70.91	72.95	0.00	0.00
1590	70.91	72.18	0.00	0.00
1600	70.93	73.44	0.00	0.00
1610	70.95	73.26	0.00	0.00
1620	70.97	74.65	0.00	0.00
1630	70.98	72.13	0.00	0.00
1640	70.99	73.63	0.00	0.00
1650	71.00	72.91	0.00	0.00
1660	71.00	70.75	0.00	0.00
1670	71.00	70.92	0.00	0.00
1680	71.01	72.98	0.00	0.00
1690	71.03	73.65	0.00	0.00
1700	71.03	71.55	0.00	0.00
1710	71.04	72.60	0.00	0.00
1720	71.06	74.56	0.00	0.00
1730	71.06	70.29	0.00	0.00
1740	71.06	71.85	0.00	0.00
1750	71.06	70.06	0.00	0.00
1760	71.06	71.93	0.00	0.00
1770	71.06	71.46	0.00	0.00
1780	71.06	71.36	0.00	0.00
1790	71.08	73.85	0.00	0.00
1800	71.09	73.53	0.00	0.00
