tot_inserts	elap_secs	cum_ips	int_ips
0	10	0.00	0.00
0	20	0.00	0.00
0	30	0.00	0.00
0	40	0.00	0.00
500000	50	9980.04	49910.16
1023000	60	17045.74	52748.36
1554000	70	22191.12	53031.06
2082000	80	26010.69	52715.65
2614000	90	29025.09	53115.02
3145000	100	31425.17	52999.30
3675000	110	33380.26	52915.34
4201000	120	35003.37	53013.51
4732000	130	36387.68	52957.02
5262000	140	37569.34	52910.05
5794000	150	38605.56	53088.51
6318000	160	39487.01	52822.58
6849000	170	40283.73	53009.88
7379000	180	40985.34	52888.93
7911000	190	41623.04	53077.92
8440000	200	42183.76	52826.04
8972000	210	42704.90	53115.02
9497000	220	43165.43	52918.05
10028000	230	43593.93	53004.59
10558000	240	43982.32	52899.49
11088000	250	44340.47	52925.90
11619000	260	44673.68	52988.72
12143000	270	44973.91	52849.22
12675000	280	45264.30	53088.51
13204000	290	45525.38	52826.04
13736000	300	45778.43	53104.41
14266000	310	46009.41	52931.19
14796000	320	46225.37	52910.05
15327000	330	46431.53	53020.47
15853000	340	46624.69	53056.28
16321000	350	46627.70	46729.91
16852000	360	46804.48	52978.15
17381000	370	46967.42	52826.04
17913000	380	47129.68	53125.62
18442000	390	47275.91	52826.04
18968000	400	47418.70	53034.89
19497000	410	47550.41	52810.22
20029000	420	47683.67	53141.54
20560000	430	47805.39	52898.98
21091000	440	47923.53	52994.01
21616000	450	48032.89	52880.74
22148000	460	48143.01	53088.51
22678000	470	48244.39	52899.49
23209000	480	48342.92	52962.30
23735000	490	48438.18	53050.93
24264000	500	48525.19	52778.61
24796000	510	48615.32	53115.02
25326000	520	48698.32	52925.90
25855000	530	48776.12	52815.50
26387000	540	48856.22	53093.81
26912000	550	48928.51	52859.44
27443000	560	49001.24	52994.01
27974000	570	49071.51	52999.30
28505000	580	49139.01	52978.15
29031000	590	49203.17	52949.47
29561000	600	49265.05	52910.05
30092000	610	49326.30	52994.01
30623000	620	49385.64	52999.30
31148000	630	49439.78	52816.90
31680000	640	49497.14	53104.41
32000000	650	49226.68	31945.69
32000000	650	49226.68	NaN
