tot_inserts	elap_secs	cum_ips	int_ips
516000	10	51527.86	51527.86
1047000	20	52274.20	53020.47
1577000	30	52489.68	52920.62
2108000	40	52623.70	53025.76
2638000	50	52686.24	52936.48
3168000	60	52727.06	52931.19
3698000	70	52757.73	52941.76
4223000	80	52783.54	52966.10
4754000	90	52810.49	53025.76
5282000	100	52803.10	52736.72
5814000	110	52831.97	53120.32
6345000	120	52848.58	53031.06
6876000	130	52861.81	53020.47
7406000	140	52862.62	52873.10
7932000	150	52871.89	53002.82
8462000	160	52873.62	52899.49
8993000	170	52882.58	53025.76
9522000	180	52878.85	52815.50
10053000	190	52886.31	53020.47
10578000	200	52889.21	52944.74
11108000	210	52889.19	52888.93
11639000	220	52895.41	53025.76
12170000	230	52900.16	53004.59
12702000	240	52909.13	53115.02
13231000	250	52905.38	52815.50
13762000	260	52910.42	53036.36
14286000	270	52907.39	52827.91
14816000	280	52907.48	52910.05
15348000	290	52914.65	53115.02
15876000	300	52907.30	52694.61
16084000	310	51868.81	20762.63
16608000	320	51898.22	52817.26
17141000	330	51938.02	53209.54
17670000	340	51964.32	52831.32
18200000	350	51990.49	52878.38
18731000	360	52018.85	53009.88
19262000	370	52044.83	52978.15
19786000	380	52065.68	52843.89
20317000	390	52090.46	53031.06
20848000	400	52113.10	52994.01
21379000	410	52133.60	52951.74
21905000	420	52154.02	52997.48
22436000	430	52173.47	52988.72
22967000	440	52192.86	53025.76
23498000	450	52210.47	52983.44
24027000	460	52223.64	52815.50
24558000	470	52240.62	53020.47
25083000	480	52255.16	52944.74
25614000	490	52270.48	53004.59
26145000	500	52285.19	53004.59
26674000	510	52296.01	52836.60
27204000	520	52308.14	52925.90
27736000	530	52323.39	53115.02
28260000	540	52332.75	52833.23
28791000	550	52345.18	53015.18
29320000	560	52353.78	52826.04
29851000	570	52365.40	53015.18
30383000	580	52378.25	53109.71
30912000	590	52385.85	52826.04
31442000	600	52394.60	52910.05
31960000	610	52391.98	52233.54
32000000	615	52030.24	7984.03
