elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	287.58	287.58	0.00	0.00
20	326.31	365.13	0.00	0.00
30	349.90	397.07	0.00	0.00
40	366.03	414.40	0.00	0.00
50	377.98	425.86	0.00	0.00
60	387.35	434.63	0.00	0.00
70	394.99	440.79	0.00	0.00
80	400.98	442.85	0.00	0.00
90	405.38	440.57	0.00	0.00
100	409.27	444.51	0.00	0.00
110	412.21	441.55	0.00	0.00
120	414.96	445.10	0.00	0.00
130	417.15	443.45	0.00	0.00
140	419.51	450.13	0.00	0.00
150	421.06	442.95	0.00	0.00
160	422.48	443.75	0.00	0.00
170	423.76	444.17	0.00	0.00
180	424.83	442.95	0.00	0.00
190	426.01	447.24	0.00	0.00
200	427.02	446.24	0.00	0.00
210	428.27	453.29	0.00	0.00
220	429.18	448.55	0.00	0.00
230	429.91	445.74	0.00	0.00
240	430.60	446.44	0.00	0.00
250	431.10	443.33	0.00	0.00
260	431.37	438.05	0.00	0.00
270	432.09	450.67	0.00	0.00
280	432.79	451.74	0.00	0.00
290	433.20	444.64	0.00	0.00
300	433.62	445.91	0.00	0.00
310	434.18	450.93	0.00	0.00
320	434.82	454.71	0.00	0.00
330	435.14	445.34	0.00	0.00
340	435.45	445.86	0.00	0.00
350	435.72	444.84	0.00	0.00
360	436.20	452.80	0.00	0.00
370	436.40	443.65	0.00	0.00
380	436.76	450.15	0.00	0.00
390	437.17	452.74	0.00	0.00
400	437.56	452.60	0.00	0.00
410	437.74	444.98	0.00	0.00
420	438.06	451.01	0.00	0.00
430	438.23	445.70	0.00	0.00
440	438.54	451.94	0.00	0.00
450	438.70	445.40	0.00	0.00
460	438.82	444.34	0.00	0.00
470	438.85	440.35	0.00	0.00
480	438.99	445.60	0.00	0.00
490	439.02	440.22	0.00	0.00
500	439.15	445.50	0.00	0.00
510	439.31	447.64	0.00	0.00
520	439.42	444.94	0.00	0.00
530	439.54	445.76	0.00	0.00
540	439.57	441.22	0.00	0.00
550	439.70	446.41	0.00	0.00
560	439.96	454.24	0.00	0.00
570	440.14	450.30	0.00	0.00
580	440.21	444.34	0.00	0.00
590	440.25	442.84	0.00	0.00
600	440.29	442.29	0.00	0.00
610	440.33	443.07	0.00	0.00
620	440.39	443.77	0.00	0.00
630	440.43	443.04	0.00	0.00
640	440.45	441.85	0.00	0.00
650	440.60	450.21	0.00	0.00
660	440.69	446.10	0.00	0.00
670	440.71	442.50	0.00	0.00
680	440.76	443.83	0.00	0.00
690	440.75	440.10	0.00	0.00
700	440.82	445.57	0.00	0.00
710	440.92	447.70	0.00	0.00
720	440.95	443.18	0.00	0.00
730	441.07	449.94	0.00	0.00
740	441.09	442.25	0.00	0.00
750	441.12	443.65	0.00	0.00
760	441.10	439.95	0.00	0.00
770	441.20	448.73	0.00	0.00
780	441.37	454.23	0.00	0.00
790	441.47	449.15	0.00	0.00
800	441.51	444.70	0.00	0.00
810	441.52	442.56	0.00	0.00
820	441.62	449.90	0.00	0.00
830	441.74	451.11	0.00	0.00
840	441.85	451.04	0.00	0.00
850	441.86	442.60	0.00	0.00
860	441.89	444.44	0.00	0.00
870	441.90	442.58	0.00	0.00
880	441.91	443.36	0.00	0.00
890	441.95	445.00	0.00	0.00
900	441.95	441.87	0.00	0.00
910	442.01	447.92	0.00	0.00
920	442.04	445.04	0.00	0.00
930	442.07	443.99	0.00	0.00
940	442.09	443.89	0.00	0.00
950	442.03	437.15	0.00	0.00
960	442.08	446.64	0.00	0.00
970	442.14	447.94	0.00	0.00
980	442.18	446.00	0.00	0.00
990	442.26	450.14	0.00	0.00
1000	442.27	442.91	0.00	0.00
1010	442.34	449.86	0.00	0.00
1020	442.43	451.66	0.00	0.00
1030	442.44	443.05	0.00	0.00
1040	442.49	447.14	0.00	0.00
1050	442.49	442.96	0.00	0.00
1060	442.55	448.60	0.00	0.00
1070	442.55	442.78	0.00	0.00
1080	442.56	444.09	0.00	0.00
1090	442.62	449.19	0.00	0.00
1100	442.67	447.22	0.00	0.00
1110	442.65	440.92	0.00	0.00
1120	442.66	444.10	0.00	0.00
1130	442.74	451.49	0.00	0.00
1140	442.73	441.53	0.00	0.00
1150	442.75	444.65	0.00	0.00
1160	442.75	443.50	0.00	0.00
1170	442.78	445.84	0.00	0.00
1180	442.79	443.80	0.00	0.00
1190	442.79	443.01	0.00	0.00
1200	442.84	448.14	0.00	0.00
1210	442.85	444.34	0.00	0.00
1220	442.86	443.92	0.00	0.00
1230	442.89	447.54	0.00	0.00
1240	442.93	447.70	0.00	0.00
1250	442.93	442.79	0.00	0.00
1260	442.94	443.65	0.00	0.00
1270	442.96	445.73	0.00	0.00
1280	443.02	451.24	0.00	0.00
1290	443.04	444.90	0.00	0.00
1300	443.10	451.03	0.00	0.00
1310	443.10	442.95	0.00	0.00
1320	443.10	443.46	0.00	0.00
1330	443.11	443.94	0.00	0.00
1340	443.09	441.11	0.00	0.00
1350	443.11	445.64	0.00	0.00
1360	443.10	441.73	0.00	0.00
1370	443.13	447.50	0.00	0.00
1380	443.13	442.37	0.00	0.00
1390	443.15	446.27	0.00	0.00
1400	443.19	448.20	0.00	0.00
1410	443.19	443.48	0.00	0.00
1420	443.21	445.52	0.00	0.00
1430	443.28	453.94	0.00	0.00
1440	443.35	452.53	0.00	0.00
1450	443.34	442.83	0.00	0.00
1460	443.41	453.84	0.00	0.00
1470	443.47	451.36	0.00	0.00
1480	443.50	448.68	0.00	0.00
1490	443.52	445.80	0.00	0.00
1500	443.52	444.13	0.00	0.00
1510	443.52	442.74	0.00	0.00
1520	443.56	450.14	0.00	0.00
1530	443.61	450.34	0.00	0.00
1540	443.65	450.55	0.00	0.00
1550	443.65	443.99	0.00	0.00
1560	443.66	444.64	0.00	0.00
1570	443.66	443.02	0.00	0.00
1580	443.65	443.15	0.00	0.00
1590	443.65	442.71	0.00	0.00
1600	443.65	444.35	0.00	0.00
1610	443.64	442.08	0.00	0.00
1620	443.65	444.64	0.00	0.00
1630	443.66	446.49	0.00	0.00
1640	443.68	445.54	0.00	0.00
1650	443.68	443.65	0.00	0.00
1660	443.70	447.17	0.00	0.00
1670	443.70	444.80	0.00	0.00
1680	443.75	450.94	0.00	0.00
1690	443.75	444.38	0.00	0.00
1700	443.73	440.75	0.00	0.00
1710	443.76	448.95	0.00	0.00
1720	443.82	453.03	0.00	0.00
1730	443.83	445.44	0.00	0.00
1740	443.83	443.99	0.00	0.00
1750	443.83	444.74	0.00	0.00
1760	443.84	445.79	0.00	0.00
1770	443.86	447.04	0.00	0.00
1780	443.86	443.00	0.00	0.00
1790	443.86	444.78	0.00	0.00
1800	443.87	446.00	0.00	0.00
