elap_secs	cum_tps	int_tps	cum_ips	int_ips
10	694.40	694.40	0.00	0.00
20	725.35	756.34	0.00	0.00
30	718.39	704.47	0.00	0.00
40	713.60	699.20	0.00	0.00
50	711.59	703.54	0.00	0.00
60	709.98	701.93	0.00	0.00
70	706.59	686.28	0.00	0.00
80	706.85	708.62	0.00	0.00
90	708.33	720.36	0.00	0.00
100	708.50	709.98	0.00	0.00
110	708.54	709.01	0.00	0.00
120	708.81	711.73	0.00	0.00
130	706.75	682.01	0.00	0.00
140	703.87	666.47	0.00	0.00
150	698.97	630.43	0.00	0.00
160	696.10	652.58	0.00	0.00
170	692.97	643.17	0.00	0.00
180	691.24	661.78	0.00	0.00
190	690.42	675.79	0.00	0.00
200	690.14	684.75	0.00	0.00
210	689.89	684.94	0.00	0.00
220	690.45	702.02	0.00	0.00
230	691.16	706.76	0.00	0.00
240	691.54	700.37	0.00	0.00
250	692.55	716.67	0.00	0.00
260	693.54	718.43	0.00	0.00
270	694.34	715.00	0.00	0.00
280	693.13	660.11	0.00	0.00
290	691.02	632.25	0.00	0.00
300	689.48	644.72	0.00	0.00
310	689.07	676.82	0.00	0.00
320	688.63	675.06	0.00	0.00
330	688.19	674.05	0.00	0.00
340	688.01	682.22	0.00	0.00
350	688.44	702.84	0.00	0.00
360	688.62	695.13	0.00	0.00
370	689.03	703.53	0.00	0.00
380	689.58	709.93	0.00	0.00
390	689.86	700.77	0.00	0.00
400	689.55	677.04	0.00	0.00
410	688.99	666.90	0.00	0.00
420	688.01	647.68	0.00	0.00
430	686.85	638.48	0.00	0.00
440	685.94	646.75	0.00	0.00
450	684.87	637.53	0.00	0.00
460	684.13	650.71	0.00	0.00
470	683.68	663.00	0.00	0.00
480	683.50	674.95	0.00	0.00
490	683.97	707.05	0.00	0.00
500	684.65	717.61	0.00	0.00
510	685.47	726.27	0.00	0.00
520	685.70	697.60	0.00	0.00
530	686.24	714.49	0.00	0.00
540	686.71	711.68	0.00	0.00
550	686.89	696.67	0.00	0.00
560	686.57	668.90	0.00	0.00
570	685.66	634.77	0.00	0.00
580	684.85	638.90	0.00	0.00
590	683.97	632.87	0.00	0.00
600	683.54	658.35	0.00	0.00
610	683.47	679.38	0.00	0.00
620	683.07	658.28	0.00	0.00
630	682.43	642.82	0.00	0.00
640	681.91	649.13	0.00	0.00
650	681.58	660.76	0.00	0.00
660	681.43	671.63	0.00	0.00
670	681.96	717.23	0.00	0.00
680	682.51	719.59	0.00	0.00
690	682.98	714.61	0.00	0.00
700	683.31	706.06	0.00	0.00
710	682.92	656.01	0.00	0.00
720	682.26	635.02	0.00	0.00
730	681.73	643.67	0.00	0.00
740	681.37	654.84	0.00	0.00
750	681.71	706.60	0.00	0.00
760	681.83	691.52	0.00	0.00
770	681.99	694.08	0.00	0.00
780	682.27	703.66	0.00	0.00
790	682.55	704.17	0.00	0.00
800	682.73	697.02	0.00	0.00
810	683.01	704.95	0.00	0.00
820	683.13	692.92	0.00	0.00
830	683.68	729.24	0.00	0.00
840	683.61	677.91	0.00	0.00
850	683.11	640.60	0.00	0.00
860	682.41	622.95	0.00	0.00
870	681.88	636.63	0.00	0.00
880	681.27	627.35	0.00	0.00
890	680.94	652.71	0.00	0.00
900	680.64	653.25	0.00	0.00
910	680.62	679.07	0.00	0.00
920	680.63	681.73	0.00	0.00
930	680.79	695.47	0.00	0.00
940	680.93	694.04	0.00	0.00
950	681.25	710.96	0.00	0.00
960	681.33	688.81	0.00	0.00
970	681.38	686.38	0.00	0.00
980	681.47	690.35	0.00	0.00
990	681.02	636.13	0.00	0.00
1000	680.45	624.21	0.00	0.00
1010	680.02	637.28	0.00	0.00
1020	679.71	647.86	0.00	0.00
1030	679.63	671.60	0.00	0.00
1040	679.68	684.97	0.00	0.00
1050	679.84	696.37	0.00	0.00
1060	679.98	695.01	0.00	0.00
1070	679.99	680.99	0.00	0.00
1080	679.90	670.60	0.00	0.00
1090	679.52	637.83	0.00	0.00
1100	679.27	652.18	0.00	0.00
