sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 226.70, reads: 3190.66, writes: 910.52, response time: 107.23ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 246.60, reads: 3453.90, writes: 984.40, response time: 97.29ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 253.20, reads: 3544.70, writes: 1013.60, response time: 93.46ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 255.50, reads: 3575.80, writes: 1022.00, response time: 90.98ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 265.00, reads: 3707.30, writes: 1059.90, response time: 86.83ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 224.60, reads: 3145.00, writes: 897.90, response time: 113.03ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 281.00, reads: 3938.80, writes: 1125.30, response time: 80.45ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 289.20, reads: 4046.50, writes: 1156.20, response time: 76.96ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 286.90, reads: 4019.80, writes: 1149.10, response time: 81.20ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 294.00, reads: 4112.70, writes: 1174.70, response time: 75.86ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 263.50, reads: 3692.90, writes: 1055.60, response time: 108.33ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 307.30, reads: 4298.30, writes: 1226.60, response time: 72.47ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 310.20, reads: 4339.49, writes: 1240.60, response time: 73.45ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 306.00, reads: 4287.40, writes: 1224.10, response time: 71.78ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 309.00, reads: 4319.30, writes: 1235.10, response time: 74.53ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 309.70, reads: 4343.40, writes: 1239.70, response time: 70.56ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 287.00, reads: 4009.40, writes: 1146.30, response time: 99.35ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 319.30, reads: 4479.00, writes: 1280.80, response time: 69.06ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 330.80, reads: 4630.20, writes: 1322.60, response time: 67.52ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 327.70, reads: 4583.12, writes: 1308.41, response time: 67.83ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 312.90, reads: 4386.28, writes: 1254.89, response time: 78.50ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 321.40, reads: 4497.10, writes: 1285.20, response time: 68.21ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 304.00, reads: 4259.00, writes: 1215.70, response time: 89.55ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 330.10, reads: 4619.51, writes: 1320.40, response time: 65.24ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 336.70, reads: 4713.70, writes: 1345.00, response time: 64.25ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 334.60, reads: 4685.49, writes: 1338.70, response time: 63.43ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 328.00, reads: 4584.61, writes: 1311.70, response time: 68.60ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 324.30, reads: 4547.20, writes: 1299.30, response time: 66.44ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 299.10, reads: 4187.70, writes: 1195.70, response time: 92.32ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 333.90, reads: 4674.60, writes: 1335.60, response time: 65.01ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 336.20, reads: 4699.60, writes: 1342.70, response time: 64.33ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 332.40, reads: 4658.80, writes: 1329.30, response time: 64.54ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 317.80, reads: 4451.29, writes: 1273.60, response time: 74.42ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 325.90, reads: 4563.00, writes: 1302.00, response time: 66.40ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 295.60, reads: 4137.11, writes: 1183.40, response time: 95.73ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 337.00, reads: 4718.89, writes: 1347.40, response time: 63.75ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 331.60, reads: 4642.11, writes: 1326.40, response time: 64.35ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 16, tps: 331.10, reads: 4636.40, writes: 1327.30, response time: 64.15ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 16, tps: 313.80, reads: 4389.41, writes: 1251.80, response time: 75.82ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 16, tps: 313.50, reads: 4390.88, writes: 1255.49, response time: 70.94ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 16, tps: 283.80, reads: 3967.01, writes: 1132.80, response time: 103.17ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 16, tps: 318.20, reads: 4458.70, writes: 1274.60, response time: 68.81ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 16, tps: 320.70, reads: 4489.90, writes: 1282.00, response time: 68.32ms (95%), errors: 0.00, reconnects:  0.00
