sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 144.90, reads: 2042.92, writes: 581.01, response time: 168.66ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 172.30, reads: 2414.00, writes: 690.60, response time: 130.73ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 152.00, reads: 2123.90, writes: 606.00, response time: 128.90ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 188.70, reads: 2647.30, writes: 755.70, response time: 119.47ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 186.10, reads: 2607.50, writes: 747.00, response time: 115.42ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 201.20, reads: 2813.20, writes: 803.20, response time: 112.49ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 203.70, reads: 2853.80, writes: 814.80, response time: 108.75ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 191.50, reads: 2683.00, writes: 766.80, response time: 136.53ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 216.20, reads: 3025.30, writes: 864.50, response time: 103.57ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 222.10, reads: 3108.00, writes: 888.40, response time: 100.12ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 220.80, reads: 3090.90, writes: 882.20, response time: 101.36ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 224.70, reads: 3144.20, writes: 899.00, response time: 99.17ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 229.90, reads: 3218.30, writes: 918.00, response time: 96.88ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 207.70, reads: 2909.70, writes: 833.40, response time: 128.40ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 237.30, reads: 3318.40, writes: 946.90, response time: 91.94ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 236.30, reads: 3314.90, writes: 948.50, response time: 91.06ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 234.60, reads: 3285.20, writes: 938.80, response time: 92.57ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 237.80, reads: 3325.80, writes: 950.00, response time: 94.70ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 239.30, reads: 3352.90, writes: 955.80, response time: 92.77ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 221.10, reads: 3096.90, writes: 887.00, response time: 117.13ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 251.00, reads: 3504.50, writes: 999.60, response time: 88.11ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 247.90, reads: 3479.90, writes: 995.00, response time: 87.32ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 247.00, reads: 3457.50, writes: 987.90, response time: 89.15ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 247.40, reads: 3460.20, writes: 988.50, response time: 91.39ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 248.30, reads: 3473.40, writes: 992.40, response time: 86.80ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 225.70, reads: 3165.40, writes: 904.40, response time: 122.32ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 248.80, reads: 3484.90, writes: 996.20, response time: 86.21ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 254.40, reads: 3557.50, writes: 1016.50, response time: 85.67ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 249.90, reads: 3497.30, writes: 998.50, response time: 87.85ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 247.20, reads: 3460.00, writes: 988.30, response time: 90.46ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 238.80, reads: 3343.50, writes: 956.00, response time: 91.25ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 222.50, reads: 3118.20, writes: 891.00, response time: 124.35ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 245.80, reads: 3432.30, writes: 980.60, response time: 88.22ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 244.50, reads: 3429.10, writes: 977.80, response time: 88.16ms (95%), errors: 0.00, reconnects:  0.00
