workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
xb,10000000,16,1,25692.70,19355.27,12.91,2136.81,1
xb,10000000,16,2,32278.06,24206.05,10.37,2689.01,1
xb,10000000,16,3,33426.06,25078.05,9.96,2788.01,1
xb,10000000,16,4,33382.06,25024.04,9.87,2780.00,1
xb,10000000,16,5,33120.35,24836.51,10.12,2758.95,1
xb,10000000,16,6,34741.69,26054.52,10.03,2896.06,1
xb,10000000,16,7,34443.01,25851.01,10.14,2873.00,1
xb,10000000,16,8,35393.90,26531.92,9.46,2945.99,1
xb,10000000,16,9,36231.07,27181.05,9.27,3023.01,1
xb,10000000,16,10,36218.93,27170.95,9.31,3014.99,1
xb,10000000,16,11,37068.97,27776.98,9.16,3089.00,1
xb,10000000,16,12,37002.00,27777.00,9.06,3085.00,1
xb,10000000,16,13,36570.06,27395.29,9.35,3046.92,1
xb,10000000,16,14,35643.10,26781.82,9.25,2972.09,1
xb,10000000,16,15,37992.80,28457.85,9.07,3163.98,1
xb,10000000,16,16,38187.04,28638.03,8.88,3182.00,1
xb,10000000,16,17,38599.97,28960.98,8.90,3216.00,1
xb,10000000,16,18,38887.09,29173.07,8.94,3241.01,1
xb,10000000,16,19,38458.97,28863.97,8.98,3206.00,1
xb,10000000,16,20,40156.04,30102.03,8.49,3346.00,1
xb,10000000,16,21,39920.92,29930.94,9.01,3325.99,1
xb,10000000,16,22,39457.91,29600.93,8.87,3289.99,1
xb,10000000,16,23,40096.12,30057.09,8.51,3337.01,1
xb,10000000,16,24,40281.82,30211.87,8.82,3359.99,1
xb,10000000,16,25,40229.15,30163.12,8.47,3352.01,1
xb,10000000,16,26,39442.05,29589.04,8.55,3286.00,1
xb,10000000,16,27,39351.97,29542.98,8.96,3282.00,1
xb,10000000,16,28,40690.94,30485.95,8.50,3387.99,1
xb,10000000,16,29,40482.95,30349.96,7.82,3372.00,1
xb,10000000,16,30,40828.16,30628.12,8.58,3404.01,1
xb,10000000,16,31,39840.06,29887.04,8.68,3322.00,1
xb,10000000,16,32,39855.78,29874.84,8.81,3317.98,1
xb,10000000,16,33,40761.12,30606.09,8.14,3401.01,1
xb,10000000,16,34,39279.05,29449.04,8.88,3271.00,1
xb,10000000,16,35,39519.83,29640.87,8.52,3294.99,1
xb,10000000,16,36,41118.19,30837.14,8.44,3425.02,1
xb,10000000,16,37,40332.98,30284.98,8.42,3363.00,1
xb,10000000,16,38,38284.87,28673.90,9.02,3187.99,1
xb,10000000,16,39,41657.93,31261.95,8.09,3471.99,1
xb,10000000,16,40,41457.42,31066.56,8.06,3456.95,1
xb,10000000,16,41,41386.81,31046.61,7.91,3445.07,1
xb,10000000,16,42,41153.86,30877.90,8.48,3432.99,1
xb,10000000,16,43,40809.00,30618.00,8.37,3401.00,1
xb,10000000,16,44,40821.98,30603.98,8.36,3400.00,1
xb,10000000,16,45,40382.13,30281.09,8.51,3363.01,1
xb,10000000,16,46,41448.01,31090.01,7.95,3458.00,1
xb,10000000,16,47,40499.00,30372.00,8.81,3373.00,1
xb,10000000,16,48,41389.90,31035.93,8.09,3448.99,1
xb,10000000,16,49,41036.14,30767.10,7.85,3419.01,1
xb,10000000,16,50,39412.94,29584.96,8.67,3287.00,1
xb,10000000,16,51,38368.30,28770.48,8.65,3193.94,1
xb,10000000,16,52,40771.82,30551.62,8.29,3398.07,1
xb,10000000,16,53,40536.90,30426.93,8.29,3379.99,1
xb,10000000,16,54,40807.95,30631.96,8.19,3401.00,1
xb,10000000,16,55,40122.95,30067.96,8.31,3344.00,1
xb,10000000,16,56,41283.07,30950.05,8.07,3438.01,1
xb,10000000,16,57,40311.11,30261.08,8.27,3360.01,1
xb,10000000,16,58,40996.95,30748.96,8.22,3418.00,1
xb,10000000,16,59,40995.82,30725.87,7.81,3413.99,1
xb,10000000,16,60,39552.23,29692.17,8.34,3298.02,1
xb,10000000,16,61,39250.00,29375.00,8.78,3265.00,1
xb,10000000,16,62,39767.03,29857.02,8.30,3321.00,1
xb,10000000,16,63,40305.82,30220.87,8.42,3354.99,1
xb,10000000,16,64,36404.06,27335.04,9.09,3037.00,1
xb,10000000,16,65,37801.97,28328.97,8.69,3148.00,1
xb,10000000,16,66,37487.13,28152.10,9.17,3126.01,1
xb,10000000,16,67,38704.02,28997.01,8.47,3224.00,1
xb,10000000,16,68,37618.96,28221.97,8.66,3134.00,1
xb,10000000,16,69,37626.03,28215.02,8.40,3136.00,1
xb,10000000,16,70,36289.97,27199.98,9.24,3022.00,1
xb,10000000,16,71,37778.97,28365.98,8.76,3152.00,1
xb,10000000,16,72,37295.02,27958.01,9.09,3107.00,1
xb,10000000,16,73,37266.95,27943.96,9.20,3106.00,1
xb,10000000,16,74,35742.02,26811.02,9.22,2977.00,1
xb,10000000,16,75,35004.81,26246.86,9.38,2916.98,1
xb,10000000,16,76,36795.09,27613.07,8.58,3067.01,1
xb,10000000,16,77,36132.11,27061.09,9.24,3008.01,1
xb,10000000,16,78,35209.03,26428.02,9.34,2937.00,1
xb,10000000,16,79,34421.84,25831.88,9.58,2869.99,1
xb,10000000,16,80,34511.15,25854.11,9.37,2874.01,1
xb,10000000,16,81,34478.01,25884.01,9.24,2873.00,1
xb,10000000,16,82,32759.98,24562.99,9.63,2730.00,1
xb,10000000,16,83,36969.01,27740.01,8.87,3083.00,1
xb,10000000,16,84,33285.93,24958.95,10.23,2771.99,1
xb,10000000,16,85,33876.05,25431.04,9.75,2825.00,1
xb,10000000,16,86,34263.96,25659.97,9.86,2853.00,1
xb,10000000,16,87,33491.06,25137.04,10.09,2791.00,1
xb,10000000,16,88,35269.00,26422.00,10.07,2937.00,1
xb,10000000,16,89,33142.00,24863.00,10.05,2765.00,1
xb,10000000,16,90,34262.02,25709.02,9.89,2855.00,1
xb,10000000,16,91,32904.98,24677.98,10.13,2742.00,1
xb,10000000,16,92,32763.00,24600.00,10.18,2731.00,1
xb,10000000,16,93,32410.95,24286.96,10.07,2700.00,1
xb,10000000,16,94,31887.97,23924.98,10.04,2657.00,1
xb,10000000,16,95,32617.99,24427.99,10.00,2719.00,1
xb,10000000,16,96,32676.53,24523.64,10.28,2719.96,1
xb,10000000,16,97,33344.50,25029.38,10.16,2781.04,1
xb,10000000,16,98,34719.08,26012.06,9.41,2891.01,1
xb,10000000,16,99,30558.00,22917.00,10.48,2548.00,1
xb,10000000,16,100,31572.95,23712.97,9.97,2634.00,1
xb,10000000,16,101,31990.03,23958.02,10.26,2664.00,1
xb,10000000,16,102,33532.88,25173.91,9.83,2793.99,1
xb,10000000,16,103,30540.08,22883.06,10.87,2544.01,1
xb,10000000,16,104,29900.05,22442.03,11.08,2492.00,1
xb,10000000,16,105,31258.00,23457.00,10.31,2606.00,1
xb,10000000,16,106,32727.99,24532.99,10.53,2727.00,1
xb,10000000,16,107,31138.00,23362.00,10.16,2596.00,1
xb,10000000,16,108,33231.85,24922.89,9.80,2768.99,1
xb,10000000,16,109,30467.82,22798.87,10.73,2532.99,1
xb,10000000,16,110,31182.26,23451.19,10.59,2605.02,1
xb,10000000,16,111,32618.07,24445.06,10.55,2716.01,1
xb,10000000,16,112,30987.93,23219.95,10.95,2582.99,1
xb,10000000,16,113,29803.58,22362.69,10.92,2484.97,1
xb,10000000,16,114,29678.48,22271.36,11.32,2472.04,1
xb,10000000,16,115,31731.08,23758.06,10.61,2642.01,1
xb,10000000,16,116,30965.91,23255.93,11.09,2581.99,1
xb,10000000,16,117,30242.01,22706.01,11.08,2522.00,1
xb,10000000,16,118,30224.75,22648.81,10.83,2516.98,1
xb,10000000,16,119,27366.22,20540.17,12.07,2283.02,1
xb,10000000,16,120,28016.81,20972.85,11.72,2330.98,1
xb,10000000,16,121,29184.16,21910.12,11.13,2433.01,1
xb,10000000,16,122,29304.05,21985.03,11.08,2443.00,1
xb,10000000,16,123,29328.00,21974.00,11.80,2444.00,1
xb,10000000,16,124,29397.94,22049.95,11.47,2449.99,1
xb,10000000,16,125,30872.09,23196.07,11.14,2575.01,1
xb,10000000,16,126,29317.96,21968.97,11.20,2440.00,1
xb,10000000,16,127,27753.95,20816.96,11.58,2313.00,1
xb,10000000,16,128,29713.06,22247.04,11.78,2473.00,1
xb,10000000,16,129,28997.94,21793.95,12.51,2420.99,1
xb,10000000,16,130,28256.06,21162.05,12.08,2351.01,1
xb,10000000,16,131,29358.02,22036.01,11.80,2449.00,1
xb,10000000,16,132,27417.67,20553.76,12.18,2283.97,1
xb,10000000,16,133,27086.24,20330.18,12.25,2258.02,1
xb,10000000,16,134,30060.07,22539.05,11.81,2505.01,1
xb,10000000,16,135,29168.02,21837.01,11.74,2430.00,1
xb,10000000,16,136,30703.02,23053.02,11.69,2557.00,1
xb,10000000,16,137,30725.44,23066.58,11.54,2562.95,1
xb,10000000,16,138,26664.38,19941.28,13.37,2220.03,1
xb,10000000,16,139,27751.95,20862.97,12.31,2314.00,1
xb,10000000,16,140,28308.05,21215.04,12.18,2358.00,1
xb,10000000,16,141,28494.09,21342.07,12.15,2373.01,1
xb,10000000,16,142,28084.92,21078.94,11.94,2341.99,1
xb,10000000,16,143,25315.96,19026.97,13.45,2112.00,1
xb,10000000,16,144,20821.06,15618.04,15.69,1735.00,1
xb,10000000,16,145,23281.94,17426.95,14.32,1936.99,1
xb,10000000,16,146,31449.06,23585.05,11.33,2622.01,1
xb,10000000,16,147,26749.93,20093.95,12.90,2233.99,1
xb,10000000,16,148,27796.10,20827.08,12.09,2312.01,1
xb,10000000,16,149,30059.01,22555.01,11.64,2507.00,1
