engine,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
mem20,ext4,rocks0,100,psfm,60000000,100,10,0.00,61671.96,35.22,5254.73,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,20,0.00,76978.93,19.79,6565.69,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,30,0.00,77340.00,19.65,6592.90,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,40,0.00,77381.23,19.68,6604.24,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,50,0.00,77527.81,19.73,6608.37,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,60,0.00,77398.42,19.73,6603.30,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,69,0.00,77030.19,19.86,6569.13,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,80,0.00,77416.24,19.72,6600.20,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,90,0.00,77350.21,19.74,6595.80,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,100,0.00,77474.09,19.71,6607.40,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,110,0.00,77262.10,19.80,6588.70,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,120,0.00,77434.52,19.76,6598.80,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,130,0.00,77595.35,19.68,6612.50,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,140,0.00,77661.83,19.66,6622.49,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,150,0.00,77651.12,19.61,6622.61,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,160,0.00,77670.39,19.60,6619.10,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,170,0.00,77371.93,19.71,6600.89,pareto
mem20,ext4,rocks0,100,psfm,60000000,100,180,0.00,77507.39,19.71,6611.92,pareto
mem20,ext4,wt2,100,psfm,60000000,100,10,0.00,53494.44,47.01,4583.05,pareto
mem20,ext4,wt2,100,psfm,60000000,100,20,0.00,100186.77,16.34,8593.61,pareto
mem20,ext4,wt2,100,psfm,60000000,100,30,0.00,102935.89,14.66,8830.41,pareto
mem20,ext4,wt2,100,psfm,60000000,100,40,0.00,103254.60,14.67,8854.19,pareto
mem20,ext4,wt2,100,psfm,60000000,100,50,0.00,103106.62,14.70,8848.51,pareto
mem20,ext4,wt2,100,psfm,60000000,100,59,0.00,102552.86,14.80,8792.50,pareto
mem20,ext4,wt2,100,psfm,60000000,100,70,0.00,102567.10,14.77,8796.50,pareto
mem20,ext4,wt2,100,psfm,60000000,100,80,0.00,102865.61,14.69,8822.80,pareto
mem20,ext4,wt2,100,psfm,60000000,100,90,0.00,101657.77,14.95,8718.30,pareto
mem20,ext4,wt2,100,psfm,60000000,100,100,0.00,102309.11,14.87,8768.49,pareto
mem20,ext4,wt2,100,psfm,60000000,100,110,0.00,101750.41,14.94,8727.01,pareto
mem20,ext4,wt2,100,psfm,60000000,100,120,0.00,102877.08,14.75,8823.40,pareto
mem20,ext4,wt2,100,psfm,60000000,100,130,0.00,102594.37,14.81,8795.90,pareto
mem20,ext4,wt2,100,psfm,60000000,100,140,0.00,102594.98,14.81,8801.81,pareto
mem20,ext4,wt2,100,psfm,60000000,100,150,0.00,102860.63,14.83,8813.59,pareto
mem20,ext4,wt2,100,psfm,60000000,100,160,0.00,102724.62,14.95,8803.30,pareto
mem20,ext4,wt2,100,psfm,60000000,100,170,0.00,101890.98,15.04,8735.40,pareto
mem20,ext4,wt2,100,psfm,60000000,99,180,0.00,102601.55,14.83,8793.16,pareto
mem20,ext4,wt2,100,psfm,60000000,100,10,0.00,26232.79,38.25,5288.42,uniform
mem20,ext4,wt2,100,psfm,60000000,100,20,0.00,36384.85,28.30,7331.11,uniform
mem20,ext4,wt2,100,psfm,60000000,100,30,0.00,46176.18,21.31,9306.44,uniform
mem20,ext4,wt2,100,psfm,60000000,100,40,0.00,50273.01,19.54,10126.16,uniform
mem20,ext4,wt2,100,psfm,60000000,100,50,0.00,56094.00,16.82,11309.70,uniform
mem20,ext4,wt2,100,psfm,60000000,100,60,0.00,60164.11,15.04,12131.40,uniform
mem20,ext4,wt2,100,psfm,60000000,100,70,0.00,61734.30,14.43,12441.10,uniform
mem20,ext4,wt2,100,psfm,60000000,100,80,0.00,62409.00,14.16,12573.50,uniform
mem20,ext4,wt2,100,psfm,60000000,100,90,0.00,63247.89,13.74,12754.60,uniform
mem20,ext4,wt2,100,psfm,60000000,100,100,0.00,63249.56,13.83,12755.99,uniform
mem20,ext4,wt2,100,psfm,60000000,100,110,0.00,63342.63,13.72,12764.21,uniform
