version,memory,engine,distribution,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
upstream-3.2,20,wt,uniform,oltp,2000000,128,10,20286.63,27773.67,32.85,6761.54,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,20,23960.51,32780.71,30.93,7986.80,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,30,22732.40,31145.90,32.64,7577.80,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,40,23688.96,32509.84,31.30,7895.79,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,50,23690.43,32475.54,31.02,7897.11,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,60,23955.71,32790.11,30.71,7985.40,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,70,21790.50,29789.20,33.08,7263.20,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,80,22574.89,30875.79,31.85,7524.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,90,23849.70,32634.40,30.67,7950.20,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,100,23717.20,32492.70,31.13,7905.90,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,110,23865.70,32668.50,30.61,7955.40,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,120,23929.20,32763.10,30.60,7976.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,130,21654.49,29614.19,33.77,7217.90,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,140,20914.01,28604.41,34.05,6971.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,150,21659.10,29657.11,33.86,7213.10,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,160,22057.89,30203.29,31.47,7359.00,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,170,20642.50,28283.00,32.11,6880.90,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,180,20135.28,27542.67,39.02,6711.69,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,190,21431.21,29330.67,33.26,7142.57,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,200,20964.12,28636.37,33.10,6989.44,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,210,18292.49,25040.89,33.50,6097.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,220,23158.31,31698.41,31.90,7719.20,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,230,23590.40,32291.30,31.16,7863.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,240,23612.90,32355.70,30.92,7871.10,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,250,22688.01,31081.11,32.63,7562.30,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,260,18836.00,25811.20,34.39,6279.10,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,270,17895.40,24503.60,34.88,5964.60,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,280,19461.40,26665.00,33.95,6487.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,290,22274.09,30463.38,33.06,7424.30,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,300,21184.11,28985.91,34.17,7062.00,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,310,14308.30,19563.00,35.32,4769.20,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,320,16037.21,21931.21,33.31,5339.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,330,18212.48,24897.73,33.08,6075.86,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,340,15391.50,21054.44,35.68,5124.93,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,350,15316.20,20952.90,35.58,5112.10,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,360,17544.31,24024.51,34.83,5841.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,370,18301.30,25051.70,33.86,6100.20,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,380,22103.09,30280.78,32.28,7374.60,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,390,16284.50,22274.00,36.56,5421.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,400,19001.60,25940.50,33.42,6340.70,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,410,20705.00,28370.10,32.66,6895.00,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,420,17448.06,23841.21,35.53,5822.75,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,430,15834.22,21664.07,35.88,5277.74,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,440,17710.00,24213.89,36.95,5903.40,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,450,18601.90,25446.20,32.29,6193.80,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,460,19690.70,26924.40,34.18,6570.20,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,470,21297.60,29177.80,33.20,7099.50,128
upstream-3.2,20,wt,uniform,oltp,2000000,128,480,14866.00,20354.99,35.64,4955.10,128
